1'上半场比赛开始                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
1'首先由主队富力开球，富力从球场的左侧向右进攻                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
1'富力前场传球失误，国安的抢断反击                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
1'张辛昕拿球过了中线，分边失误                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
2'李建华抢断，张辛昕的反抢，身后推人犯规                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
2'马季奇后场拿球，卢琳的身后放铲，铲翻了马季奇                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
2'卢琳被主裁判出示了黄牌警告                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
3'开场才2分钟，富力的拼抢相当凶悍                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
3'国安后场的过顶长传找格隆，刘成将球解围出边线                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
4'国安前场传球失误，富力的抢断                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
4'李岩后场过顶长传找雅库布，力量过大，被杨智控制                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
4'李建华前场的抢断，郎征的上抢被吹犯规                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
8'富力前场传球失误，张辛昕的抢断                   8'第8分钟，广州富力前场左路界外球，刘成快开卢琳得球高速下底横传门前，可惜拉斐尔跟进慢了一步球划门而过
8'张辛昕拿球直塞格隆，李喆上抢犯规                   8'第8分钟，广州富力前场左路界外球，刘成快开卢琳得球高速下底横传门前，可惜拉斐尔跟进慢了一步球划门而过
8'今天双方在场的动作都比较大，犯规不断                   8'第8分钟，广州富力前场左路界外球，刘成快开卢琳得球高速下底横传门前，可惜拉斐尔跟进慢了一步球划门而过
9'国安右路的进攻，直塞找格隆                   8'第8分钟，广州富力前场左路界外球，刘成快开卢琳得球高速下底横传门前，可惜拉斐尔跟进慢了一步球划门而过
9'格隆争抢中被吹拉人犯规，富力的后场球                   8'第8分钟，广州富力前场左路界外球，刘成快开卢琳得球高速下底横传门前，可惜拉斐尔跟进慢了一步球划门而过
9'好机会啊，富力！！！                   8'第8分钟，广州富力前场左路界外球，刘成快开卢琳得球高速下底横传门前，可惜拉斐尔跟进慢了一步球划门而过
9'雅库布界外球给到达维，达维边路横传门前                   8'第8分钟，广州富力前场左路界外球，刘成快开卢琳得球高速下底横传门前，可惜拉斐尔跟进慢了一步球划门而过
10'可惜包抄的队友慢了半拍，没能踢到                   8'第8分钟，广州富力前场左路界外球，刘成快开卢琳得球高速下底横传门前，可惜拉斐尔跟进慢了一步球划门而过
10'这球若能碰到，进球的机会在八成以上啊                   8'第8分钟，广州富力前场左路界外球，刘成快开卢琳得球高速下底横传门前，可惜拉斐尔跟进慢了一步球划门而过
10'包抄的是拉斐尔，非常可惜                   8'第8分钟，广州富力前场左路界外球，刘成快开卢琳得球高速下底横传门前，可惜拉斐尔跟进慢了一步球划门而过
11'刘成在一次拼抢中受伤倒地，队医进场查看                   8'第8分钟，广州富力前场左路界外球，刘成快开卢琳得球高速下底横传门前，可惜拉斐尔跟进慢了一步球划门而过
11'刘成伤的不轻啊，被队医扶起，一瘸一拐的出场治疗                   8'第8分钟，广州富力前场左路界外球，刘成快开卢琳得球高速下底横传门前，可惜拉斐尔跟进慢了一步球划门而过
11'雅库布前场拿球，横传找拉斐尔                   8'第8分钟，广州富力前场左路界外球，刘成快开卢琳得球高速下底横传门前，可惜拉斐尔跟进慢了一步球划门而过
13'国安的反击，张稀哲拿球过度给到邵佳一                   13'第13分钟，北京国安前场右路获得任意球机会，邵佳一主罚任意球到球门后点，许博及时头球解围
