1'主裁判一声哨响，上半场开始了                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
1'主场作战的巴萨首先开球                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
1'梅西回敲给拉基蒂奇，分边给罗贝托                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
1'在给后面的皮克，转移给左侧迪涅这边                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
1'横敲给乌姆蒂蒂，后场连续的倒脚                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
2'最后是左侧迪涅这边把球停出边线                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
2'黄潜界外球给出                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
2'马里奥中后场的拼抢，碰出边线                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
2'界外球给到乌姆蒂蒂，转移到右侧罗贝托                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
3'横敲中间皮克，长传直接送出底线                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
3'黄潜开出门球                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
3'中圈附近小白把球拿下，横敲左侧乌姆蒂蒂，直塞向前                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
3'左侧内少拿球，大范围转移到右侧                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
3'罗贝托插上，和同伴做一个配合                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
4'拿球冲刺向前，科斯塔把球断下                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
4'大脚解围出去，罗德里格回敲给穆萨基奥                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
4'低传给特里格罗斯，斜传左侧科斯塔                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
4'横敲罗德里格，在给多斯桑托斯                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
4'回敲给队长穆萨基奥，斜传直塞                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
21'巴萨定位球就在大禁区线上，位置非常近了。。直对球门                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
21'梅西和内少站在球前商量                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
