3'从球场上方看下去，似乎天气并不太好啊                   3'第3分钟，佩德罗传球，梅西闪过2人后禁区内的射门被帕尔多救下
4'巴萨今天只是排出了一个并不太看重对方的阵容                   3'第3分钟，佩德罗传球，梅西闪过2人后禁区内的射门被帕尔多救下
5'内马尔也坐在了替补席                   3'第3分钟，佩德罗传球，梅西闪过2人后禁区内的射门被帕尔多救下
6'不过梅西还是首发~                   3'第3分钟，佩德罗传球，梅西闪过2人后禁区内的射门被帕尔多救下
6'才在西甲打破历史进球纪录的梅西~今天也想打破欧冠中劳尔的进球纪录                   3'第3分钟，佩德罗传球，梅西闪过2人后禁区内的射门被帕尔多救下
17'突然横敲~苏牙右脚推射打得太正啦                   17'第17分钟，梅西突入禁区右侧回传，苏亚雷斯10码处扫射也被帕尔多得到
17'苏牙现在就差一个进球而已                   17'第17分钟，梅西突入禁区右侧回传，苏亚雷斯10码处扫射也被帕尔多得到
17'他近几场的表现证明了他是可以融入巴萨的战术体系的                   17'第17分钟，梅西突入禁区右侧回传，苏亚雷斯10码处扫射也被帕尔多得到
19'现在的情况是巴萨压过半场，让主队一直喘不过气来                   17'第17分钟，梅西突入禁区右侧回传，苏亚雷斯10码处扫射也被帕尔多得到
19'梅西~斜传禁区~落点不太好                   17'第17分钟，梅西突入禁区右侧回传，苏亚雷斯10码处扫射也被帕尔多得到
20'阿尔维斯边路反抢，放倒了对方的阿隆夫蒂斯                   17'第17分钟，梅西突入禁区右侧回传，苏亚雷斯10码处扫射也被帕尔多得到
20'施特根现在是无事可干啊                   17'第17分钟，梅西突入禁区右侧回传，苏亚雷斯10码处扫射也被帕尔多得到
20'今天梅西的位置更多的是在右边路                   17'第17分钟，梅西突入禁区右侧回传，苏亚雷斯10码处扫射也被帕尔多得到
20'阿尔巴的传中又一次被后卫解围~                   17'第17分钟，梅西突入禁区右侧回传，苏亚雷斯10码处扫射也被帕尔多得到
28'有了~~~                   27'巴萨第27分钟打破僵局，阿尔巴直传，回接的苏亚雷斯瞬间转身摆脱对手，最后在禁区左侧10码处推射远角入网
28'苏亚雷斯~~~                   27'巴萨第27分钟打破僵局，阿尔巴直传，回接的苏亚雷斯瞬间转身摆脱对手，最后在禁区左侧10码处推射远角入网
28'Gooooooooooooooooooal~~~                   27'巴萨第27分钟打破僵局，阿尔巴直传，回接的苏亚雷斯瞬间转身摆脱对手，最后在禁区左侧10码处推射远角入网
28'该来的终究是会来的                   27'巴萨第27分钟打破僵局，阿尔巴直传，回接的苏亚雷斯瞬间转身摆脱对手，最后在禁区左侧10码处推射远角入网
29'漂亮的摆脱~接到队友的额直塞，苏牙脚后跟一磕顺势转身摆脱了后卫杀入禁区！面对出击的门将冷静的推射远角破门~                   27'巴萨第27分钟打破僵局，阿尔巴直传，回接的苏亚雷斯瞬间转身摆脱对手，最后在禁区左侧10码处推射远角入网
29'苏牙终于进球了~然后是不是又要轮到梅西破纪录了                   27'巴萨第27分钟打破僵局，阿尔巴直传，回接的苏亚雷斯瞬间转身摆脱对手，最后在禁区左侧10码处推射远角入网
30'风哥无痕 其他场次比分？---切尔西2比0了，大巴黎还是0比0，曼城1比0                   27'巴萨第27分钟打破僵局，阿尔巴直传，回接的苏亚雷斯瞬间转身摆脱对手，最后在禁区左侧10码处推射远角入网
30'真是不要命的防守啊                   27'巴萨第27分钟打破僵局，阿尔巴直传，回接的苏亚雷斯瞬间转身摆脱对手，最后在禁区左侧10码处推射远角入网
46'抱歉了大家~                   43'第43分钟，梅西直传，但苏亚雷斯禁区边缘内凌空射偏
46'下半场开始~                   43'第43分钟，梅西直传，但苏亚雷斯禁区边缘内凌空射偏
46'换下的是46号阿隆夫蒂斯                   43'第43分钟，梅西直传，但苏亚雷斯禁区边缘内凌空射偏
46'苏牙被对方球员放倒~巴萨的后场定位球                   43'第43分钟，梅西直传，但苏亚雷斯禁区边缘内凌空射偏
58'今儿这比赛几乎就没施特根什么事儿                   58'第58分钟，阿尔维斯直传，梅西12码处单刀推射破门，3-0
58'梅西~~~                   58'第58分钟，阿尔维斯直传，梅西12码处单刀推射破门，3-0
58'Gooooooooooooooooooooooal~~~~                   58'第58分钟，阿尔维斯直传，梅西12码处单刀推射破门，3-0
58'梅西继续扩大自己的纪录~~~                   58'第58分钟，阿尔维斯直传，梅西12码处单刀推射破门，3-0
59'阿尔维斯的直塞让梅西有了单刀面对门将的机会~后卫反应太慢了，让梅西轻松转身起脚挑射~球缓缓滚入了空门                   58'第58分钟，阿尔维斯直传，梅西12码处单刀推射破门，3-0
59'阿尔维斯跟梅西不愧是真爱~                   58'第58分钟，阿尔维斯直传，梅西12码处单刀推射破门，3-0
60'可惜阿尔维斯状态下滑也要远走巴萨了                   58'第58分钟，阿尔维斯直传，梅西12码处单刀推射破门，3-0
65'禁区外竞技队来了一脚远射~                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
65'来自塞尔吉奥~发力太猛，将球轰上了看台                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
65'苏牙给梅西的挑传球被后卫挡到了拉菲尼亚身前~                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
65'胸部停球，半转身凌空射门被封堵                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
66'希腊人竞技队反击~                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
66'埃弗伦~接到了左路的传中，打门~~~                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
66'施特根终于有事儿干了，侧身横扑将球化解                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
66'苏亚雷斯~~险些再进一球                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
66'双方你来我往好不热闹                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
67'苏牙是接到了梅西的分边~左脚射门！擦柱而出啊                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
67'看看内球王这眼神~~~                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
67'心想我要上场估计早就2球了                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
67'巴萨逼得了一个角球                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
68'杨杨杨恒恒恒恒  我内马尔上了吗？---今天估计是上不了啦                   65'主队全场首次有威胁射门出现在第65分钟，德-文森蒂15码处转身劲射被特尔施特根扑出
70'拉菲尼亚~                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
70'倒霉了~~~                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
70'铲抢的时候收腿了，但是还是撞倒了对方球员                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
70'裁判掏出了第二张黄牌                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
70'两黄变一红~~~                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
70'巴萨少打一人                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
70'不过，巴萨是少有的10人跟11人没多大区别的球队                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
71'竞技队面对这种局面估计会全线压上                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
71'这样的话巴萨的反击空间可就大了去了                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
71'竞技队左边路高球传中，施特根出击抱得很稳                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
72'TED演讲爱好者: 爱，还能不能好好给梅西刷纪录哦---嗯，阿尔坎特拉兄弟                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
72'苏亚雷斯~~~                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
72'又是差一点                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
72'阿尔维斯的传中被后卫挡了一下~                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
72'苏牙迎球怒射~太正啦                   70'第70分钟，拉菲尼亚中场犯规累计两张黄牌被罚下
85'佩德罗被放倒~                   84'巴萨第84分钟拉平场上人数，吉赫尔梅禁区前对佩德罗犯规累计两张黄牌下场，梅西30码处任意球直接射门偏出
85'裁判给3号古尔赫梅一张黄牌~                   84'巴萨第84分钟拉平场上人数，吉赫尔梅禁区前对佩德罗犯规累计两张黄牌下场，梅西30码处任意球直接射门偏出
85'哇~又被罚下一个                   84'巴萨第84分钟拉平场上人数，吉赫尔梅禁区前对佩德罗犯规累计两张黄牌下场，梅西30码处任意球直接射门偏出
85'两黄变一红                   84'巴萨第84分钟拉平场上人数，吉赫尔梅禁区前对佩德罗犯规累计两张黄牌下场，梅西30码处任意球直接射门偏出
86'巴萨还获得了一个禁区前沿的定位球                   84'巴萨第84分钟拉平场上人数，吉赫尔梅禁区前对佩德罗犯规累计两张黄牌下场，梅西30码处任意球直接射门偏出
87'梅西的定位球直接射门打高了~                   84'巴萨第84分钟拉平场上人数，吉赫尔梅禁区前对佩德罗犯规累计两张黄牌下场，梅西30码处任意球直接射门偏出
