8'中路横敲被恩东断下，回敲给洛维                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
8'长传到前场，利物浦把球断下，左侧给到菲尔米诺                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
8'中路交给马内，挑到禁区                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
8'机会来了，斯图里奇右脚大力推射，，曼诺内迅速下地，扑出                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
9'反应超级快啊                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
9'后卫立马一个大脚解围                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
9'马内左侧在给菲尔米诺，中路给到维纳尔杜姆                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
9'右脚迎球怒射，张弓搭箭，直奔球门                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
10'曼诺内再次表现，，单手托出横梁                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
10'右侧角球开出                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
10'禁区内洛夫伦争到第一点，顶出底线                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
10'场边的正选门将皮克福德也来到现场，受伤的他预计还要2个月以后才能恢复                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
10'拉拉纳中路给到詹，低球在分边                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
11'罗德维尔把球断下，往前顺势找拉尔森                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
11'洛夫伦上抢把球断下，中路在给维纳尔杜姆，左侧分给米尔纳                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
