21'张晓彬左路和杨笑天的配合，可惜后者并未跑到接应位置                   21'上半场第21分钟海森接吕文君送球，禁区左路小角度射门得分
22'孔卡中场拿球，回传给到金周荣                   21'上半场第21分钟海森接吕文君送球，禁区左路小角度射门得分
22'上港进球啦！！！                   21'上半场第21分钟海森接吕文君送球，禁区左路小角度射门得分
22'海森的小角度打门，打进！！！                   21'上半场第21分钟海森接吕文君送球，禁区左路小角度射门得分
23'这是海森本赛季打进的个人第10粒进球                   21'上半场第21分钟海森接吕文君送球，禁区左路小角度射门得分
24'上港中路直塞球打身后，海森斜插到禁区左侧，面对出击的张思鹏，左脚小角度射门打近角，先拔头筹！！！                   21'上半场第21分钟海森接吕文君送球，禁区左路小角度射门得分
24'金周荣后场起球到中场，达维头球后蹭                   21'上半场第21分钟海森接吕文君送球，禁区左路小角度射门得分
58'舜天中场抢断，反击中杨笑天的远射，被颜骏凌侧扑封堵出底线                   58'第58分钟李昂开出右路角球，卡尔坦森倒钩皮球中柱弹出，奥特森头球补进
58'舜天获得右侧角球机会，李昂主罚                   58'第58分钟李昂开出右路角球，卡尔坦森倒钩皮球中柱弹出，奥特森头球补进
58'角球开出到后点，第一点被上港球员解围                   58'第58分钟李昂开出右路角球，卡尔坦森倒钩皮球中柱弹出，奥特森头球补进
59'萨米尔拿球，回传中路跟进的刘建业                   58'第58分钟李昂开出右路角球，卡尔坦森倒钩皮球中柱弹出，奥特森头球补进
59'刘建业迎球一脚打门，打在孔卡身上弹出底线，角球                   58'第58分钟李昂开出右路角球，卡尔坦森倒钩皮球中柱弹出，奥特森头球补进
59'舜天扳回一个！！！                   58'第58分钟李昂开出右路角球，卡尔坦森倒钩皮球中柱弹出，奥特森头球补进
59'奥特森补射得分！！！                   58'第58分钟李昂开出右路角球，卡尔坦森倒钩皮球中柱弹出，奥特森头球补进
60'李昂角球开出到后点，卡尔坦森倒勾射门打在横梁上弹回，无人防守的奥特森门前补射打进！！！                   58'第58分钟李昂开出右路角球，卡尔坦森倒钩皮球中柱弹出，奥特森头球补进
61'王燊超右路拿球，面对逼抢，回传石柯                   58'第58分钟李昂开出右路角球，卡尔坦森倒钩皮球中柱弹出，奥特森头球补进
61'海森前场背身拿球，遭遇夹击，转身摆脱时球丢啦                   58'第58分钟李昂开出右路角球，卡尔坦森倒钩皮球中柱弹出，奥特森头球补进
85'上港中场抢断，武磊抢在滑铲的李昂之前将球一捅                   85'第85分钟海森禁区外转身凌空射门实现梅开二度，最终上海上港4比1战胜江苏舜天，积32分暂时排上了积分榜首席
86'武磊拿球再扣张晓彬，面对出击的张思鹏，挑射，被扑出了底线                   85'第85分钟海森禁区外转身凌空射门实现梅开二度，最终上海上港4比1战胜江苏舜天，积32分暂时排上了积分榜首席
86'上港获得左侧角球机会，战术角球开出                   85'第85分钟海森禁区外转身凌空射门实现梅开二度，最终上海上港4比1战胜江苏舜天，积32分暂时排上了积分榜首席
86'4-1！！！海森！！！                   85'第85分钟海森禁区外转身凌空射门实现梅开二度，最终上海上港4比1战胜江苏舜天，积32分暂时排上了积分榜首席
87'战术角球开出，上港左路横传球到禁区弧顶，海森侧身凌空左脚抽射，直挂死角，梅开二度！！！                   85'第85分钟海森禁区外转身凌空射门实现梅开二度，最终上海上港4比1战胜江苏舜天，积32分暂时排上了积分榜首席
87'海森进球后，现场响起了“高洪波下课”的声音                   85'第85分钟海森禁区外转身凌空射门实现梅开二度，最终上海上港4比1战胜江苏舜天，积32分暂时排上了积分榜首席
50'上港后场抢断，孔卡拿球，一扣摆脱，卡尔坦森原地反抢，拉人犯规                   50'第5分钟舜天快速反击，吉翔右路传中，吴曦中路推射远角稍偏
50'海森的鞋带松了，自己走出场外，蹲在场边系鞋带，很有职业素养啊                   50'第5分钟舜天快速反击，吉翔右路传中，吴曦中路推射远角稍偏
