28'重庆力帆队进球啦！费尔南多，1-0                   28'第28分钟，山东鲁能后防线回传失误，费尔南多断球单刀破门
28'戴琳回传球，王彤脚下打滑传到了费尔南多脚下！！快速突破打门球进！                   28'第28分钟，山东鲁能后防线回传失误，费尔南多断球单刀破门
29'真是送大礼啊！！！                   28'第28分钟，山东鲁能后防线回传失误，费尔南多断球单刀破门
30'其实戴琳回传给门将可能更好一些！！横传想给王彤！王彤好象在系鞋带！                   28'第28分钟，山东鲁能后防线回传失误，费尔南多断球单刀破门
30'不想了！尽快调整回来                   28'第28分钟，山东鲁能后防线回传失误，费尔南多断球单刀破门
31'卡尔德克直传球打身后，费尔南多又控到球！                   28'第28分钟，山东鲁能后防线回传失误，费尔南多断球单刀破门
31'王大雷出来了！！费尔南多右路横传，跟上队员打门！稍稍偏了一点！                   28'第28分钟，山东鲁能后防线回传失误，费尔南多断球单刀破门
31'鲁能泰山队逃过一劫                   28'第28分钟，山东鲁能后防线回传失误，费尔南多断球单刀破门
46'上半场要补时 2 分钟                   46'两支均以体能见长的球队第1分钟打得比较谨慎
46'重庆力帆队右路底角附近横传禁区，王大雷没收                   46'两支均以体能见长的球队第1分钟打得比较谨慎
46'佩莱右路拿球横传，传得太靠后了些                   46'两支均以体能见长的球队第1分钟打得比较谨慎
46'李松益右路斜传禁区，米洛维奇将球顶出底线                   46'两支均以体能见长的球队第1分钟打得比较谨慎
47'蒿俊闵发角球到禁区内前点，半高球，被顶出来                   46'两支均以体能见长的球队第1分钟打得比较谨慎
47'李松益在前场抢球，放倒了卡尔德克                   46'两支均以体能见长的球队第1分钟打得比较谨慎
48'上半场比赛结束，重庆力帆队1-0客场领先鲁能泰山队！                   46'两支均以体能见长的球队第1分钟打得比较谨慎
46'下半场比赛开始                   46'两支均以体能见长的球队第1分钟打得比较谨慎
46'鲁能泰山队中路组织进攻，到中场再回传给吉尔                   46'两支均以体能见长的球队第1分钟打得比较谨慎
46'中场重庆力帆队断球左路传球，被破坏出边线                   46'两支均以体能见长的球队第1分钟打得比较谨慎
47'界外球发出来，南松下底横传，被挡出底线                   46'两支均以体能见长的球队第1分钟打得比较谨慎
47'角球发到禁区内，被破坏出来                   46'两支均以体能见长的球队第1分钟打得比较谨慎
47'重庆力帆队再从左路横传，佩莱将球解围                   46'两支均以体能见长的球队第1分钟打得比较谨慎
48'王彤前场传佩莱，再直传禁区，被破坏                   46'两支均以体能见长的球队第1分钟打得比较谨慎
48'重庆力帆队左路传禁区，被顶出                   46'两支均以体能见长的球队第1分钟打得比较谨慎
49'重庆力帆队在前场抢球犯规                   46'两支均以体能见长的球队第1分钟打得比较谨慎
49'米洛维奇右路长传前场，直接传出边线                   46'两支均以体能见长的球队第1分钟打得比较谨慎
56'刘彬彬右路下底横传禁区，刘宇破坏出来                   56'第11分钟，山东鲁能组织前场进攻，佩莱脚后跟做球被后卫解围，吴兴涵边路拿球内切弧线球射远角，球打在防守队员身上后稍稍偏出
56'鲁能泰山队右路再配合，刘彬彬下底横传！大了                   56'第11分钟，山东鲁能组织前场进攻，佩莱脚后跟做球被后卫解围，吴兴涵边路拿球内切弧线球射远角，球打在防守队员身上后稍稍偏出
57'这谁啊？费尔南多，刚过中线就一脚大力吊门！高出                   56'第11分钟，山东鲁能组织前场进攻，佩莱脚后跟做球被后卫解围，吴兴涵边路拿球内切弧线球射远角，球打在防守队员身上后稍稍偏出
57'佩莱右路真丧尽天良示，打在对方脚后跟上出边线                   56'第11分钟，山东鲁能组织前场进攻，佩莱脚后跟做球被后卫解围，吴兴涵边路拿球内切弧线球射远角，球打在防守队员身上后稍稍偏出
57'重庆力帆队快速反击，左路攻到前场，吉尔把球防下来                   56'第11分钟，山东鲁能组织前场进攻，佩莱脚后跟做球被后卫解围，吴兴涵边路拿球内切弧线球射远角，球打在防守队员身上后稍稍偏出
57'吉尔一对一的能力还是非常强的                   56'第11分钟，山东鲁能组织前场进攻，佩莱脚后跟做球被后卫解围，吴兴涵边路拿球内切弧线球射远角，球打在防守队员身上后稍稍偏出
58'吴兴涵左路一对一突破横传禁区，被陈雷挡出底线                   56'第11分钟，山东鲁能组织前场进攻，佩莱脚后跟做球被后卫解围，吴兴涵边路拿球内切弧线球射远角，球打在防守队员身上后稍稍偏出
58'鲁能泰山队得到角球机会                   56'第11分钟，山东鲁能组织前场进攻，佩莱脚后跟做球被后卫解围，吴兴涵边路拿球内切弧线球射远角，球打在防守队员身上后稍稍偏出
58'蒿俊闵发角球到前点，陈雷将球顶出                   56'第11分钟，山东鲁能组织前场进攻，佩莱脚后跟做球被后卫解围，吴兴涵边路拿球内切弧线球射远角，球打在防守队员身上后稍稍偏出
59'刘洋左路横传，对方顶出来                   56'第11分钟，山东鲁能组织前场进攻，佩莱脚后跟做球被后卫解围，吴兴涵边路拿球内切弧线球射远角，球打在防守队员身上后稍稍偏出
59'吴兴涵左路横传，佩莱回传球，戴老板左脚打门！高出                   56'第11分钟，山东鲁能组织前场进攻，佩莱脚后跟做球被后卫解围，吴兴涵边路拿球内切弧线球射远角，球打在防守队员身上后稍稍偏出
59'刚才是刘洋的一脚回传，非常漂亮                   56'第11分钟，山东鲁能组织前场进攻，佩莱脚后跟做球被后卫解围，吴兴涵边路拿球内切弧线球射远角，球打在防守队员身上后稍稍偏出
60'刘彬彬右路强突横传低平球，被挡出边线                   60'第15分钟，费尔南多主罚角球送出弧线球传中，山东鲁能两名中后卫争一点造成卡尔德克无人防守，后者面对来球顶反方向，王大雷几乎没有反应，球擦着远端立柱偏出
61'鲁能泰山队长传前场，邓小飞出击没收                   60'第15分钟，费尔南多主罚角球送出弧线球传中，山东鲁能两名中后卫争一点造成卡尔德克无人防守，后者面对来球顶反方向，王大雷几乎没有反应，球擦着远端立柱偏出
61'邓小飞大脚开球到前场，对方解围不远，重庆力帆队组织进攻                   60'第15分钟，费尔南多主罚角球送出弧线球传中，山东鲁能两名中后卫争一点造成卡尔德克无人防守，后者面对来球顶反方向，王大雷几乎没有反应，球擦着远端立柱偏出
62' 刘彬彬右路接球横传，蒿俊闵劲射被挡                   60'第15分钟，费尔南多主罚角球送出弧线球传中，山东鲁能两名中后卫争一点造成卡尔德克无人防守，后者面对来球顶反方向，王大雷几乎没有反应，球擦着远端立柱偏出
62'刘彬彬再从右路横传，米洛维奇破坏                   60'第15分钟，费尔南多主罚角球送出弧线球传中，山东鲁能两名中后卫争一点造成卡尔德克无人防守，后者面对来球顶反方向，王大雷几乎没有反应，球擦着远端立柱偏出
63'蒿俊闵前场左路拿球，费尔南多上抢，球出边线                   60'第15分钟，费尔南多主罚角球送出弧线球传中，山东鲁能两名中后卫争一点造成卡尔德克无人防守，后者面对来球顶反方向，王大雷几乎没有反应，球擦着远端立柱偏出
63'吴兴涵在前场停球时手球犯规                   60'第15分钟，费尔南多主罚角球送出弧线球传中，山东鲁能两名中后卫争一点造成卡尔德克无人防守，后者面对来球顶反方向，王大雷几乎没有反应，球擦着远端立柱偏出
63'刘洋左路带球到前场，交给佩莱！                   60'第15分钟，费尔南多主罚角球送出弧线球传中，山东鲁能两名中后卫争一点造成卡尔德克无人防守，后者面对来球顶反方向，王大雷几乎没有反应，球擦着远端立柱偏出
31'卡尔德克直传球打身后，费尔南多又控到球！                   31'第31分钟，刘洋防守一侧被打穿，费尔南多边路突破杀入禁区，王大雷贸然出击虽然堵住了费尔南多前进道路，但也形成空门，费尔南多传中，彭欣力头球顶空门偏出
31'王大雷出来了！！费尔南多右路横传，跟上队员打门！稍稍偏了一点！                   31'第31分钟，刘洋防守一侧被打穿，费尔南多边路突破杀入禁区，王大雷贸然出击虽然堵住了费尔南多前进道路，但也形成空门，费尔南多传中，彭欣力头球顶空门偏出
31'鲁能泰山队逃过一劫                   31'第31分钟，刘洋防守一侧被打穿，费尔南多边路突破杀入禁区，王大雷贸然出击虽然堵住了费尔南多前进道路，但也形成空门，费尔南多传中，彭欣力头球顶空门偏出
32'后场重庆力帆队断球反击！造犯规                   31'第31分钟，刘洋防守一侧被打穿，费尔南多边路突破杀入禁区，王大雷贸然出击虽然堵住了费尔南多前进道路，但也形成空门，费尔南多传中，彭欣力头球顶空门偏出
32'西塞后场断球长传找佩莱                   31'第31分钟，刘洋防守一侧被打穿，费尔南多边路突破杀入禁区，王大雷贸然出击虽然堵住了费尔南多前进道路，但也形成空门，费尔南多传中，彭欣力头球顶空门偏出
32'佩莱分球到左路，蒿俊闵横传右路                   31'第31分钟，刘洋防守一侧被打穿，费尔南多边路突破杀入禁区，王大雷贸然出击虽然堵住了费尔南多前进道路，但也形成空门，费尔南多传中，彭欣力头球顶空门偏出
32'李松益右路斜传禁区！邓小飞没收                   31'第31分钟，刘洋防守一侧被打穿，费尔南多边路突破杀入禁区，王大雷贸然出击虽然堵住了费尔南多前进道路，但也形成空门，费尔南多传中，彭欣力头球顶空门偏出
33'刘欢后场得球左路攻到前场，人球分过！漂亮啊！                   31'第31分钟，刘洋防守一侧被打穿，费尔南多边路突破杀入禁区，王大雷贸然出击虽然堵住了费尔南多前进道路，但也形成空门，费尔南多传中，彭欣力头球顶空门偏出
33'吉尔将球破坏                   31'第31分钟，刘洋防守一侧被打穿，费尔南多边路突破杀入禁区，王大雷贸然出击虽然堵住了费尔南多前进道路，但也形成空门，费尔南多传中，彭欣力头球顶空门偏出
34'西塞中场接佩莱传球，被放倒                   31'第31分钟，刘洋防守一侧被打穿，费尔南多边路突破杀入禁区，王大雷贸然出击虽然堵住了费尔南多前进道路，但也形成空门，费尔南多传中，彭欣力头球顶空门偏出
34'李松益大脚开球到前场，佩莱没能控下来                   31'第31分钟，刘洋防守一侧被打穿，费尔南多边路突破杀入禁区，王大雷贸然出击虽然堵住了费尔南多前进道路，但也形成空门，费尔南多传中，彭欣力头球顶空门偏出
34'卡尔德克中场得球，横传交给费尔南多                   31'第31分钟，刘洋防守一侧被打穿，费尔南多边路突破杀入禁区，王大雷贸然出击虽然堵住了费尔南多前进道路，但也形成空门，费尔南多传中，彭欣力头球顶空门偏出
45'蒿俊闵分球到左路，吴兴涵横传禁区！！佩莱顶到球啦力量不够，邓小飞没收！                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
45'刚才是吴兴涵回传，刘洋的传中球！                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
46'上半场要补时 2 分钟                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
46'重庆力帆队右路底角附近横传禁区，王大雷没收                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
46'佩莱右路拿球横传，传得太靠后了些                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
46'李松益右路斜传禁区，米洛维奇将球顶出底线                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
47'蒿俊闵发角球到禁区内前点，半高球，被顶出来                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
47'李松益在前场抢球，放倒了卡尔德克                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
48'上半场比赛结束，重庆力帆队1-0客场领先鲁能泰山队！                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
46'下半场比赛开始                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
46'鲁能泰山队中路组织进攻，到中场再回传给吉尔                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
46'中场重庆力帆队断球左路传球，被破坏出边线                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
47'界外球发出来，南松下底横传，被挡出底线                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
47'角球发到禁区内，被破坏出来                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
47'重庆力帆队再从左路横传，佩莱将球解围                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
48'王彤前场传佩莱，再直传禁区，被破坏                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
48'重庆力帆队左路传禁区，被顶出                   45'第45分钟，刘洋边路四十五度传中，佩莱中路力压防守队员头球攻门，球被邓小飞没收
50'吴兴涵横向带球，分给王彤，再分边                   50'下半场易边再战，第50分钟，蒿俊闵中路送出弧线球传中，西塞快速插上远距离甩头攻门，球被邓小飞没收
50'鲁能泰山队右路横传禁区，对方头球解围                   50'下半场易边再战，第50分钟，蒿俊闵中路送出弧线球传中，西塞快速插上远距离甩头攻门，球被邓小飞没收
51'王彤右路斜传球，西塞头球攻门！！被邓小飞没收                   50'下半场易边再战，第50分钟，蒿俊闵中路送出弧线球传中，西塞快速插上远距离甩头攻门，球被邓小飞没收
52'蒿俊闵左路带球到前场，交给刘洋                   50'下半场易边再战，第50分钟，蒿俊闵中路送出弧线球传中，西塞快速插上远距离甩头攻门，球被邓小飞没收
52'刘洋直传球，蒿俊闵插上，传得大 一点                   50'下半场易边再战，第50分钟，蒿俊闵中路送出弧线球传中，西塞快速插上远距离甩头攻门，球被邓小飞没收
