4'克罗托内阿里安度-罗西受伤倒地,比赛暂停                   4'开场4分钟，伊瓜因尝试倒钩踢中罗西，罗西受伤接受治疗
5'暂停结束,球员们重新开始比赛.                   4'开场4分钟，伊瓜因尝试倒钩踢中罗西，罗西受伤接受治疗
5'克罗托内球员托内夫大禁区左侧左脚射门,被防守球员封堵.给他传球的是克里塞蒂格.                   4'开场4分钟，伊瓜因尝试倒钩踢中罗西，罗西受伤接受治疗
6'克罗托内球员 巴伯里斯拼抢犯规,对手获得控球权.                   4'开场4分钟，伊瓜因尝试倒钩踢中罗西，罗西受伤接受治疗
6'伊瓜因为尤文图斯在对方半场,赢得一个任意球.                   4'开场4分钟，伊瓜因尝试倒钩踢中罗西，罗西受伤接受治疗
7'尤文图斯球员皮亚尼奇大禁区外尝试右脚射门,可惜皮球稍稍高出球门.                   4'开场4分钟，伊瓜因尝试倒钩踢中罗西，罗西受伤接受治疗
12'进球啦！！！尤文图斯球员曼祖基奇大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是Juan Cuadrado. 尤文图斯 1-0 克罗托内.                   12'尤文第12分钟取得领先
39'进球啦！！！尤文图斯球员迪巴拉左脚射门,球从右上角飞进球门,球进了! 尤文图斯 2-0 克罗托内.                   39'尤文第39分钟扩大比分
40'安德里亚为克罗托内在左路,赢得一个任意球.                   39'尤文第39分钟扩大比分
40'尤文图斯球员阿尔维斯拼抢犯规,对手获得控球权.                   39'尤文第39分钟扩大比分
41'克罗托内球员 巴伯里斯直接任意球尝试右脚射门,可惜皮球高出右上角球门.                   39'尤文第39分钟扩大比分
42'射门!!!尤文图斯球员伊瓜因右脚射门,被对方守门员横身扑出.给他传球的是迪巴拉.                   39'尤文第39分钟扩大比分
42'凯舍里尼为克罗托内在对方半场,赢得一个任意球.                   39'尤文第39分钟扩大比分
42'尤文图斯球员伊瓜因拼抢犯规,对手获得控球权.                   39'尤文第39分钟扩大比分
83'萨姆皮里希将球处理出底线,尤文图斯获得角球.                   83'尤文第83分钟锁定冠军，迪巴拉左侧开出角球，阿莱士-桑德罗在门前7米处头球击中横梁弹过门线，3比0
83'进球啦！！！尤文图斯球员阿莱士-桑多罗大禁区中央头球,球从左上角飞进球门,球进了!助攻的是迪巴拉. 尤文图斯 3-0 克罗托内.                   83'尤文第83分钟锁定冠军，迪巴拉左侧开出角球，阿莱士-桑德罗在门前7米处头球击中横梁弹过门线，3比0
84'尤文图斯换人,林孔换下皮亚尼奇                   83'尤文第83分钟锁定冠军，迪巴拉左侧开出角球，阿莱士-桑德罗在门前7米处头球击中横梁弹过门线，3比0
86'阿科斯蒂为克罗托内在左路,赢得一个任意球.                   83'尤文第83分钟锁定冠军，迪巴拉左侧开出角球，阿莱士-桑德罗在门前7米处头球击中横梁弹过门线，3比0
86'尤文图斯球员阿尔维斯拼抢犯规,对手获得控球权.                   83'尤文第83分钟锁定冠军，迪巴拉左侧开出角球，阿莱士-桑德罗在门前7米处头球击中横梁弹过门线，3比0
86'克罗托内球员费拉里拼抢犯规,对手获得控球权.                   83'尤文第83分钟锁定冠军，迪巴拉左侧开出角球，阿莱士-桑德罗在门前7米处头球击中横梁弹过门线，3比0
86'巴尔扎利为尤文图斯赢得一个任意球.                   83'尤文第83分钟锁定冠军，迪巴拉左侧开出角球，阿莱士-桑德罗在门前7米处头球击中横梁弹过门线，3比0
