5'加比奥内塔在前场左中睡接球，脚后跟传球出边线                   5'开场5分钟，山东鲁能利用快速反击觅得机会
6'对方是谁⊙_⊙？主播是杭州的吗：用户5744828703[回复]:杭州绿城队的对方是鲁能，鲁能泰山队的对方是杭州绿城队！                   5'开场5分钟，山东鲁能利用快速反击觅得机会
6'中场杭州绿城队得球，形成三打三                   5'开场5分钟，山东鲁能利用快速反击觅得机会
7'杭州绿城队快速进攻，右路突破到禁区内横传，被解围出来                   5'开场5分钟，山东鲁能利用快速反击觅得机会
7'杭州绿城队进球啦！罗竞！！1-0                   5'开场5分钟，山东鲁能利用快速反击觅得机会
8'中场杭州绿城队得球大脚长传，罗竞快速插上，一脚打门！皮球应声入网！                   5'开场5分钟，山东鲁能利用快速反击觅得机会
8'杭州绿城队的这种长传反击还是有相当威胁的                   5'开场5分钟，山东鲁能利用快速反击觅得机会
8'中场杭州绿城队得球大脚长传，罗竞快速插上，一脚打门！皮球应声入网！                   8'第8分钟，杭州绿城打破僵局，冯刚刚过中场得球送出远距离长传，戴琳盯人不紧，罗竞不等皮球落地直接凌空大门，球穿王大雷裆下入网，杭州绿城1-0领先
8'杭州绿城队的这种长传反击还是有相当威胁的                   8'第8分钟，杭州绿城打破僵局，冯刚刚过中场得球送出远距离长传，戴琳盯人不紧，罗竞不等皮球落地直接凌空大门，球穿王大雷裆下入网，杭州绿城1-0领先
9'[互动话题]杭州绿城队率先破门啦！下一粒进球将是哪个球队？A、杭州绿城队 B、鲁能泰山队 C、1-0结束[qiangda]                   8'第8分钟，杭州绿城打破僵局，冯刚刚过中场得球送出远距离长传，戴琳盯人不紧，罗竞不等皮球落地直接凌空大门，球穿王大雷裆下入网，杭州绿城1-0领先
9'鲁能泰山队传球到禁区内，塔尔德利右路接球没有打门，横传一脚，阿洛伊西奥抢点打门，张磊把球扑在门线上！                   8'第8分钟，杭州绿城打破僵局，冯刚刚过中场得球送出远距离长传，戴琳盯人不紧，罗竞不等皮球落地直接凌空大门，球穿王大雷裆下入网，杭州绿城1-0领先
10'阿洛伊西奥在前场抢球犯规                   8'第8分钟，杭州绿城打破僵局，冯刚刚过中场得球送出远距离长传，戴琳盯人不紧，罗竞不等皮球落地直接凌空大门，球穿王大雷裆下入网，杭州绿城1-0领先
11'杭州绿城队攻到前场，李微护球，阿甘背后抢球犯规                   8'第8分钟，杭州绿城打破僵局，冯刚刚过中场得球送出远距离长传，戴琳盯人不紧，罗竞不等皮球落地直接凌空大门，球穿王大雷裆下入网，杭州绿城1-0领先
