1'上半场开始了，拉科开球                   1'巴萨第1分钟展开围攻
1'今天的主裁判是蒙德切亚年仅30岁                   1'巴萨第1分钟展开围攻
1'拉科从右侧向左侧进攻，巴萨从左侧向右侧进攻                   1'巴萨第1分钟展开围攻
1'右路劳雷插上进攻，球被内马尔挡出边线                   1'巴萨第1分钟展开围攻
2'拉科右路的进攻，一个斜传交给中路找里埃拉                   1'巴萨第1分钟展开围攻
2'布斯克茨把球断下，卢卡斯反抢犯规                   1'巴萨第1分钟展开围攻
2'巴萨进攻给到边路阿尔维斯，再交梅西                   1'巴萨第1分钟展开围攻
3'梅西回敲巴尔特拉，在给小马哥                   1'巴萨第1分钟展开围攻
3'巴萨控制节奏，逐层推进，还是走右路                   1'巴萨第1分钟展开围攻
3'梅西直塞给到拉基蒂奇，传中被挡出                   1'巴萨第1分钟展开围攻
3'外围禁区外内少拿球，轻搓进去，被纳瓦罗头球点出                   1'巴萨第1分钟展开围攻
4'外围继续牢牢压制对手，阿尔巴给到小马哥                   1'巴萨第1分钟展开围攻
4'大范围转移右路的阿尔维斯，在给梅西，分拉基蒂奇，被断了                   1'巴萨第1分钟展开围攻
4'苏神前场拼抢对纳瓦罗犯规了                   1'巴萨第1分钟展开围攻
11'里埃拉禁区前沿得球，直接放一记远射，稍稍偏出                   11'巴萨第11分钟取得领先，苏亚雷斯传球，梅西12码处混战中左脚劲射被扑出
11'巴萨一个快速反击，MSN前场的三角配合                   11'巴萨第11分钟取得领先，苏亚雷斯传球，梅西12码处混战中左脚劲射被扑出
11'内少给到苏神，做给梅西，梅西大禁区内一记爆射，被曼努挡出底线                   11'巴萨第11分钟取得领先，苏亚雷斯传球，梅西12码处混战中左脚劲射被扑出
12'巴萨角球破门，来自苏神                   11'巴萨第11分钟取得领先，苏亚雷斯传球，梅西12码处混战中左脚劲射被扑出
13'小白左侧角球开出，小马哥和巴尔特拉前点未能蹭到，但干扰了防守，中路小禁区内苏神摆脱西德内伊，垫射破门                   11'巴萨第11分钟取得领先，苏亚雷斯传球，梅西12码处混战中左脚劲射被扑出
13'巴萨开局很顺利，苏神进球之后也非常兴奋，巴萨最近真是太难了                   11'巴萨第11分钟取得领先，苏亚雷斯传球，梅西12码处混战中左脚劲射被扑出
14'右路阿尔维斯交给梅西，自己内切                   11'巴萨第11分钟取得领先，苏亚雷斯传球，梅西12码处混战中左脚劲射被扑出
14'左路在找到内少，内少突破没有机会，被逼无奈，在交给右侧的阿尔维斯                   11'巴萨第11分钟取得领先，苏亚雷斯传球，梅西12码处混战中左脚劲射被扑出
14'阿尔维斯斜吊禁区内，苏神包抄倒地了                   11'巴萨第11分钟取得领先，苏亚雷斯传球，梅西12码处混战中左脚劲射被扑出
24'小白左路看准苏神跑位，突然吊向禁区                   24'巴萨第24分钟扩大比分，伊涅斯塔传球，梅西第一时间轻敲送出妙传，苏亚雷斯10码处单刀破门，2-0
24'传球和跑位完美结合啊，苏神不越位，禁区左侧倒钩打偏                   24'巴萨第24分钟扩大比分，伊涅斯塔传球，梅西第一时间轻敲送出妙传，苏亚雷斯10码处单刀破门，2-0
24'巴萨第二个进球来得很快，苏神梅开二度                   24'巴萨第24分钟扩大比分，伊涅斯塔传球，梅西第一时间轻敲送出妙传，苏亚雷斯10码处单刀破门，2-0
