15'罗马尼奥利过了中圈直传球向前                   15'15分钟过后，南看台打出横幅，要求贝卢斯科尼卖掉俱乐部(Oh devi vendere, devi vendere, devi vendere)
15'本田圭佑拿球低平球给到右侧                   15'15分钟过后，南看台打出横幅，要求贝卢斯科尼卖掉俱乐部(Oh devi vendere, devi vendere, devi vendere)
15'阿巴特到了底线附近被逼了出去                   15'15分钟过后，南看台打出横幅，要求贝卢斯科尼卖掉俱乐部(Oh devi vendere, devi vendere, devi vendere)
16'蒙托利沃中圈被顶倒了                   15'15分钟过后，南看台打出横幅，要求贝卢斯科尼卖掉俱乐部(Oh devi vendere, devi vendere, devi vendere)
16'米兰后场开出定位球                   15'15分钟过后，南看台打出横幅，要求贝卢斯科尼卖掉俱乐部(Oh devi vendere, devi vendere, devi vendere)
17'外围右侧阿巴特低平球往前传出了边线                   15'15分钟过后，南看台打出横幅，要求贝卢斯科尼卖掉俱乐部(Oh devi vendere, devi vendere, devi vendere)
17'萨马克长传左路，西奥法尼拿球被破坏出去                   15'15分钟过后，南看台打出横幅，要求贝卢斯科尼卖掉俱乐部(Oh devi vendere, devi vendere, devi vendere)
18'蒙托利沃挑传给到右侧                   15'15分钟过后，南看台打出横幅，要求贝卢斯科尼卖掉俱乐部(Oh devi vendere, devi vendere, devi vendere)
18'阿巴特右侧弧线球传中被挡出底线                   15'15分钟过后，南看台打出横幅，要求贝卢斯科尼卖掉俱乐部(Oh devi vendere, devi vendere, devi vendere)
33'巴洛特利右侧传中被鲁索顶出低吸纳                   33'第33分钟，本田圭佑右侧开出角球，阿莱士后点距门5米处头球击中横梁
33'角球开出来，后点头球攻门被门将扑出                   33'第33分钟，本田圭佑右侧开出角球，阿莱士后点距门5米处头球击中横梁
34'本田圭佑拼抢犯规了                   33'第33分钟，本田圭佑右侧开出角球，阿莱士后点距门5米处头球击中横梁
35'巴洛特利控球挑传给到右侧                   33'第33分钟，本田圭佑右侧开出角球，阿莱士后点距门5米处头球击中横梁
35'阿巴特右侧突破到了底线附近                   33'第33分钟，本田圭佑右侧开出角球，阿莱士后点距门5米处头球击中横梁
35'克里维罗防守把球碰出边线                   33'第33分钟，本田圭佑右侧开出角球，阿莱士后点距门5米处头球击中横梁
36'阿莱士直传球向前，中圈弗洛辛诺内断球了                   33'第33分钟，本田圭佑右侧开出角球，阿莱士后点距门5米处头球击中横梁
36'戈里低平球给到左侧                   33'第33分钟，本田圭佑右侧开出角球，阿莱士后点距门5米处头球击中横梁
44'克拉格尔任意球直接攻门得手                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
45'库茨卡和克拉格尔发生争执了                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
45'克拉格尔被黄牌警告                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
46'米兰禁区右侧的定位球                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
46'上半场补时2分钟                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
