3'曼联前场左路获得定位球的机会                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
3'拉什福德将球打到禁区中路                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
3'费莱尼这边捅射破门！！                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
3'但这球边裁举旗示意越位！！！                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
4'慢镜头来看这球确实是越位了                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
4'这场比赛对双方来说都很重要                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
5'布莱顿中场拿球                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
5'罗霍上抢的是犯规                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
5'布莱顿后场控一下                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
5'曼联这边前场积极拼抢                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
5'布莱顿长传打到前场                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
6'穆雷这边接球跟对方有身体接触                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
6'都倒地了                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
6'裁判这边没有表示                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
6'曼联中场拿球转移出来                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
6'费莱尼右路拿球推进                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
6'曼联这边传球失误了                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
6'布莱顿这边反击                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
6'给到了右路                   3'开场仅3分钟，拉什福德左路任意球传射，费莱尼包抄垫射破门因越位在先被判无效
57'1-0！！！                   57'布莱顿第57分钟打破僵局，伊斯基耶多禁区左侧强行突破达米安防守后传中，格罗斯小禁区边缘冲顶被罗霍在门线上挡出，但门线技术提示裁判进球有效
57'布莱顿进球了！！                   57'布莱顿第57分钟打破僵局，伊斯基耶多禁区左侧强行突破达米安防守后传中，格罗斯小禁区边缘冲顶被罗霍在门线上挡出，但门线技术提示裁判进球有效
58'格罗斯！！！                   57'布莱顿第57分钟打破僵局，伊斯基耶多禁区左侧强行突破达米安防守后传中，格罗斯小禁区边缘冲顶被罗霍在门线上挡出，但门线技术提示裁判进球有效
59'布莱顿中场传球给到左路，伊兹奎尔多接球到了禁区里，横敲被挡出，伊兹奎尔多底线附近再传后点，格罗斯头球攻门，曼联后卫补防将球解围，但是球的整体已经越过门线！！                   57'布莱顿第57分钟打破僵局，伊斯基耶多禁区左侧强行突破达米安防守后传中，格罗斯小禁区边缘冲顶被罗霍在门线上挡出，但门线技术提示裁判进球有效
59'裁判手上的手表也是确定球的整体已越过门线                   57'布莱顿第57分钟打破僵局，伊斯基耶多禁区左侧强行突破达米安防守后传中，格罗斯小禁区边缘冲顶被罗霍在门线上挡出，但门线技术提示裁判进球有效
60'这样对曼联来说就有一定的压力了                   57'布莱顿第57分钟打破僵局，伊斯基耶多禁区左侧强行突破达米安防守后传中，格罗斯小禁区边缘冲顶被罗霍在门线上挡出，但门线技术提示裁判进球有效
