18'射门!!!斯旺西球员谢尔维大禁区外右脚射门,被对方守门员横身扑出.                   18'第18分钟，谢尔维远射被扑出，寄诚庸10码处补射入网
18'进球啦！！！斯旺西球员Ki Sung-yueng大禁区中央左脚射门,球从左下角飞进球门,球进了! 斯旺西 1-0 胡尔城.                   18'第18分钟，谢尔维远射被扑出，寄诚庸10码处补射入网
20'布雷迪为胡尔城赢得一个任意球.                   18'第18分钟，谢尔维远射被扑出，寄诚庸10码处补射入网
20'斯旺西球员诺顿拼抢犯规,对手获得控球权.                   18'第18分钟，谢尔维远射被扑出，寄诚庸10码处补射入网
21'斯旺西球员柯克一脚直塞球给劳特里奇,但是边裁举旗显示后者已经越位.                   18'第18分钟，谢尔维远射被扑出，寄诚庸10码处补射入网
50'进球啦！！！胡尔城球员麦克肖恩球门线跟前左脚射门,球从中路飞进球门,球进了!助攻的是布鲁斯. 斯旺西 2-1 胡尔城.                   50'胡尔城第50分钟扳回一城，布鲁斯任意球混战中头球摆渡，麦克沙恩近距离推射破门
51'威廉姆斯将球处理出底线,胡尔城获得角球.                   50'胡尔城第50分钟扳回一城，布鲁斯任意球混战中头球摆渡，麦克沙恩近距离推射破门
51'尼尔-泰勒将球处理出底线,胡尔城获得角球.                   50'胡尔城第50分钟扳回一城，布鲁斯任意球混战中头球摆渡，麦克沙恩近距离推射破门
52'柯克将球处理出底线,胡尔城获得角球.                   50'胡尔城第50分钟扳回一城，布鲁斯任意球混战中头球摆渡，麦克沙恩近距离推射破门
52'胡尔城球员道森大禁区中央头球,被防守球员封堵.给他传球的是恩多耶.                   50'胡尔城第50分钟扳回一城，布鲁斯任意球混战中头球摆渡，麦克沙恩近距离推射破门
52'胡尔城球员恩多耶小禁区右侧右脚射门,被防守球员封堵.给他传球的是布雷迪.                   50'胡尔城第50分钟扳回一城，布鲁斯任意球混战中头球摆渡，麦克沙恩近距离推射破门
53'胡尔城球员梅勒拼抢犯规,对手获得控球权.                   50'胡尔城第50分钟扳回一城，布鲁斯任意球混战中头球摆渡，麦克沙恩近距离推射破门
53'诺顿为斯旺西在对方半场,赢得一个任意球.                   50'胡尔城第50分钟扳回一城，布鲁斯任意球混战中头球摆渡，麦克沙恩近距离推射破门
53'裁判将胡尔城的梅勒直接红牌罚下.                   50'胡尔城第50分钟扳回一城，布鲁斯任意球混战中头球摆渡，麦克沙恩近距离推射破门
53'斯旺西诺顿受伤倒地,比赛暂停                   50'胡尔城第50分钟扳回一城，布鲁斯任意球混战中头球摆渡，麦克沙恩近距离推射破门
