2'大连阿尔滨进球了                   2'阿尔滨取得梦幻般开局，开场2分钟便取得进球
2'迅雷不及掩耳盗铃啊                   2'阿尔滨取得梦幻般开局，开场2分钟便取得进球
3'进球的是郎征啊，不幸啊                   2'阿尔滨取得梦幻般开局，开场2分钟便取得进球
4'进球回放：阿尔滨起高球到前场，瓦罗头球摆渡，于大宝得球趟过门将射门，郎征补防解围不及把球踢进了自家球门                   2'阿尔滨取得梦幻般开局，开场2分钟便取得进球
4'当然这球郎征不碰的话球的滚动路线也是进球                   2'阿尔滨取得梦幻般开局，开场2分钟便取得进球
4'杨博宇被黄牌警告                   2'阿尔滨取得梦幻般开局，开场2分钟便取得进球
5'这个进球倒地最后算谁的看赛后官方的技术统计吧                   2'阿尔滨取得梦幻般开局，开场2分钟便取得进球
5'杨博宇刚刚是在防守中对毛剑卿犯规被黄牌警告                   2'阿尔滨取得梦幻般开局，开场2分钟便取得进球
4'进球回放：阿尔滨起高球到前场，瓦罗头球摆渡，于大宝得球趟过门将射门，郎征补防解围不及把球踢进了自家球门                   4'第4分钟，杨博宇防守时动作过大被主裁判出示黄牌
4'当然这球郎征不碰的话球的滚动路线也是进球                   4'第4分钟，杨博宇防守时动作过大被主裁判出示黄牌
4'杨博宇被黄牌警告                   4'第4分钟，杨博宇防守时动作过大被主裁判出示黄牌
5'这个进球倒地最后算谁的看赛后官方的技术统计吧                   4'第4分钟，杨博宇防守时动作过大被主裁判出示黄牌
5'杨博宇刚刚是在防守中对毛剑卿犯规被黄牌警告                   4'第4分钟，杨博宇防守时动作过大被主裁判出示黄牌
6'李提香防守犯规，大连阿尔滨前场任意球的机会                   4'第4分钟，杨博宇防守时动作过大被主裁判出示黄牌
6'罗申巴克任意球发到禁区里，防守队员解围                   4'第4分钟，杨博宇防守时动作过大被主裁判出示黄牌
7'于大宝边路找周通，周通传中被挡出底线                   4'第4分钟，杨博宇防守时动作过大被主裁判出示黄牌
7'角球发出来，瓦罗禁区外射门打高了                   4'第4分钟，杨博宇防守时动作过大被主裁判出示黄牌
9'北京国安队获得角球机会                   9'第9分钟，北京国安战术角球开出，郎征小禁区头球攻门被阿尔滨后卫干扰后球高出门楣
9'角球发到禁区里，郎征抢点打高了                   9'第9分钟，北京国安战术角球开出，郎征小禁区头球攻门被阿尔滨后卫干扰后球高出门楣
10'阿尔滨前场任意球的机会                   9'第9分钟，北京国安战术角球开出，郎征小禁区头球攻门被阿尔滨后卫干扰后球高出门楣
10'罗申巴克把球发到禁区里，防守队员头球解围                   9'第9分钟，北京国安战术角球开出，郎征小禁区头球攻门被阿尔滨后卫干扰后球高出门楣
10'外围朱小刚远射打偏了                   9'第9分钟，北京国安战术角球开出，郎征小禁区头球攻门被阿尔滨后卫干扰后球高出门楣
11'开场之后阿尔滨占据场上主动                   9'第9分钟，北京国安战术角球开出，郎征小禁区头球攻门被阿尔滨后卫干扰后球高出门楣
11'凯塔禁区底线传中，瓦罗门前抢点扫射打高了                   9'第9分钟，北京国安战术角球开出，郎征小禁区头球攻门被阿尔滨后卫干扰后球高出门楣
12'北京国安队暂时中场有些失去控制啊                   9'第9分钟，北京国安战术角球开出，郎征小禁区头球攻门被阿尔滨后卫干扰后球高出门楣
11'开场之后阿尔滨占据场上主动                   11'第11分钟，瓦罗错失扩大比分良机，凯塔底线回敲门前，瓦罗门前抢点推射球再次高出球门
11'凯塔禁区底线传中，瓦罗门前抢点扫射打高了                   11'第11分钟，瓦罗错失扩大比分良机，凯塔底线回敲门前，瓦罗门前抢点推射球再次高出球门
12'北京国安队暂时中场有些失去控制啊                   11'第11分钟，瓦罗错失扩大比分良机，凯塔底线回敲门前，瓦罗门前抢点推射球再次高出球门
13'凯塔中路推进，分到边路给了周通                   11'第11分钟，瓦罗错失扩大比分良机，凯塔底线回敲门前，瓦罗门前抢点推射球再次高出球门
13'周通边路传中被防守队员解围                   11'第11分钟，瓦罗错失扩大比分良机，凯塔底线回敲门前，瓦罗门前抢点推射球再次高出球门
14'于大宝遭到北京国安队员侵犯，摔出边线                   11'第11分钟，瓦罗错失扩大比分良机，凯塔底线回敲门前，瓦罗门前抢点推射球再次高出球门
19'于大宝又是受伤倒地了                   19'第19分钟，周通直传球找到了瓦罗，后者刚进入禁区内便起脚射门，国安门将侯森倒地将球扑住
19'雷腾龙在争顶的时候侵犯了于大宝                   19'第19分钟，周通直传球找到了瓦罗，后者刚进入禁区内便起脚射门，国安门将侯森倒地将球扑住
19'今天雷腾龙是首发右后卫                   19'第19分钟，周通直传球找到了瓦罗，后者刚进入禁区内便起脚射门，国安门将侯森倒地将球扑住
19'首发左后卫则是于洋                   19'第19分钟，周通直传球找到了瓦罗，后者刚进入禁区内便起脚射门，国安门将侯森倒地将球扑住
20'罗申巴克挑传找瓦罗，侯森把球得到                   19'第19分钟，周通直传球找到了瓦罗，后者刚进入禁区内便起脚射门，国安门将侯森倒地将球扑住
