2'球先被申鑫解围了出去                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
2'力帆队将球转移到了右路来进攻                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
3'叶重秋这边补防将球破坏出底线                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
3'力帆角球打了一个战术                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
3'边路的传球送禁区后点                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
3'又是叶重秋头球顶出底线                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
3'力帆角球送前点，申鑫头球解围出来                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
4'本场比赛也是一场6分之战                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
4'申鑫后场长传找丹尼尔                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
4'丹尼尔接球后送直塞给到刘峻楠                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
4'刘峻楠接球后将球回敲                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
5'于涛禁区外围远射，没有处理好                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
5'申鑫中场断球下来送直塞                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
5'这球直接出了边线                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
7'阿杜阿中场抢球撞翻了丹尼尔                   7'第7分钟丹尼尔-奇马突破时被孙继海放倒，孙凯左脚射门踢高
8'丹尼尔前场拿球传球出来                   7'第7分钟丹尼尔-奇马突破时被孙继海放倒，孙凯左脚射门踢高
8'裁判先吹了力帆的犯规                   7'第7分钟丹尼尔-奇马突破时被孙继海放倒，孙凯左脚射门踢高
8'看看申鑫的任意球机会                   7'第7分钟丹尼尔-奇马突破时被孙继海放倒，孙凯左脚射门踢高
9'孙凯任意球直接打门                   7'第7分钟丹尼尔-奇马突破时被孙继海放倒，孙凯左脚射门踢高
9'这球没有压住，将球打高了                   7'第7分钟丹尼尔-奇马突破时被孙继海放倒，孙凯左脚射门踢高
9'比赛开始后，两队的节奏并不快                   7'第7分钟丹尼尔-奇马突破时被孙继海放倒，孙凯左脚射门踢高
14'力帆将球传到禁区内                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
14'队友头球顶下来后被申鑫解围                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
15'申鑫左路突破过去                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
15'奇玛左路接球后到了底线                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
15'倒三角传回来到了禁区内                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
15'于涛无人看防的情况下，推射远角，没进啊！！！                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
