16'沙奇里非常活跃，游弋到了右路，自己带球内切，突然一脚打门，偏出了                   16'开场16分钟，沙奇里左脚远射偏出
17'拜仁牢牢的控制了场上的局势，但进攻上还缺少实质性内容                   16'开场16分钟，沙奇里左脚远射偏出
17'右路拜仁队再起长传，门将冲出禁区，头球解围                   16'开场16分钟，沙奇里左脚远射偏出
18'汉堡队右侧直塞，丹特防守有些大意，被对手实现了传中，好在中路的博阿滕把球解围出底线                   16'开场16分钟，沙奇里左脚远射偏出
19'汉堡角球开到中路，诺伊尔高高跳起，稳健的摘下                   16'开场16分钟，沙奇里左脚远射偏出
19'皮萨罗前场拿球，面对两名后卫，赢得一个界外球                   16'开场16分钟，沙奇里左脚远射偏出
28'汉堡前场左侧的起球，眼看霍尔特比要抢到头球之际，又是诺伊尔很远的出击，把球拦截                   28'第28分钟，阿尔斯兰左路斜传，诺伊尔出击到禁区边缘，赶在拉索加前面胸部解围
28'这个球诺伊尔要是在慢一丁点，霍尔特比就要顶空门了                   28'第28分钟，阿尔斯兰左路斜传，诺伊尔出击到禁区边缘，赶在拉索加前面胸部解围
29'霍伊別尔格后场断球，交给拉菲尼亚                   28'第28分钟，阿尔斯兰左路斜传，诺伊尔出击到禁区边缘，赶在拉索加前面胸部解围
29'拉菲尼亚右侧精准的传中，给到远点的阿拉巴                   28'第28分钟，阿尔斯兰左路斜传，诺伊尔出击到禁区边缘，赶在拉索加前面胸部解围
30'阿拉巴无法转身，选择往外线走                   28'第28分钟，阿尔斯兰左路斜传，诺伊尔出击到禁区边缘，赶在拉索加前面胸部解围
30'拜仁的角球机会                   28'第28分钟，阿尔斯兰左路斜传，诺伊尔出击到禁区边缘，赶在拉索加前面胸部解围
30'角球到远点，迪克迈尔把球再次挡出底线                   28'第28分钟，阿尔斯兰左路斜传，诺伊尔出击到禁区边缘，赶在拉索加前面胸部解围
30'沙奇里开了个战术角球，交给拉菲尼亚                   28'第28分钟，阿尔斯兰左路斜传，诺伊尔出击到禁区边缘，赶在拉索加前面胸部解围
31'拉菲尼亚自己带球突破，出了边线                   28'第28分钟，阿尔斯兰左路斜传，诺伊尔出击到禁区边缘，赶在拉索加前面胸部解围
31'上半场进行了30分钟，双方目前还是0-0                   28'第28分钟，阿尔斯兰左路斜传，诺伊尔出击到禁区边缘，赶在拉索加前面胸部解围
31'估计不少拜仁的球迷现在已经有些着急了，别急，板凳上还有大腕压阵                   28'第28分钟，阿尔斯兰左路斜传，诺伊尔出击到禁区边缘，赶在拉索加前面胸部解围
46'左路下底传中，威胁很大啊，诺伊尔倒地扑住，稍微有些靠近门将                   46'下半时开始1分钟，拉索加中场直传反击，诺伊尔弃门出击，N-穆勒左侧禁区前沿斜射稍偏出近门柱
