6'比达尔的直塞球失误了                   6'开场6分钟，阿拉巴左路弧线球传中，穆勒在门前11米处头球偏出右门柱
6'夸雷斯马带球突破，博阿滕直接将球抢下来                   6'开场6分钟，阿拉巴左路弧线球传中，穆勒在门前11米处头球偏出右门柱
7'阿拉巴边路突破。下底传中                   6'开场6分钟，阿拉巴左路弧线球传中，穆勒在门前11米处头球偏出右门柱
7'穆勒的头球攻门                   6'开场6分钟，阿拉巴左路弧线球传中，穆勒在门前11米处头球偏出右门柱
7'顶偏了                   6'开场6分钟，阿拉巴左路弧线球传中，穆勒在门前11米处头球偏出右门柱
8'中场争抢球                   6'开场6分钟，阿拉巴左路弧线球传中，穆勒在门前11米处头球偏出右门柱
8'夸雷斯马拿球，快速突破，传球禁区，球被没收了                   6'开场6分钟，阿拉巴左路弧线球传中，穆勒在门前11米处头球偏出右门柱
9'前场J罗传球禁区，球被解围出来                   6'开场6分钟，阿拉巴左路弧线球传中，穆勒在门前11米处头球偏出右门柱
16'科曼传球失误了                   16'拜仁第16分钟取得人数优势
17'贝西克塔斯这边传球也是失误                   16'拜仁第16分钟取得人数优势
17'莱万断球准备反击，被犯规了                   16'拜仁第16分钟取得人数优势
17'裁判果断给了红牌，给了维达                   16'拜仁第16分钟取得人数优势
17'维达这球没有办法不犯规就是单刀了                   16'拜仁第16分钟取得人数优势
17'这样贝西克塔斯就将少打一人                   16'拜仁第16分钟取得人数优势
18'前场拜仁任意球机会                   16'拜仁第16分钟取得人数优势
19'J罗直接选择了打门呀                   16'拜仁第16分钟取得人数优势
19'稍稍打偏了                   16'拜仁第16分钟取得人数优势
46'贝西克塔斯的进攻                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
47'勒夫的传球禁区，被乌尔赖希没收了                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
48'罗本横传球给到比达尔，来一脚打门                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
