5'后点，利物浦球员停球做给伊比                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
5'伊比不做调整直接打门将球打偏了                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
5'伯恩茅斯这边反击的机会                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
5'威尔逊边路突破到了禁区里                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
5'最后的传球被对方铲了一下出了底线                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
5'角球送中路                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
6'伯恩茅斯这边进球了，但是被吹了                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
6'争抢头球的时候先有一个压人的的你工作                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
6'争抢头球的时候先有一个压人的动作                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
6'埃尔菲克的头球对洛夫伦有下压                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
6'球虽然进了，但是先犯规                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
7'威尔逊右路又进攻上来                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
7'洛夫伦滑铲将球先破坏                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
7'伯恩茅斯右路起送禁区内                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
7'中路又是被顶了出去                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
8'伯恩茅斯这段时间进攻很猛                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
8'伯恩茅斯的角球机会                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
8'角球这次给了一个前点                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
8'落点这次并不好                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
26'库蒂尼奥禁区前沿分球给到左路                   26'利物浦第26分钟取得领先，亨德森左路战术角球传中，越位位置的库迪尼奥抢点并未碰到皮球，后点的本特克近距离凌空捅射入网
26'斯科特尔跟进后推前点被破坏                   26'利物浦第26分钟取得领先，亨德森左路战术角球传中，越位位置的库迪尼奥抢点并未碰到皮球，后点的本特克近距离凌空捅射入网
26'利物浦的角球机会                   26'利物浦第26分钟取得领先，亨德森左路战术角球传中，越位位置的库迪尼奥抢点并未碰到皮球，后点的本特克近距离凌空捅射入网
26'角球打了一个战术配合                   26'利物浦第26分钟取得领先，亨德森左路战术角球传中，越位位置的库迪尼奥抢点并未碰到皮球，后点的本特克近距离凌空捅射入网
26'1-0！！                   26'利物浦第26分钟取得领先，亨德森左路战术角球传中，越位位置的库迪尼奥抢点并未碰到皮球，后点的本特克近距离凌空捅射入网
27'本特克！！                   26'利物浦第26分钟取得领先，亨德森左路战术角球传中，越位位置的库迪尼奥抢点并未碰到皮球，后点的本特克近距离凌空捅射入网
27'此时此刻值得来杯嘉士伯                   26'利物浦第26分钟取得领先，亨德森左路战术角球传中，越位位置的库迪尼奥抢点并未碰到皮球，后点的本特克近距离凌空捅射入网
