7'安东内利左路助攻，横传进禁区                   6'开场6分钟，德斯特罗禁区边缘转身左脚推射，索伦蒂诺倒地单手封出
7'德斯特罗转身打门被扑出                   6'开场6分钟，德斯特罗禁区边缘转身左脚推射，索伦蒂诺倒地单手封出
7'切尔奇二点包抄，底线前把球回做出来                   6'开场6分钟，德斯特罗禁区边缘转身左脚推射，索伦蒂诺倒地单手封出
7'混战中被巴勒莫后卫解围出来                   6'开场6分钟，德斯特罗禁区边缘转身左脚推射，索伦蒂诺倒地单手封出
8'巴勒莫中场的斜传，左路迪瓦拉停球出界                   6'开场6分钟，德斯特罗禁区边缘转身左脚推射，索伦蒂诺倒地单手封出
8'维蒂耶洛中场上抢犯规                   6'开场6分钟，德斯特罗禁区边缘转身左脚推射，索伦蒂诺倒地单手封出
9'里斯波利长传，奎松抢落点犯规                   6'开场6分钟，德斯特罗禁区边缘转身左脚推射，索伦蒂诺倒地单手封出
9'梅克斯回传门将，洛佩斯大脚解围                   6'开场6分钟，德斯特罗禁区边缘转身左脚推射，索伦蒂诺倒地单手封出
24'拉扎左路强突，连过两人                   24'第24分钟，奎松左路连突三人，迪瓦拉趟过安东内利禁区左侧底线回传，巴斯克斯在门前6米处左脚推射空门偏出
24'米兰后卫有犯规，但是球出去了，迪瓦拉拿球进禁区                   24'第24分钟，奎松左路连突三人，迪瓦拉趟过安东内利禁区左侧底线回传，巴斯克斯在门前6米处左脚推射空门偏出
24'倒三角回门前，米兰防线全空了，但是巴斯克斯抢点打偏了！                   24'第24分钟，奎松左路连突三人，迪瓦拉趟过安东内利禁区左侧底线回传，巴斯克斯在门前6米处左脚推射空门偏出
25'巴勒莫错失良机                   24'第24分钟，奎松左路连突三人，迪瓦拉趟过安东内利禁区左侧底线回传，巴斯克斯在门前6米处左脚推射空门偏出
25'米兰右路传中进禁区，被头球解围                   24'第24分钟，奎松左路连突三人，迪瓦拉趟过安东内利禁区左侧底线回传，巴斯克斯在门前6米处左脚推射空门偏出
25'迪瓦拉前场拿球，连续两个马赛回旋                   24'第24分钟，奎松左路连突三人，迪瓦拉趟过安东内利禁区左侧底线回传，巴斯克斯在门前6米处左脚推射空门偏出
25'左路巴勒莫的配合丢了                   24'第24分钟，奎松左路连突三人，迪瓦拉趟过安东内利禁区左侧底线回传，巴斯克斯在门前6米处左脚推射空门偏出
26'米兰反击，右路送传中到门前，德斯特罗抢点垫射打偏！                   24'第24分钟，奎松左路连突三人，迪瓦拉趟过安东内利禁区左侧底线回传，巴斯克斯在门前6米处左脚推射空门偏出
26'里斯波利右路被梅内回防断球                   24'第24分钟，奎松左路连突三人，迪瓦拉趟过安东内利禁区左侧底线回传，巴斯克斯在门前6米处左脚推射空门偏出
27'迪瓦拉前场背身拿球，转身突击                   24'第24分钟，奎松左路连突三人，迪瓦拉趟过安东内利禁区左侧底线回传，巴斯克斯在门前6米处左脚推射空门偏出
27'迪瓦拉再想过帕莱塔，被卡位                   24'第24分钟，奎松左路连突三人，迪瓦拉趟过安东内利禁区左侧底线回传，巴斯克斯在门前6米处左脚推射空门偏出
33'英雄无敌幻影射手：米兰平就不错了                   33'第33分钟，奎松左路切入禁区大力斜射被迭戈-洛佩斯倒地封出
33'拉扎左路拿球内切一步，抽射被洛佩斯扑出                   33'第33分钟，奎松左路切入禁区大力斜射被迭戈-洛佩斯倒地封出
34'二点球被梅克斯解围，角球                   33'第33分钟，奎松左路切入禁区大力斜射被迭戈-洛佩斯倒地封出
34'角球开出，禁区内巴勒莫队员先犯规                   33'第33分钟，奎松左路切入禁区大力斜射被迭戈-洛佩斯倒地封出
35'米兰左路配合被亚亚洛顶出边线                   33'第33分钟，奎松左路切入禁区大力斜射被迭戈-洛佩斯倒地封出
35'梅内下底，拿到一个角球                   33'第33分钟，奎松左路切入禁区大力斜射被迭戈-洛佩斯倒地封出
36'角球开出，没有威胁                   33'第33分钟，奎松左路切入禁区大力斜射被迭戈-洛佩斯倒地封出
36'巴斯克斯带球摆脱被德容绊倒                   33'第33分钟，奎松左路切入禁区大力斜射被迭戈-洛佩斯倒地封出
36'里斯波利右路强行起脚传中，被挡出                   33'第33分钟，奎松左路切入禁区大力斜射被迭戈-洛佩斯倒地封出
41'巴勒莫进球！                   41'第41分钟，里斯波利右路传中，里戈尼在门前4米处转身扫射被迭戈-洛佩斯铲出，巴雷托补射入网，但里戈尼越位在先，进球被判无效
41'但是裁判吹了越位在先！                   41'第41分钟，里斯波利右路传中，里戈尼在门前4米处转身扫射被迭戈-洛佩斯铲出，巴雷托补射入网，但里戈尼越位在先，进球被判无效
42'里斯波利右路传中，里格尼越位位置打门被洛佩斯扑出，巴雷托跟上补射破门，但是进球无效！                   41'第41分钟，里斯波利右路传中，里戈尼在门前4米处转身扫射被迭戈-洛佩斯铲出，巴雷托补射入网，但里戈尼越位在先，进球被判无效
42'这个判罚没有疑问                   41'第41分钟，里斯波利右路传中，里戈尼在门前4米处转身扫射被迭戈-洛佩斯铲出，巴雷托补射入网，但里戈尼越位在先，进球被判无效
43'迪瓦拉禁区前做球，巴斯克斯回敲被拦截                   41'第41分钟，里斯波利右路传中，里戈尼在门前4米处转身扫射被迭戈-洛佩斯铲出，巴雷托补射入网，但里戈尼越位在先，进球被判无效
43'梅内禁区前拿球横带，被铲抢                   41'第41分钟，里斯波利右路传中，里戈尼在门前4米处转身扫射被迭戈-洛佩斯铲出，巴雷托补射入网，但里戈尼越位在先，进球被判无效
43'切尔奇拿球被巴雷托绊倒，任意球                   41'第41分钟，里斯波利右路传中，里戈尼在门前4米处转身扫射被迭戈-洛佩斯铲出，巴雷托补射入网，但里戈尼越位在先，进球被判无效
44'切尔奇右路起速下底，传中被挡出，角球                   41'第41分钟，里斯波利右路传中，里戈尼在门前4米处转身扫射被迭戈-洛佩斯铲出，巴雷托补射入网，但里戈尼越位在先，进球被判无效
44'角球开外围，德容的打门被封堵                   41'第41分钟，里斯波利右路传中，里戈尼在门前4米处转身扫射被迭戈-洛佩斯铲出，巴雷托补射入网，但里戈尼越位在先，进球被判无效
44'米兰队员示意有手球，裁判没有理会                   41'第41分钟，里斯波利右路传中，里戈尼在门前4米处转身扫射被迭戈-洛佩斯铲出，巴雷托补射入网，但里戈尼越位在先，进球被判无效
56'乔切夫换下了巴雷托                   56'第56分钟，安东内利左路斜塞，德斯特罗在门前9米处捅射入网，但被判越位在先，慢镜显示，在安东内利传球瞬间，德斯特罗似与后卫平行
56'德斯特罗接应直塞，捅射破门                   56'第56分钟，安东内利左路斜塞，德斯特罗在门前9米处捅射入网，但被判越位在先，慢镜显示，在安东内利传球瞬间，德斯特罗似与后卫平行
56'但是越位在先                   56'第56分钟，安东内利左路斜塞，德斯特罗在门前9米处捅射入网，但被判越位在先，慢镜显示，在安东内利传球瞬间，德斯特罗似与后卫平行
56'进球无效                   56'第56分钟，安东内利左路斜塞，德斯特罗在门前9米处捅射入网，但被判越位在先，慢镜显示，在安东内利传球瞬间，德斯特罗似与后卫平行
57'切尔奇把球塞入禁区，被门将拿到                   56'第56分钟，安东内利左路斜塞，德斯特罗在门前9米处捅射入网，但被判越位在先，慢镜显示，在安东内利传球瞬间，德斯特罗似与后卫平行
57'拉扎左路传中，里格尼门前拿球转身倒地                   56'第56分钟，安东内利左路斜塞，德斯特罗在门前9米处捅射入网，但被判越位在先，慢镜显示，在安东内利传球瞬间，德斯特罗似与后卫平行
57'裁判没有表示                   56'第56分钟，安东内利左路斜塞，德斯特罗在门前9米处捅射入网，但被判越位在先，慢镜显示，在安东内利传球瞬间，德斯特罗似与后卫平行
59'奎松拿球被阿巴特绊倒                   56'第56分钟，安东内利左路斜塞，德斯特罗在门前9米处捅射入网，但被判越位在先，慢镜显示，在安东内利传球瞬间，德斯特罗似与后卫平行
59'巴勒莫换人，贝洛蒂换下奎松                   56'第56分钟，安东内利左路斜塞，德斯特罗在门前9米处捅射入网，但被判越位在先，慢镜显示，在安东内利传球瞬间，德斯特罗似与后卫平行
59'任意球旋入禁区被德容头球解围                   56'第56分钟，安东内利左路斜塞，德斯特罗在门前9米处捅射入网，但被判越位在先，慢镜显示，在安东内利传球瞬间，德斯特罗似与后卫平行
71'巴勒莫右路断球，反击                   71'第71分钟，贝洛蒂禁区右侧接应直传，转身让球扣过帕莱塔，被对方勾倒在地，多维里判罚极刑，迪瓦拉主罚左脚推进右下角，1比1
71'帕莱塔禁区内绊人犯规了                   71'第71分钟，贝洛蒂禁区右侧接应直传，转身让球扣过帕莱塔，被对方勾倒在地，多维里判罚极刑，迪瓦拉主罚左脚推进右下角，1比1
71'点球！                   71'第71分钟，贝洛蒂禁区右侧接应直传，转身让球扣过帕莱塔，被对方勾倒在地，多维里判罚极刑，迪瓦拉主罚左脚推进右下角，1比1
71'裁判黄牌警告帕莱塔！                   71'第71分钟，贝洛蒂禁区右侧接应直传，转身让球扣过帕莱塔，被对方勾倒在地，多维里判罚极刑，迪瓦拉主罚左脚推进右下角，1比1
72'贝洛蒂禁区内扣球过人，被帕莱塔伸腿绊倒了，点球无疑                   71'第71分钟，贝洛蒂禁区右侧接应直传，转身让球扣过帕莱塔，被对方勾倒在地，多维里判罚极刑，迪瓦拉主罚左脚推进右下角，1比1
72'迪瓦拉点球一蹴而就！                   71'第71分钟，贝洛蒂禁区右侧接应直传，转身让球扣过帕莱塔，被对方勾倒在地，多维里判罚极刑，迪瓦拉主罚左脚推进右下角，1比1
72'1-1！                   71'第71分钟，贝洛蒂禁区右侧接应直传，转身让球扣过帕莱塔，被对方勾倒在地，多维里判罚极刑，迪瓦拉主罚左脚推进右下角，1比1
72'洛佩斯虽然判断对了球路，但是球速太快                   71'第71分钟，贝洛蒂禁区右侧接应直传，转身让球扣过帕莱塔，被对方勾倒在地，多维里判罚极刑，迪瓦拉主罚左脚推进右下角，1比1
73'亚亚洛右路防守犯规                   71'第71分钟，贝洛蒂禁区右侧接应直传，转身让球扣过帕莱塔，被对方勾倒在地，多维里判罚极刑，迪瓦拉主罚左脚推进右下角，1比1
73'裁判黄牌警告了亚亚洛                   71'第71分钟，贝洛蒂禁区右侧接应直传，转身让球扣过帕莱塔，被对方勾倒在地，多维里判罚极刑，迪瓦拉主罚左脚推进右下角，1比1
74'梅内左路传中，前点队友脚后跟一蹭被索伦蒂诺扑出                   71'第71分钟，贝洛蒂禁区右侧接应直传，转身让球扣过帕莱塔，被对方勾倒在地，多维里判罚极刑，迪瓦拉主罚左脚推进右下角，1比1
83'里斯波利右路传中被顶出                   83'AC米兰第83分钟再度超出
83'米兰进球了！！                   83'AC米兰第83分钟再度超出
83'梅内！！                   83'AC米兰第83分钟再度超出
84'反击梅内一路带球，禁区线附近面对出击的门将射门入网！                   83'AC米兰第83分钟再度超出
84'米兰2-1再度取得领先                   83'AC米兰第83分钟再度超出
84'因扎吉也冲到了底线附近，和梅内庆祝                   83'AC米兰第83分钟再度超出
86'维蒂耶洛禁区前张弓搭箭，远射被封堵                   83'AC米兰第83分钟再度超出
86'米兰开始控制节奏                   83'AC米兰第83分钟再度超出
86'帕齐尼再次处在越位位置                   83'AC米兰第83分钟再度超出
