1'曼联率先开球！                   1'曼联第1分钟展开积极攻势
1'曼联身穿白色球衣！                   1'曼联第1分钟展开积极攻势
1'伯恩利身穿红蓝球衣！                   1'曼联第1分钟展开积极攻势
1'桑切斯左侧突破传中！球被解围出了边线！                   1'曼联第1分钟展开积极攻势
27'卢卡库头槌攻门！！！                   27'曼联第27分钟取得领先，桑切斯左路传中，无人贴防的卢卡库小禁区边缘头球破门
27'GOOOOOOOOOOOOOAL!                   27'曼联第27分钟取得领先，桑切斯左路传中，无人贴防的卢卡库小禁区边缘头球破门
44'博格巴中圈右侧得球！斜传左侧卢克肖！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
44'分中路桑切斯！脚后跟回传卢克肖！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
44'分点球点卢卡库！回传弧顶林加德！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
44'林加德抽射打中后卫！落到卢卡库脚下！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
45'卢卡库转身爆射！！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
45'GOOOOOOOOOOOOOOOOAL！！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
46'泰勒左侧得球！交给科克！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
46'伯恩利中场开球！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
46'卢卡库上来就一个犯规！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
46'伯恩利中圈任意球！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
46'任意球长传禁区右侧！摆渡到禁区左侧！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
46'博格巴大脚解围出去！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
46'马蒂奇得球分左侧卢克肖！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
46'转身被推倒了！犯规！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
47'马蒂奇挑传前场！被头球解围了！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
47'林德洛夫得球继续大脚给前场！送给了对手！                   44'曼联第44分钟扩大比分，卢卡库回敲，林加德禁区弧边缘劲射被泰勒封堵后偏转，韦斯特伍德仓促停球失误，卢卡库小禁区前低射入网，2-0
69'裁判给了点球！                   69'曼联第69分钟错失良机，列农禁区内对拉什福德犯规，博格巴点球射左下角被乔-哈特神勇扑出
69'博格巴慢跑推射！被哈特挡出啊！！                   69'曼联第69分钟错失良机，列农禁区内对拉什福德犯规，博格巴点球射左下角被乔-哈特神勇扑出
69'曼联右侧角球给到前点！                   69'曼联第69分钟错失良机，列农禁区内对拉什福德犯规，博格巴点球射左下角被乔-哈特神勇扑出
70'拼抢球到了外围！                   69'曼联第69分钟错失良机，列农禁区内对拉什福德犯规，博格巴点球射左下角被乔-哈特神勇扑出
70'马蒂奇远射打飞了！                   69'曼联第69分钟错失良机，列农禁区内对拉什福德犯规，博格巴点球射左下角被乔-哈特神勇扑出
70'拉什福德左侧突破底线！                   69'曼联第69分钟错失良机，列农禁区内对拉什福德犯规，博格巴点球射左下角被乔-哈特神勇扑出
71'球拼抢出界！拉什福德倒地被欺负了！                   69'曼联第69分钟错失良机，列农禁区内对拉什福德犯规，博格巴点球射左下角被乔-哈特神勇扑出
71'拉什福德起来跟对手顶牛！                   69'曼联第69分钟错失良机，列农禁区内对拉什福德犯规，博格巴点球射左下角被乔-哈特神勇扑出
