48'黄牌！国际米兰球员萨穆埃尔因为恶意犯规,被主裁判出示黄牌.                   48'开场3分钟，利亚伊奇在门前26米处主罚任意球被汉达诺维奇击出
50'罗马尼奥利将球处理出底线,国际米兰获得角球.                   48'开场3分钟，利亚伊奇在门前26米处主罚任意球被汉达诺维奇击出
51'德罗西为罗马赢得一个任意球.                   48'开场3分钟，利亚伊奇在门前26米处主罚任意球被汉达诺维奇击出
51'国际米兰球员帕拉西奥拼抢犯规,对手获得控球权.                   48'开场3分钟，利亚伊奇在门前26米处主罚任意球被汉达诺维奇击出
61'国际米兰球员长友佑都一脚直塞球给帕拉西奥,但是边裁举旗显示后者已经越位.                   60'第15分钟，罗兰多右路斜传，伊卡尔迪反越位距门9米处飞身凌空垫射偏出右门柱
62'罗马球员德斯特罗拼抢犯规,对手获得控球权.                   60'第15分钟，罗兰多右路斜传，伊卡尔迪反越位距门9米处飞身凌空垫射偏出右门柱
62'阿尔瓦雷斯为国际米兰赢得一个任意球.                   60'第15分钟，罗兰多右路斜传，伊卡尔迪反越位距门9米处飞身凌空垫射偏出右门柱
72'射门!!!罗马球员热尔维尼奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是罗马尼奥利.                   72'第27分钟，阿尔瓦雷斯突破贝纳蒂亚，禁区左侧回传碰后卫变线，瓜林没有第一时间起脚，随后右侧勉强小角度打高
72'国际米兰坎比亚索受伤倒地,比赛暂停                   72'第27分钟，阿尔瓦雷斯突破贝纳蒂亚，禁区左侧回传碰后卫变线，瓜林没有第一时间起脚，随后右侧勉强小角度打高
73'暂停结束,球员们重新开始比赛.                   72'第27分钟，阿尔瓦雷斯突破贝纳蒂亚，禁区左侧回传碰后卫变线，瓜林没有第一时间起脚，随后右侧勉强小角度打高
73'卡斯坦为罗马赢得一个任意球.                   72'第27分钟，阿尔瓦雷斯突破贝纳蒂亚，禁区左侧回传碰后卫变线，瓜林没有第一时间起脚，随后右侧勉强小角度打高
73'国际米兰球员伊卡尔迪拼抢犯规,对手获得控球权.                   72'第27分钟，阿尔瓦雷斯突破贝纳蒂亚，禁区左侧回传碰后卫变线，瓜林没有第一时间起脚，随后右侧勉强小角度打高
73'皮亚尼奇为罗马在对方半场,赢得一个任意球.                   72'第27分钟，阿尔瓦雷斯突破贝纳蒂亚，禁区左侧回传碰后卫变线，瓜林没有第一时间起脚，随后右侧勉强小角度打高
73'国际米兰球员罗兰多拼抢犯规,对手获得控球权.                   72'第27分钟，阿尔瓦雷斯突破贝纳蒂亚，禁区左侧回传碰后卫变线，瓜林没有第一时间起脚，随后右侧勉强小角度打高
74'国际米兰换人,博塔换下伊卡尔迪                   72'第27分钟，阿尔瓦雷斯突破贝纳蒂亚，禁区左侧回传碰后卫变线，瓜林没有第一时间起脚，随后右侧勉强小角度打高
75'射门!!!罗马球员皮亚尼奇大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是纳英戈兰.                   72'第27分钟，阿尔瓦雷斯突破贝纳蒂亚，禁区左侧回传碰后卫变线，瓜林没有第一时间起脚，随后右侧勉强小角度打高
75'汉达诺维奇将球处理出底线,罗马获得角球.                   72'第27分钟，阿尔瓦雷斯突破贝纳蒂亚，禁区左侧回传碰后卫变线，瓜林没有第一时间起脚，随后右侧勉强小角度打高
75'罗马球员皮亚尼奇大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是斯特罗特曼.                   72'第27分钟，阿尔瓦雷斯突破贝纳蒂亚，禁区左侧回传碰后卫变线，瓜林没有第一时间起脚，随后右侧勉强小角度打高
78'罗马球员纳英戈兰大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   77'国米第32分钟经历险情，托罗西迪斯右路传中，纳英戈兰头球一蹭，德斯特罗后点距门6米处左脚推射击中近门柱，球打在汉达诺维奇身上反弹入网，但德斯特罗被判越位在先，进球无效
85'若纳坦将球处理出底线,罗马获得角球.                   85'第40分钟，托罗西迪斯右路传中，热尔维尼奥在门前9米处转身左脚射门被封堵
86'罗马罗马尼奥利受伤倒地,比赛暂停                   85'第40分钟，托罗西迪斯右路传中，热尔维尼奥在门前9米处转身左脚射门被封堵
86'暂停结束,球员们重新开始比赛.                   85'第40分钟，托罗西迪斯右路传中，热尔维尼奥在门前9米处转身左脚射门被封堵
88'国际米兰换人,萨内蒂换下若纳坦                   85'第40分钟，托罗西迪斯右路传中，热尔维尼奥在门前9米处转身左脚射门被封堵
