1'上半场比赛开始！！                   1'第1分钟，聚勒出现在后腰位置，马伊和博阿滕搭档中卫
3'汉诺威左路拿球被侵犯                   1'第1分钟，聚勒出现在后腰位置，马伊和博阿滕搭档中卫
3'任意球给到禁区前点                   1'第1分钟，聚勒出现在后腰位置，马伊和博阿滕搭档中卫
3'乌尔赖希将球击出                   1'第1分钟，聚勒出现在后腰位置，马伊和博阿滕搭档中卫
3'汉诺威前场拿球                   1'第1分钟，聚勒出现在后腰位置，马伊和博阿滕搭档中卫
3'前场前沿接着打                   1'第1分钟，聚勒出现在后腰位置，马伊和博阿滕搭档中卫
3'被后卫挡了一下                   1'第1分钟，聚勒出现在后腰位置，马伊和博阿滕搭档中卫
4'汉诺威中场重新控球                   1'第1分钟，聚勒出现在后腰位置，马伊和博阿滕搭档中卫
4'拜仁这边打得就相对轻松了                   1'第1分钟，聚勒出现在后腰位置，马伊和博阿滕搭档中卫
4'蒂亚戈中场断球下来                   1'第1分钟，聚勒出现在后腰位置，马伊和博阿滕搭档中卫
4'回敲到禁区                   1'第1分钟，聚勒出现在后腰位置，马伊和博阿滕搭档中卫
4'汉诺威这边险些断球下来                   1'第1分钟，聚勒出现在后腰位置，马伊和博阿滕搭档中卫
4'汉诺威这边后场控球下来                   1'第1分钟，聚勒出现在后腰位置，马伊和博阿滕搭档中卫
16'控球方面拜仁是59%                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
16'拜仁中场继续拿球                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
16'汉诺威这边也是积极上抢                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
16'罗本右路拿球到了禁区里                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
16'内切走中路                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
16'最后先被对方捅了出去                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
16'拜仁这边还有机会                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
16'左路起球送禁区！！！                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
17'绍内尔小禁区内封出了对方的头球！！                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
17'拜仁这边禁区外围再打                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
17'绍内尔一个侧扑将球挡了出去                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
17'射门的是聚勒                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
17'之前拜仁的第一次打门是瓦格纳                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
18'双方这边有球员受伤倒地                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
18'争抢头球的时候撞在了一起                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
18'瓦格纳跟萨内                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
18'双方迎面撞在了一起                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
19'比赛恢复进行                   16'拜仁第16分钟险些破门，J罗左肋斜传，瓦格纳在门前8米处冲顶被乔纳扑出
26'汉诺威左路起球送禁区                   26'汉诺威第26分钟制造威胁，施韦格勒左侧开出任意球，许伯斯前点距门7米处半凌空弹射被乌尔赖希封出近角
26'抢到点了！！！                   26'汉诺威第26分钟制造威胁，施韦格勒左侧开出任意球，许伯斯前点距门7米处半凌空弹射被乌尔赖希封出近角
26'打在防守球员身上                   26'汉诺威第26分钟制造威胁，施韦格勒左侧开出任意球，许伯斯前点距门7米处半凌空弹射被乌尔赖希封出近角
26'可惜啊                   26'汉诺威第26分钟制造威胁，施韦格勒左侧开出任意球，许伯斯前点距门7米处半凌空弹射被乌尔赖希封出近角
27'罗本边路防守的时候上抢犯规                   26'汉诺威第26分钟制造威胁，施韦格勒左侧开出任意球，许伯斯前点距门7米处半凌空弹射被乌尔赖希封出近角
27'汉诺威这边获得一个位置还算不错的任意球                   26'汉诺威第26分钟制造威胁，施韦格勒左侧开出任意球，许伯斯前点距门7米处半凌空弹射被乌尔赖希封出近角
27'任意球给到禁区前点                   26'汉诺威第26分钟制造威胁，施韦格勒左侧开出任意球，许伯斯前点距门7米处半凌空弹射被乌尔赖希封出近角
28'队友抢点外脚背一蹭                   26'汉诺威第26分钟制造威胁，施韦格勒左侧开出任意球，许伯斯前点距门7米处半凌空弹射被乌尔赖希封出近角
28'乌尔赖希一个侧扑将球扑出底线                   26'汉诺威第26分钟制造威胁，施韦格勒左侧开出任意球，许伯斯前点距门7米处半凌空弹射被乌尔赖希封出近角
28'汉诺威的角球机会                   26'汉诺威第26分钟制造威胁，施韦格勒左侧开出任意球，许伯斯前点距门7米处半凌空弹射被乌尔赖希封出近角
28'角球送中路                   26'汉诺威第26分钟制造威胁，施韦格勒左侧开出任意球，许伯斯前点距门7米处半凌空弹射被乌尔赖希封出近角
28'被破坏出去                   26'汉诺威第26分钟制造威胁，施韦格勒左侧开出任意球，许伯斯前点距门7米处半凌空弹射被乌尔赖希封出近角
57'拜仁前场拿球                   57'拜仁第57分钟打破僵局
57'蒂亚戈拿球将球摘出来                   57'拜仁第57分钟打破僵局
57'0-1！！！                   57'拜仁第57分钟打破僵局
57'托马斯-穆勒！！！                   57'拜仁第57分钟打破僵局
58'贝尔纳特左路接队友传球，禁区内回敲到中路，托马斯-穆勒跟进推射远角破门                   57'拜仁第57分钟打破僵局
58'这球贝尔纳特接球的时候有越位嫌疑啊                   57'拜仁第57分钟打破僵局
58'托马斯-穆勒这边打门的时候也是碰到了对方有一个小变向                   57'拜仁第57分钟打破僵局
59'裁判这边认定进球有效                   57'拜仁第57分钟打破僵局
60'J罗禁区外围再来一脚                   57'拜仁第57分钟打破僵局
60'还是打高了                   57'拜仁第57分钟打破僵局
73'萨内前点将球解围                   73'第73分钟，鲁迪右侧开出角球，莱万在门前10米处头球弹地入左下角，2比0
73'拜仁的角球机会                   73'第73分钟，鲁迪右侧开出角球，莱万在门前10米处头球弹地入左下角，2比0
73'鲁迪角球给到中路                   73'第73分钟，鲁迪右侧开出角球，莱万在门前10米处头球弹地入左下角，2比0
73'0-2！！！！                   73'第73分钟，鲁迪右侧开出角球，莱万在门前10米处头球弹地入左下角，2比0
73'莱万多夫斯基！！！                   73'第73分钟，鲁迪右侧开出角球，莱万在门前10米处头球弹地入左下角，2比0
73'鲁迪角球给到点球点附近，莱万多夫斯基高高跃起头球攻门破门！！                   73'第73分钟，鲁迪右侧开出角球，莱万在门前10米处头球弹地入左下角，2比0
73'这球打得很简单啊                   73'第73分钟，鲁迪右侧开出角球，莱万在门前10米处头球弹地入左下角，2比0
74'莱万多夫斯基的第28粒进球                   73'第73分钟，鲁迪右侧开出角球，莱万在门前10米处头球弹地入左下角，2比0
76'汉诺威这边有些泄气了                   73'第73分钟，鲁迪右侧开出角球，莱万在门前10米处头球弹地入左下角，2比0
76'博阿滕长传给到底线                   73'第73分钟，鲁迪右侧开出角球，莱万在门前10米处头球弹地入左下角，2比0
76'直接出界了                   73'第73分钟，鲁迪右侧开出角球，莱万在门前10米处头球弹地入左下角，2比0
89'蒂亚戈左路拿球                   89'拜仁第89分钟又下一城，穆勒禁区右侧回传，鲁迪在门前10米处半凌空扫射入左下角，3比0
89'内切进来                   89'拜仁第89分钟又下一城，穆勒禁区右侧回传，鲁迪在门前10米处半凌空扫射入左下角，3比0
89'分出去                   89'拜仁第89分钟又下一城，穆勒禁区右侧回传，鲁迪在门前10米处半凌空扫射入左下角，3比0
89'0-3！！！                   89'拜仁第89分钟又下一城，穆勒禁区右侧回传，鲁迪在门前10米处半凌空扫射入左下角，3比0
89'鲁迪！！                   89'拜仁第89分钟又下一城，穆勒禁区右侧回传，鲁迪在门前10米处半凌空扫射入左下角，3比0
90'拜仁左路起球送禁区后点，队友顶到后点，托马斯-穆勒接球后回敲到点球点，鲁迪跟进脚弓推射破门！！                   89'拜仁第89分钟又下一城，穆勒禁区右侧回传，鲁迪在门前10米处半凌空扫射入左下角，3比0
90'汉诺威这边攻到前场                   89'拜仁第89分钟又下一城，穆勒禁区右侧回传，鲁迪在门前10米处半凌空扫射入左下角，3比0
90'出了底线                   89'拜仁第89分钟又下一城，穆勒禁区右侧回传，鲁迪在门前10米处半凌空扫射入左下角，3比0
