4'厄齐尔回防，控制住第二落点                   4'开场4分钟，小猪远射被法比安斯基得到
4'阿森纳中场再次失误，拜仁过顶给到小猪                   4'开场4分钟，小猪远射被法比安斯基得到
4'小猪拿球，转身后禁区外直接一脚打门，被法比安斯基收入怀中                   4'开场4分钟，小猪远射被法比安斯基得到
5'开场以后，阿森纳在有意提高进攻速度，但是拜仁却是想要控球了                   4'开场4分钟，小猪远射被法比安斯基得到
5'拜仁右侧的进攻赢得角球                   4'开场4分钟，小猪远射被法比安斯基得到
6'角球开出到禁区，小猪争抢头球时被吹犯规在先，推了默特萨克                   4'开场4分钟，小猪远射被法比安斯基得到
6'丹特后场拿球，自己带球过中线                   4'开场4分钟，小猪远射被法比安斯基得到
7'接着的斜传找左侧的里贝里，结果没传好，出了边线                   4'开场4分钟，小猪远射被法比安斯基得到
7'阿森纳中场又是失误，拜仁右路反击                   4'开场4分钟，小猪远射被法比安斯基得到
7'拉姆直塞找罗本，科斯切尔尼上抢伸脚将球挡出边线                   4'开场4分钟，小猪远射被法比安斯基得到
20'队医进场紧急处理后，马丁内斯起身继续                   20'第20分钟，里贝里突入禁区左侧传中，罗本后点距门9米处左脚小角度推射高出横梁
20'阿森纳左侧角球机会，开出直接被诺伊尔出击没收                   20'第20分钟，里贝里突入禁区左侧传中，罗本后点距门9米处左脚小角度推射高出横梁
20'拜仁进攻，阿拉巴拿球，禁区外直塞给到左侧的里贝里                   20'第20分钟，里贝里突入禁区左侧传中，罗本后点距门9米处左脚小角度推射高出横梁
21'里贝里左脚传中到后点，罗本插上垫射，打飞                   20'第20分钟，里贝里突入禁区左侧传中，罗本后点距门9米处左脚小角度推射高出横梁
21'丹特中线附近的拦截被吹抬脚过高                   20'第20分钟，里贝里突入禁区左侧传中，罗本后点距门9米处左脚小角度推射高出横梁
22'上半场21分钟，比分0-0，总比分拜仁2-0领先                   20'第20分钟，里贝里突入禁区左侧传中，罗本后点距门9米处左脚小角度推射高出横梁
22'拜仁进攻，阿拉巴左路拿球，下底的横传，被回放的科斯切尔尼滑铲挡出                   20'第20分钟，里贝里突入禁区左侧传中，罗本后点距门9米处左脚小角度推射高出横梁
23'欧冠历史上仅有2次首回合主场2球落败后，次回合客场逆转晋级的先例                   20'第20分钟，里贝里突入禁区左侧传中，罗本后点距门9米处左脚小角度推射高出横梁
31'蒂亚戈身后回防带倒了张伯伦                   31'第31分钟，厄齐尔右侧开出角球，吉鲁在门前8米处冲顶右下角被诺伊尔侧扑没收
31'阿森纳获得禁区外的任意球机会                   31'第31分钟，厄齐尔右侧开出角球，吉鲁在门前8米处冲顶右下角被诺伊尔侧扑没收
31'卡索拉任意球直接攻门，打在人墙上出了底线                   31'第31分钟，厄齐尔右侧开出角球，吉鲁在门前8米处冲顶右下角被诺伊尔侧扑没收
31'阿森纳获得后侧角球机会                   31'第31分钟，厄齐尔右侧开出角球，吉鲁在门前8米处冲顶右下角被诺伊尔侧扑没收
