1'上半场比赛开始了，先由阿森纳开球                   1'阿森纳第1分钟占据主动，但双方都谨慎应对
1'阿森纳开球后在中场控制                   1'阿森纳第1分钟占据主动，但双方都谨慎应对
1'阿森纳右边路起球长传，但力量太大，球直接出了底线                   1'阿森纳第1分钟占据主动，但双方都谨慎应对
2'西汉姆现在在左边路组织，他们也是打的非常的耐心                   1'阿森纳第1分钟占据主动，但双方都谨慎应对
2'西汉姆把球踢回到后场给奥邦纳                   1'阿森纳第1分钟占据主动，但双方都谨慎应对
2'奥邦纳后场起球大脚传到左边路                   1'阿森纳第1分钟占据主动，但双方都谨慎应对
2'阿森纳后卫解围不够彻底，球又落在西汉姆脚下                   1'阿森纳第1分钟占据主动，但双方都谨慎应对
2'西汉姆今天进攻主要打左侧                   1'阿森纳第1分钟占据主动，但双方都谨慎应对
3'汤姆金斯在中场漂亮的插上，一脚直传，边路库亚特突破到禁区边缘，横传！球被默特萨克铲出底线， 角球！！                   1'阿森纳第1分钟占据主动，但双方都谨慎应对
4'佩埃特主罚角球，传到门前，球被阿森纳高大的后卫头球解围                   1'阿森纳第1分钟占据主动，但双方都谨慎应对
4'阿森纳快速反击，中路卡索拉带球突破，直塞给中路前插的吉鲁，对方后卫一个关门防守，球留给了门将                   1'阿森纳第1分钟占据主动，但双方都谨慎应对
43'阿森纳右边路张伯伦传中到禁区弧里，插上的卡索拉胸部一顶，禁区里吉鲁转身扫射！球被门将扑出！！                   43'西汉姆第43分钟打破僵局，帕耶特任意球传中，库亚特10码处抢在切赫之前头球冲顶入网
43'不过边裁又举旗示意吉鲁越位！                   43'西汉姆第43分钟打破僵局，帕耶特任意球传中，库亚特10码处抢在切赫之前头球冲顶入网
43'慢镜头看吉鲁没有越位！                   43'西汉姆第43分钟打破僵局，帕耶特任意球传中，库亚特10码处抢在切赫之前头球冲顶入网
43'西汉姆获得前场任意球                   43'西汉姆第43分钟打破僵局，帕耶特任意球传中，库亚特10码处抢在切赫之前头球冲顶入网
44'任意球传到禁区里，库亚特抢点头球攻门顶入空门，切赫出击扑了一个空！                   43'西汉姆第43分钟打破僵局，帕耶特任意球传中，库亚特10码处抢在切赫之前头球冲顶入网
45'此时此刻值得来杯嘉士伯                   43'西汉姆第43分钟打破僵局，帕耶特任意球传中，库亚特10码处抢在切赫之前头球冲顶入网
45'上半场43分钟，西汉姆依靠前场任意球率先破门！！进球的是8号库亚特                   43'西汉姆第43分钟打破僵局，帕耶特任意球传中，库亚特10码处抢在切赫之前头球冲顶入网
46'阿森纳左边路进攻，短传渗透到禁区里厄齐尼的射门被后卫铲出！                   43'西汉姆第43分钟打破僵局，帕耶特任意球传中，库亚特10码处抢在切赫之前头球冲顶入网
46'下半场开始了，西汉姆开球                   43'西汉姆第43分钟打破僵局，帕耶特任意球传中，库亚特10码处抢在切赫之前头球冲顶入网
46'西汉姆在中场控球，领先的他们还是和上半场差不多打法                   43'西汉姆第43分钟打破僵局，帕耶特任意球传中，库亚特10码处抢在切赫之前头球冲顶入网
46'西汉姆的节奏打的比较慢                   43'西汉姆第43分钟打破僵局，帕耶特任意球传中，库亚特10码处抢在切赫之前头球冲顶入网
57'阿森纳右边路张伯伦拿球，横传给禁区里的吉鲁，停好球瞄了一眼，抽射！球又被阿德里安扑住！                   57'西汉姆第57分钟扩大比分，克雷斯维尔切入禁区左侧被铲断，张伯伦带球被萨拉特轻松抢断，其他阿森纳球员毫无反应，萨拉特25码处转身射出反弹球入左下角，2-0
57'萨拉特进球！！！2-0领先                   57'西汉姆第57分钟扩大比分，克雷斯维尔切入禁区左侧被铲断，张伯伦带球被萨拉特轻松抢断，其他阿森纳球员毫无反应，萨拉特25码处转身射出反弹球入左下角，2-0
57'此时此刻值得来杯嘉士伯                   57'西汉姆第57分钟扩大比分，克雷斯维尔切入禁区左侧被铲断，张伯伦带球被萨拉特轻松抢断，其他阿森纳球员毫无反应，萨拉特25码处转身射出反弹球入左下角，2-0
58'张伯伦禁区里抢断后趟球过大，被萨拉特抢断，转身就射，切赫这个时候估计刚刚放松下来，没有反应啊！！！                   57'西汉姆第57分钟扩大比分，克雷斯维尔切入禁区左侧被铲断，张伯伦带球被萨拉特轻松抢断，其他阿森纳球员毫无反应，萨拉特25码处转身射出反弹球入左下角，2-0
59'阿森纳用沃尔科特换下科奎林                   57'西汉姆第57分钟扩大比分，克雷斯维尔切入禁区左侧被铲断，张伯伦带球被萨拉特轻松抢断，其他阿森纳球员毫无反应，萨拉特25码处转身射出反弹球入左下角，2-0
60'看看沃尔科特上去会不会带来一些运气                   57'西汉姆第57分钟扩大比分，克雷斯维尔切入禁区左侧被铲断，张伯伦带球被萨拉特轻松抢断，其他阿森纳球员毫无反应，萨拉特25码处转身射出反弹球入左下角，2-0
75'阿森纳右边路拉姆塞斜传到禁区里，吉鲁头球抢点时顶在了身后后卫头上！！                   75'第75分钟，吉鲁同汤姆金斯争顶时头部相撞，两人双双倒地，队医立即入场救治
76'吉鲁似乎这一撞比较严重。                   75'第75分钟，吉鲁同汤姆金斯争顶时头部相撞，两人双双倒地，队医立即入场救治
77'经过简单处理，吉鲁已经自己站了起来走向场外                   75'第75分钟，吉鲁同汤姆金斯争顶时头部相撞，两人双双倒地，队医立即入场救治
78'比赛重新开始，阿森纳还是在寻找机会                   75'第75分钟，吉鲁同汤姆金斯争顶时头部相撞，两人双双倒地，队医立即入场救治
