4'利物浦球员杰拉德大禁区外右脚射门,被防守球员封堵.给他传球的是苏索.                   4'开场前4分钟，杰拉德两度外围射门均被封堵
8'利物浦球员苏索大禁区右侧左脚射门,被防守球员封堵.给他传球的是苏亚雷斯.                   8'第8分钟，苏亚雷斯分球右路，苏索内切禁区右侧的射门被桑顿挡出远角
8'桑顿将球处理出底线,利物浦获得角球.                   8'第8分钟，苏亚雷斯分球右路，苏索内切禁区右侧的射门被桑顿挡出远角
8'克鲁尔将球处理出底线,利物浦获得角球.                   8'第8分钟，苏亚雷斯分球右路，苏索内切禁区右侧的射门被桑顿挡出远角
11'利物浦球员斯特林大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   8'第8分钟，苏亚雷斯分球右路，苏索内切禁区右侧的射门被桑顿挡出远角
11'纽卡斯尔球员科洛奇尼拼抢犯规,对手获得控球权.                   8'第8分钟，苏亚雷斯分球右路，苏索内切禁区右侧的射门被桑顿挡出远角
11'苏亚雷斯为利物浦在对方半场,赢得一个任意球.                   8'第8分钟，苏亚雷斯分球右路，苏索内切禁区右侧的射门被桑顿挡出远角
15'纽卡斯尔球员登巴-巴大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是桑顿.                   15'纽卡斯尔首次射门出现在第15分钟，桑顿传球，登巴-巴30码处劲射稍稍高出
16'佩奇为纽卡斯尔赢得一个任意球.                   15'纽卡斯尔首次射门出现在第15分钟，桑顿传球，登巴-巴30码处劲射稍稍高出
16'利物浦球员沙辛拼抢犯规,对手获得控球权.                   15'纽卡斯尔首次射门出现在第15分钟，桑顿传球，登巴-巴30码处劲射稍稍高出
17'纽卡斯尔球员P-西塞大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是桑顿.                   15'纽卡斯尔首次射门出现在第15分钟，桑顿传球，登巴-巴30码处劲射稍稍高出
21'射门!!!利物浦球员苏亚雷斯大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是沙辛.                   21'第21分钟，沙欣直传，苏亚雷斯突入禁区右侧12码处小角度射门被克鲁尔用腿挡出
21'桑顿为纽卡斯尔赢得一个任意球.                   21'第21分钟，沙欣直传，苏亚雷斯突入禁区右侧12码处小角度射门被克鲁尔用腿挡出
21'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   21'第21分钟，沙欣直传，苏亚雷斯突入禁区右侧12码处小角度射门被克鲁尔用腿挡出
22'纽卡斯尔球员登巴-巴拼抢犯规,对手获得控球权.                   21'第21分钟，沙欣直传，苏亚雷斯突入禁区右侧12码处小角度射门被克鲁尔用腿挡出
22'阿格尔为利物浦赢得一个任意球.                   21'第21分钟，沙欣直传，苏亚雷斯突入禁区右侧12码处小角度射门被克鲁尔用腿挡出
22'泰勒将球处理出底线,利物浦获得角球.                   21'第21分钟，沙欣直传，苏亚雷斯突入禁区右侧12码处小角度射门被克鲁尔用腿挡出
24'纽卡斯尔佩奇受伤倒地,比赛暂停                   21'第21分钟，沙欣直传，苏亚雷斯突入禁区右侧12码处小角度射门被克鲁尔用腿挡出
29'利物浦球员苏亚雷斯大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是杰拉德.                   29'第29分钟，杰拉德直传禁区，苏亚雷斯禁区左肋10码处头球攻门偏出近角
30'登巴-巴为纽卡斯尔在对方半场,赢得一个任意球.                   29'第29分钟，杰拉德直传禁区，苏亚雷斯禁区左肋10码处头球攻门偏出近角
30'利物浦球员乔-阿伦拼抢犯规,对手获得控球权.                   29'第29分钟，杰拉德直传禁区，苏亚雷斯禁区左肋10码处头球攻门偏出近角
30'纽卡斯尔球员卡巴耶一脚直塞球给泰勒,但是边裁举旗显示后者已经越位.                   29'第29分钟，杰拉德直传禁区，苏亚雷斯禁区左肋10码处头球攻门偏出近角
32'科洛奇尼将球处理出底线,利物浦获得角球.                   29'第29分钟，杰拉德直传禁区，苏亚雷斯禁区左肋10码处头球攻门偏出近角
32'本-阿尔法为纽卡斯尔赢得一个任意球.                   29'第29分钟，杰拉德直传禁区，苏亚雷斯禁区左肋10码处头球攻门偏出近角
32'利物浦球员苏索拼抢犯规,对手获得控球权.                   29'第29分钟，杰拉德直传禁区，苏亚雷斯禁区左肋10码处头球攻门偏出近角
