2'鲁能泰山队进球啦，吴兴涵！！1-0                   2'第2分钟，郑铮任意球传中，吴兴涵头球破门
3'郑铮发任意球到禁区内！吴兴涵头球冲顶，皮球弹地擦着立柱打进！！！                   2'第2分钟，郑铮任意球传中，吴兴涵头球破门
3'早早进球，对鲁能泰山队来说就好打多了                   2'第2分钟，郑铮任意球传中，吴兴涵头球破门
3'天津权健队中突破！崔鹏手球犯规                   2'第2分钟，郑铮任意球传中，吴兴涵头球破门
3'权健队前场任意球机会                   2'第2分钟，郑铮任意球传中，吴兴涵头球破门
4'帕托站在球前！！                   2'第2分钟，郑铮任意球传中，吴兴涵头球破门
4'任意球发到禁区内！孙可抢点打门，被韩镕泽挡出，孙可再打！后卫挡出底线                   2'第2分钟，郑铮任意球传中，吴兴涵头球破门
4'角球机会                   2'第2分钟，郑铮任意球传中，吴兴涵头球破门
5'角球发到禁区内，对方破坏出边线                   2'第2分钟，郑铮任意球传中，吴兴涵头球破门
5'界外球发出来，右路横传禁区！被顶出来                   2'第2分钟，郑铮任意球传中，吴兴涵头球破门
5'鲁能泰山队攻到前场，分到右路                   2'第2分钟，郑铮任意球传中，吴兴涵头球破门
5'张驰横传球！裁判哨响！                   2'第2分钟，郑铮任意球传中，吴兴涵头球破门
5'蒿俊闵手球犯规                   2'第2分钟，郑铮任意球传中，吴兴涵头球破门
27'这一粒进球，对天津权健队是暖心的一球！心也没有那么凉了                   26'第26分钟，王永珀角球助攻，杨旭头球破门
27'王彤前场得球，分到右路                   26'第26分钟，王永珀角球助攻，杨旭头球破门
27'鲁能泰山队前场直传禁区！身后球，大了些！                   26'第26分钟，王永珀角球助攻，杨旭头球破门
28'天津权健队长传球到禁区内，戴琳顶出来                   26'第26分钟，王永珀角球助攻，杨旭头球破门
29'前场鲁能泰山队突破，被断                   26'第26分钟，王永珀角球助攻，杨旭头球破门
29'中场鲁能泰山队断球，金敬道横传球到左路                   26'第26分钟，王永珀角球助攻，杨旭头球破门
47'主裁判一声哨响，上半场比赛结束                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
47'天津权健队左路进攻，球出边线                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
47'界外球发出来！鲁能泰山队右路进攻，传中球被破坏                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
47'得到了角球机会                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
48'塔尔德利发角球到禁区内，对方解围出来                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
48'王永珀得球，右路进攻，被抢断                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
48'后场鲁能泰山队断球，右路攻到前场，交给塔尔德利                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
48'塔尔德利挑传球想人球分过，没能成功！                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
49'郑达伦右路带球突破！被断                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
49'吴兴涵上抢犯规！黄牌一枚！                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
49'吴兴涵的这个铲球动作有些大！                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
50'中场右路天津权健队任意球                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
50'帕托发任意球到前场，对方顶出来                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
50'前场天津权健队得球直传禁区！！被破坏出来                   47'开场2分钟，吴兴涵制造边路任意球，郑铮弧线球传中，吴兴涵后插上头球冲顶破门，山东鲁能1-0领先
58'到场边塔尔德利试了一下！看来问题不大！                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
58'鲁能泰山队右路直传球，力量大啦！蒿俊闵追不上！                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
58'皮球直接出底线                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
58'天津权健队换人：王晓龙上场，换下张诚！                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
58'又是一名鲁能泰山队旧将！                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
59'中场鲁能泰山队断球，直传交给塔尔德利！                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
59'塔尔德利横带突破直传！！张驰抢点打前点！打在边网上！                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
59'可惜了了这次机会                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
59'如果张驰能打后点，可能就有了！                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
60'不过这个选择也没有什么错！                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
60'鲁能泰山队换人：成源上场换下张驰！                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
60'这也是一名前场球员！                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
60'中场天津权健队断球，对方犯规                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
60'任意球快速发出来，长传前场左路！                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
61'后场鲁能泰山队断球，转移到中路进攻                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
61'塔尔德利回中场拿球，分到右路                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
61'吉尔到叶导播抢到球！横传到左中和                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
61'成源横传球，被抢断啦                   58'第13分钟，塔尔德利分球，金敬道边路低传点球点附近，塔尔德利跟进推射破门，塔尔德利打入个人本赛季第16个进球，山东鲁能2-0领先
27'这一粒进球，对天津权健队是暖心的一球！心也没有那么凉了                   26'第26分钟，天津权健取得进球，王永珀主罚角球弧线球传中，杨旭禁区内高高跃起甩头攻门得手，两名前山东鲁能球员联手为天津权健扳回一分
27'王彤前场得球，分到右路                   26'第26分钟，天津权健取得进球，王永珀主罚角球弧线球传中，杨旭禁区内高高跃起甩头攻门得手，两名前山东鲁能球员联手为天津权健扳回一分
27'鲁能泰山队前场直传禁区！身后球，大了些！                   26'第26分钟，天津权健取得进球，王永珀主罚角球弧线球传中，杨旭禁区内高高跃起甩头攻门得手，两名前山东鲁能球员联手为天津权健扳回一分
28'天津权健队长传球到禁区内，戴琳顶出来                   26'第26分钟，天津权健取得进球，王永珀主罚角球弧线球传中，杨旭禁区内高高跃起甩头攻门得手，两名前山东鲁能球员联手为天津权健扳回一分
29'前场鲁能泰山队突破，被断                   26'第26分钟，天津权健取得进球，王永珀主罚角球弧线球传中，杨旭禁区内高高跃起甩头攻门得手，两名前山东鲁能球员联手为天津权健扳回一分
29'中场鲁能泰山队断球，金敬道横传球到左路                   26'第26分钟，天津权健取得进球，王永珀主罚角球弧线球传中，杨旭禁区内高高跃起甩头攻门得手，两名前山东鲁能球员联手为天津权健扳回一分
