4'王燊超传中没有给好，落点太低                   4'上港开场即反客为主形成持续前压，比赛前4分钟即获得两次角球
4'一开场上港就攻的比较猛，主场作战的永昌还没有什么碰球的机会                   4'上港开场即反客为主形成持续前压，比赛前4分钟即获得两次角球
4'上港再次创造一个角球，这次是右侧                   4'上港开场即反客为主形成持续前压，比赛前4分钟即获得两次角球
5'还是孔卡主罚，给到前点，太深了                   4'上港开场即反客为主形成持续前压，比赛前4分钟即获得两次角球
5'前门柱的后卫头球解围                   4'上港开场即反客为主形成持续前压，比赛前4分钟即获得两次角球
5'毛剑卿策动反击，被对手战术犯规拉倒                   4'上港开场即反客为主形成持续前压，比赛前4分钟即获得两次角球
5'球进了                   4'上港开场即反客为主形成持续前压，比赛前4分钟即获得两次角球
6'汪佳捷的乌龙球啊                   4'上港开场即反客为主形成持续前压，比赛前4分钟即获得两次角球
7'刘君鹏中场的直塞，想交给插上的毛剑卿，汪佳捷回防中在禁区前沿伸腿一挡，结果变成吊门，直接越过颜骏凌头顶，飞入大门                   4'上港开场即反客为主形成持续前压，比赛前4分钟即获得两次角球
7'永昌很幸运啊，梦幻开局，接到大礼啊                   4'上港开场即反客为主形成持续前压，比赛前4分钟即获得两次角球
8'上港的进攻不错，孔卡分边给吕文君，吕文君传中给的太大                   8'第8分钟，穆伦加大脚转移又策动永昌颇具威胁的快攻，隆东在禁区右侧扣球摆脱两人后传中，中路接应的毛剑卿未踢正部位，错过攻门良机
8'永昌的反击，隆东技术很霸道，禁区内1V2，把球分出来                   8'第8分钟，穆伦加大脚转移又策动永昌颇具威胁的快攻，隆东在禁区右侧扣球摆脱两人后传中，中路接应的毛剑卿未踢正部位，错过攻门良机
9'低球横拨到禁区中间，毛剑卿在防守队员的贴身下一脚低射，打偏                   8'第8分钟，穆伦加大脚转移又策动永昌颇具威胁的快攻，隆东在禁区右侧扣球摆脱两人后传中，中路接应的毛剑卿未踢正部位，错过攻门良机
10'上港右路拿球，王燊超传到肋部的空当                   8'第8分钟，穆伦加大脚转移又策动永昌颇具威胁的快攻，隆东在禁区右侧扣球摆脱两人后传中，中路接应的毛剑卿未踢正部位，错过攻门良机
10'海森把球护好，在交身后的武磊，武磊传中被挡出                   8'第8分钟，穆伦加大脚转移又策动永昌颇具威胁的快攻，隆东在禁区右侧扣球摆脱两人后传中，中路接应的毛剑卿未踢正部位，错过攻门良机
11'永昌得球就是一记反击，毛剑卿狂奔中想带球变向，没有站稳                   8'第8分钟，穆伦加大脚转移又策动永昌颇具威胁的快攻，隆东在禁区右侧扣球摆脱两人后传中，中路接应的毛剑卿未踢正部位，错过攻门良机
11'吕文君左路和武磊做撞墙配合，被对手捅出边线                   8'第8分钟，穆伦加大脚转移又策动永昌颇具威胁的快攻，隆东在禁区右侧扣球摆脱两人后传中，中路接应的毛剑卿未踢正部位，错过攻门良机
11'孙祥发出界外球，隆东防守海森，机敏的从身后把球捅开                   8'第8分钟，穆伦加大脚转移又策动永昌颇具威胁的快攻，隆东在禁区右侧扣球摆脱两人后传中，中路接应的毛剑卿未踢正部位，错过攻门良机
18'孔卡妙传到左路，孙祥传中的脚法很棒嘛，落点不错                   18'第18分钟，孙祥左路送出传中，武磊头球攻门被站位准确的关震托出
18'中路包抄，小禁区线的俯身冲顶，关震稳稳站住位置，单拳把球托出                   18'第18分钟，孙祥左路送出传中，武磊头球攻门被站位准确的关震托出
19'亚森对于后防线的表现感到不满意了，在场边不停的比划着                   18'第18分钟，孙祥左路送出传中，武磊头球攻门被站位准确的关震托出
19'孔卡角球给到禁区，没有造成威胁                   18'第18分钟，孙祥左路送出传中，武磊头球攻门被站位准确的关震托出
19'毛剑卿要打个反击吗，被对手战术犯规了                   18'第18分钟，孙祥左路送出传中，武磊头球攻门被站位准确的关震托出
19'永昌中前场的逼抢很好，左路拿下来，交毛剑卿                   18'第18分钟，孙祥左路送出传中，武磊头球攻门被站位准确的关震托出
20'毛剑卿直接吊门了，力道太小了一些                   18'第18分钟，孙祥左路送出传中，武磊头球攻门被站位准确的关震托出
20'孔卡右路横突一下，小角度低射，关震稳稳把球扑住                   18'第18分钟，孙祥左路送出传中，武磊头球攻门被站位准确的关震托出
20'毛剑卿进球了                   18'第18分钟，孙祥左路送出传中，武磊头球攻门被站位准确的关震托出
20'永昌不到20分钟，再入一球，2比0了                   18'第18分钟，孙祥左路送出传中，武磊头球攻门被站位准确的关震托出
20'毛剑卿直接吊门了，力道太小了一些                   20'第20分钟，毛剑卿再次左路冲击取得入球――强行内切突破汪佳捷后，毛剑卿在禁区内果断起脚将皮球送入球门后角
20'孔卡右路横突一下，小角度低射，关震稳稳把球扑住                   20'第20分钟，毛剑卿再次左路冲击取得入球――强行内切突破汪佳捷后，毛剑卿在禁区内果断起脚将皮球送入球门后角
20'毛剑卿进球了                   20'第20分钟，毛剑卿再次左路冲击取得入球――强行内切突破汪佳捷后，毛剑卿在禁区内果断起脚将皮球送入球门后角
20'永昌不到20分钟，再入一球，2比0了                   20'第20分钟，毛剑卿再次左路冲击取得入球――强行内切突破汪佳捷后，毛剑卿在禁区内果断起脚将皮球送入球门后角
22'毛剑卿左侧拿球，速度很快，把汪佳捷晃倒在地突破到禁区内，趁补防的队员上来之前毛剑卿冷静的抽射远角，直窜远门柱，颜骏凌毫无办法                   20'第20分钟，毛剑卿再次左路冲击取得入球――强行内切突破汪佳捷后，毛剑卿在禁区内果断起脚将皮球送入球门后角
22'高增翔禁区前沿防守孔卡推人犯规了                   20'第20分钟，毛剑卿再次左路冲击取得入球――强行内切突破汪佳捷后，毛剑卿在禁区内果断起脚将皮球送入球门后角
22'孔卡定位球要自己射门了，果然一脚低射，力道不够，关震倒地把球得到                   20'第20分钟，毛剑卿再次左路冲击取得入球――强行内切突破汪佳捷后，毛剑卿在禁区内果断起脚将皮球送入球门后角
23'主场的球迷近乎陷入了疯狂之中，这样的开局，这样的比分真是太棒了                   20'第20分钟，毛剑卿再次左路冲击取得入球――强行内切突破汪佳捷后，毛剑卿在禁区内果断起脚将皮球送入球门后角
23'上港的两个边卫助攻能力都很强，但这也给了永昌更多的反击机会，尤其像毛剑卿这样的实力派边锋                   20'第20分钟，毛剑卿再次左路冲击取得入球――强行内切突破汪佳捷后，毛剑卿在禁区内果断起脚将皮球送入球门后角
23'吕文君左路很活跃，斜传到禁区内                   20'第20分钟，毛剑卿再次左路冲击取得入球――强行内切突破汪佳捷后，毛剑卿在禁区内果断起脚将皮球送入球门后角
27'毛剑卿左路形成突破，面对补防上来的汪佳捷，轻搓到小禁区边缘                   27'而在第27分钟永昌再次制造威胁――毛剑卿左路传中后，穆伦加反越位前插已是近距离面对颜骏凌，但穆伦加迎球推射打偏
28'穆伦加摆脱了杨博宇的防守，包抄到位，面对门将打一个近角，踢偏了                   27'而在第27分钟永昌再次制造威胁――毛剑卿左路传中后，穆伦加反越位前插已是近距离面对颜骏凌，但穆伦加迎球推射打偏
28'这个球绝对是个机会啊，穆伦加没有把握好，亚森也显得很遗憾                   27'而在第27分钟永昌再次制造威胁――毛剑卿左路传中后，穆伦加反越位前插已是近距离面对颜骏凌，但穆伦加迎球推射打偏
29'右路王燊超倒三角给到武磊，武磊一趟直杀底线，将要传中之际被后卫反断                   27'而在第27分钟永昌再次制造威胁――毛剑卿左路传中后，穆伦加反越位前插已是近距离面对颜骏凌，但穆伦加迎球推射打偏
29'外围达维的一脚轰门被后卫挡住                   27'而在第27分钟永昌再次制造威胁――毛剑卿左路传中后，穆伦加反越位前插已是近距离面对颜骏凌，但穆伦加迎球推射打偏
30'上港这次攻势不依不饶，再次把球送进去，头球一蹭没有造成威胁，关震把球得到                   27'而在第27分钟永昌再次制造威胁――毛剑卿左路传中后，穆伦加反越位前插已是近距离面对颜骏凌，但穆伦加迎球推射打偏
30'隆东前场争抢摔倒，想要一个犯规，裁判没有理睬                   27'而在第27分钟永昌再次制造威胁――毛剑卿左路传中后，穆伦加反越位前插已是近距离面对颜骏凌，但穆伦加迎球推射打偏
44'永昌的角球发的很妙啊，给的很高，绕过门将头顶，交到后点，在摆渡回门前                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
44'吕文君小禁区内头球解围，危险啊                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
44'上港打快速反击，直塞给晚了，姜积弘把球铲出边线                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
45'上港左路传中，糜昊伦没有注意到身后的海森，海森突然冲出，俯身头球攻门，偏出底线                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
45'这个球关震十分不满，大声提醒着糜昊伦，注意                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
45'上半场补时1分钟                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
46'武磊左路带球，内切到中间，一脚打门被姜积弘挡出                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
46'永昌的长传到右侧，毛剑卿再拼，没有拿到                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
47'这个时候裁判吹响了上半场结束的哨音                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
46'下半场开始了                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
46'上港有所调整，武磊被王佳玉替换下场                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
47'不对，数据有误，换下的不是武磊，武磊还在上面                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
47'从场上人员来看，应该换下的是吕文君                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
47'武磊右路强突，闪开一名后卫，继续向底线走                   44'第44分钟，上港左路形成传中，海森冲入小禁区冲顶顶偏
48'德芬迪上来，成功把球逼出底线，最后球是碰到武磊的脚出界的                   48'第48分钟，上港中路渗透造成永昌手球，孔卡任意球远射被关震收入怀中
48'姜积弘后场防守犯规                   48'第48分钟，上港中路渗透造成永昌手球，孔卡任意球远射被关震收入怀中
49'孔卡距离很远，自己直接射门了，越过人墙之后有个明显的下坠，但关震集中精力，把球扑住                   48'第48分钟，上港中路渗透造成永昌手球，孔卡任意球远射被关震收入怀中
49'王佳玉禁区前沿直塞很漂亮，海森左侧插入，小禁区边缘的射门                   48'第48分钟，上港中路渗透造成永昌手球，孔卡任意球远射被关震收入怀中
49'李超紧跟，把对方射门挡出底线                   48'第48分钟，上港中路渗透造成永昌手球，孔卡任意球远射被关震收入怀中
50'孔卡的角球开进去，蔡慧康前点争顶，被两名防守队员夹防                   48'第48分钟，上港中路渗透造成永昌手球，孔卡任意球远射被关震收入怀中
50'裁判哨响，给了上港一个点球                   48'第48分钟，上港中路渗透造成永昌手球，孔卡任意球远射被关震收入怀中
50'吹了隆东的手球犯规                   48'第48分钟，上港中路渗透造成永昌手球，孔卡任意球远射被关震收入怀中
51'点球由达维来主罚                   48'第48分钟，上港中路渗透造成永昌手球，孔卡任意球远射被关震收入怀中
51'达维助跑很远                   48'第48分钟，上港中路渗透造成永昌手球，孔卡任意球远射被关震收入怀中
55'王燊超右路拿球推进，转移一下给左侧                   55'第55分钟，孔卡右侧角球传中形成前点后蹭攻门，守护在后门柱的永昌球员在门线前将球顶出
55'上港耐心的推进，右侧传中被李超挡出底线                   55'第55分钟，孔卡右侧角球传中形成前点后蹭攻门，守护在后门柱的永昌球员在门线前将球顶出
55'上港与进球擦肩而过啊，被门线解围了                   55'第55分钟，孔卡右侧角球传中形成前点后蹭攻门，守护在后门柱的永昌球员在门线前将球顶出
56'孔卡的角球给到禁区前点，埋伏在前点的进攻队员后蹭一下，直奔远角而去，守在后门柱的防守球员头球解围                   55'第55分钟，孔卡右侧角球传中形成前点后蹭攻门，守护在后门柱的永昌球员在门线前将球顶出
56'永昌迅速打一个反击，毛剑卿创造左路的角球                   55'第55分钟，孔卡右侧角球传中形成前点后蹭攻门，守护在后门柱的永昌球员在门线前将球顶出
56'高增翔主罚，禁区内被对手头球顶出底线                   55'第55分钟，孔卡右侧角球传中形成前点后蹭攻门，守护在后门柱的永昌球员在门线前将球顶出
57'高增翔角球再次开出，颜骏凌出击，穆伦加冲顶，还是被后卫先顶出了底线                   55'第55分钟，孔卡右侧角球传中形成前点后蹭攻门，守护在后门柱的永昌球员在门线前将球顶出
58'这次换成了右侧的角球，高增翔跑过来继续主罚                   55'第55分钟，孔卡右侧角球传中形成前点后蹭攻门，守护在后门柱的永昌球员在门线前将球顶出
