1'上半场比赛开始                   1'上半场第1分钟，双方攻防转换速度很快
1'石家庄永昌率先开球                   1'上半场第1分钟，双方攻防转换速度很快
1'辽宁队后场控球                   1'上半场第1分钟，双方攻防转换速度很快
1'右路进攻，被抢断了                   1'上半场第1分钟，双方攻防转换速度很快
2'隆东右路突破被辽宁队抢断                   1'上半场第1分钟，双方攻防转换速度很快
2'永昌队后场倒脚                   1'上半场第1分钟，双方攻防转换速度很快
3'胡伟受伤倒地了                   1'上半场第1分钟，双方攻防转换速度很快
3'比赛重新开始                   1'上半场第1分钟，双方攻防转换速度很快
4'邱卡中路被许博铲倒了                   1'上半场第1分钟，双方攻防转换速度很快
4'辽宁队获得前场定位球                   1'上半场第1分钟，双方攻防转换速度很快
7'永昌队大脚长传身后                   7'第7分钟，乔罗回敲，许博外围一脚远射被封堵
7'被防守球员断了下来                   7'第7分钟，乔罗回敲，许博外围一脚远射被封堵
8'永昌队左路突破，被丁捷捅了一下                   7'第7分钟，乔罗回敲，许博外围一脚远射被封堵
8'邱卡禁区前沿转身打门，守门员脱手了                   7'第7分钟，乔罗回敲，许博外围一脚远射被封堵
9'还好第二下反应及时，将球抱住                   7'第7分钟，乔罗回敲，许博外围一脚远射被封堵
9'永昌队快发界外球                   7'第7分钟，乔罗回敲，许博外围一脚远射被封堵
9'左路传中，越过了张鹭头顶，包抄队员没有赶上                   7'第7分钟，乔罗回敲，许博外围一脚远射被封堵
10'詹姆斯左路突破被大脚解围了                   7'第7分钟，乔罗回敲，许博外围一脚远射被封堵
10'开场之后双方攻防转换速度都很快                   7'第7分钟，乔罗回敲，许博外围一脚远射被封堵
9'还好第二下反应及时，将球抱住                   9'第9分钟，永昌队快发任意球，毛剑卿左路传中越过了门将张鹭头顶，可惜包抄队员没有赶上
9'永昌队快发界外球                   9'第9分钟，永昌队快发任意球，毛剑卿左路传中越过了门将张鹭头顶，可惜包抄队员没有赶上
9'左路传中，越过了张鹭头顶，包抄队员没有赶上                   9'第9分钟，永昌队快发任意球，毛剑卿左路传中越过了门将张鹭头顶，可惜包抄队员没有赶上
10'詹姆斯左路突破被大脚解围了                   9'第9分钟，永昌队快发任意球，毛剑卿左路传中越过了门将张鹭头顶，可惜包抄队员没有赶上
10'开场之后双方攻防转换速度都很快                   9'第9分钟，永昌队快发任意球，毛剑卿左路传中越过了门将张鹭头顶，可惜包抄队员没有赶上
11'可以看出，这场球双方都想抢分                   9'第9分钟，永昌队快发任意球，毛剑卿左路传中越过了门将张鹭头顶，可惜包抄队员没有赶上
