1'上半场比赛开始！                   1'曼联第1分钟控制比赛
1'桑德兰率先中圈开球                   1'曼联第1分钟控制比赛
1'球直接传出了边线                   1'曼联第1分钟控制比赛
1'卡里克长传找马夏尔，被拦截                   1'曼联第1分钟控制比赛
1'托伊沃宁中场被卡里克绊倒                   1'曼联第1分钟控制比赛
2'球打到禁区，被德赫亚没收                   1'曼联第1分钟控制比赛
2'瓦伦西亚直传前场，鲁尼被包夹了                   1'曼联第1分钟控制比赛
2'潘蒂利蒙大脚开到前场                   1'曼联第1分钟控制比赛
2'姆维拉拿球分右路，伦斯的给球被断                   1'曼联第1分钟控制比赛
3'马塔送右路身后，瓦伦西亚下底球先出了底线                   1'曼联第1分钟控制比赛
4'马夏尔左路拿球内切，被拦截                   1'曼联第1分钟控制比赛
4'德佩左路和队友做二过一                   1'曼联第1分钟控制比赛
4'马夏尔左路拿球内切，被拦截                   4'曼联半场补时第4分钟打破僵局，布林德长传，反越位成功的马塔小禁区右侧第一时间无私横传，德佩近距离推射入网
4'德佩左路和队友做二过一                   4'曼联半场补时第4分钟打破僵局，布林德长传，反越位成功的马塔小禁区右侧第一时间无私横传，德佩近距离推射入网
5'鲁尼拿球被卡特莫尔铲截                   4'曼联半场补时第4分钟打破僵局，布林德长传，反越位成功的马塔小禁区右侧第一时间无私横传，德佩近距离推射入网
6'伦斯拿球回敲，范安霍尔特回敲门将                   4'曼联半场补时第4分钟打破僵局，布林德长传，反越位成功的马塔小禁区右侧第一时间无私横传，德佩近距离推射入网
6'达米安左路下底传中，前后两点漏过了                   4'曼联半场补时第4分钟打破僵局，布林德长传，反越位成功的马塔小禁区右侧第一时间无私横传，德佩近距离推射入网
7'马塔后点拿球，再搓传后门柱，稍高出底线                   4'曼联半场补时第4分钟打破僵局，布林德长传，反越位成功的马塔小禁区右侧第一时间无私横传，德佩近距离推射入网
7'施奈德林拿球分右路的瓦伦西亚                   4'曼联半场补时第4分钟打破僵局，布林德长传，反越位成功的马塔小禁区右侧第一时间无私横传，德佩近距离推射入网
