6'分给马内                   6'第6分钟，凯塔分球，马内左路传中，萨拉赫10码处凌空扫射被凯帕没收
6'马内横传扫到门前！！！！！                   6'第6分钟，凯塔分球，马内左路传中，萨拉赫10码处凌空扫射被凯帕没收
6'萨拉赫门前右侧左脚一抽！                   6'第6分钟，凯塔分球，马内左路传中，萨拉赫10码处凌空扫射被凯帕没收
6'太正了！！被凯帕给没收了！！                   6'第6分钟，凯塔分球，马内左路传中，萨拉赫10码处凌空扫射被凯帕没收
6'凯帕后场开球                   6'第6分钟，凯塔分球，马内左路传中，萨拉赫10码处凌空扫射被凯帕没收
7'萨拉赫得球就被放倒                   6'第6分钟，凯塔分球，马内左路传中，萨拉赫10码处凌空扫射被凯帕没收
7'裁判鸣哨！！！示意是埃莫森的犯规！                   6'第6分钟，凯塔分球，马内左路传中，萨拉赫10码处凌空扫射被凯帕没收
7'阿诺德快速开出定位球                   6'第6分钟，凯塔分球，马内左路传中，萨拉赫10码处凌空扫射被凯帕没收
8'大卫路易斯给出一记长传球到前场左路！！找到威廉                   6'第6分钟，凯塔分球，马内左路传中，萨拉赫10码处凌空扫射被凯帕没收
8'利物浦得球尝试反击！！阿诺德的分球                   6'第6分钟，凯塔分球，马内左路传中，萨拉赫10码处凌空扫射被凯帕没收
9'法比尼奥中圈后沿得球分左路罗伯逊！！                   6'第6分钟，凯塔分球，马内左路传中，萨拉赫10码处凌空扫射被凯帕没收
9'法比尼奥带两步继续分给到了阿诺德                   6'第6分钟，凯塔分球，马内左路传中，萨拉赫10码处凌空扫射被凯帕没收
40' 吕迪格看样子是真的没法坚持啊                   40'切尔西第40分钟遭遇打击，吕迪格左膝受伤无法坚持被克里斯滕森换下
40'切尔西被迫换人                   40'切尔西第40分钟遭遇打击，吕迪格左膝受伤无法坚持被克里斯滕森换下
40'克里斯滕森换下了吕迪格                   40'切尔西第40分钟遭遇打击，吕迪格左膝受伤无法坚持被克里斯滕森换下
41'比赛继续                   40'切尔西第40分钟遭遇打击，吕迪格左膝受伤无法坚持被克里斯滕森换下
41' 切尔西后场发球                   40'切尔西第40分钟遭遇打击，吕迪格左膝受伤无法坚持被克里斯滕森换下
41'中圈区域！！法比尼奥抢到球！                   40'切尔西第40分钟遭遇打击，吕迪格左膝受伤无法坚持被克里斯滕森换下
42'阿诺德往前给长传                   40'切尔西第40分钟遭遇打击，吕迪格左膝受伤无法坚持被克里斯滕森换下
42'直接出了底线外                   40'切尔西第40分钟遭遇打击，吕迪格左膝受伤无法坚持被克里斯滕森换下
42'凯帕后场开大脚                   40'切尔西第40分钟遭遇打击，吕迪格左膝受伤无法坚持被克里斯滕森换下
42'克里斯滕森中圈右侧得球                   40'切尔西第40分钟遭遇打击，吕迪格左膝受伤无法坚持被克里斯滕森换下
43'球落到利物浦后场禁区！！阿利森得球！                   40'切尔西第40分钟遭遇打击，吕迪格左膝受伤无法坚持被克里斯滕森换下
48'若日尼奥得球分给身边的阿扎尔                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
48'中场位置！！克里斯滕森抢到球                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
48'球被罗伯逊抢下                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
48'切尔西后场右侧的边线球                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
48'大力丢出                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
48'球落到了萨拉赫脚下                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
49'萨拉赫面对大卫路易斯的防守！！身前是没机会的                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
49'给阿诺德外围冷射一脚                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
