3'广州富力队得到角球机会                   3'第3分钟，广州富力角球进攻制造混乱，无人防守的博基拉小角度攻门偏出
3'角球发到禁区内前点，对方顶了一下，博基拉零度角侧身打门打在边网上！                   3'第3分钟，广州富力角球进攻制造混乱，无人防守的博基拉小角度攻门偏出
3'[互动话题]比赛刚刚开始，双方打对攻战。请预测一下哪队先进球？A、富力 B、鲁能[qiangda]                   3'第3分钟，广州富力角球进攻制造混乱，无人防守的博基拉小角度攻门偏出
4'后场广州富力队得球，左路攻到中场，姜至鹏把球回传                   3'第3分钟，广州富力角球进攻制造混乱，无人防守的博基拉小角度攻门偏出
5'广州富力队攻到前场，传球配合失误                   3'第3分钟，广州富力角球进攻制造混乱，无人防守的博基拉小角度攻门偏出
5'阿洛伊西奥中场右睡拿球，横传交给尤西雷                   3'第3分钟，广州富力角球进攻制造混乱，无人防守的博基拉小角度攻门偏出
5'塔尔德利左路强突，被抢断，打得有点独                    3'第3分钟，广州富力角球进攻制造混乱，无人防守的博基拉小角度攻门偏出
5'广州富力队快速反击，交给博基拉，突破到禁区内，王大雷出击啦，博基拉打空门，居然打在边网上                   3'第3分钟，广州富力角球进攻制造混乱，无人防守的博基拉小角度攻门偏出
6'尤西雷长传前场右路，皮球直接出边线                   3'第3分钟，广州富力角球进攻制造混乱，无人防守的博基拉小角度攻门偏出
12'博基拉左路突破到禁区内，小角度打门击中后门柱！！！！                   12'第12分钟，阿隆在边路连续突破蒿俊闵和汪强防守，然后小角度大力低射，球击中立柱弹出，边路再传入禁区，后点的博基拉停球过大，但是出击的王大雷竟然漏过皮球，被博基拉射入空门，好在裁判示意越位在先，进球无效
12'广州富力队再次组织进攻                   12'第12分钟，阿隆在边路连续突破蒿俊闵和汪强防守，然后小角度大力低射，球击中立柱弹出，边路再传入禁区，后点的博基拉停球过大，但是出击的王大雷竟然漏过皮球，被博基拉射入空门，好在裁判示意越位在先，进球无效
13'广州富力队左路横传球到禁区内，中路头球过渡，王大雷出击居然漏球，博基拉抢点打门球进！但越位在先！！                   12'第12分钟，阿隆在边路连续突破蒿俊闵和汪强防守，然后小角度大力低射，球击中立柱弹出，边路再传入禁区，后点的博基拉停球过大，但是出击的王大雷竟然漏过皮球，被博基拉射入空门，好在裁判示意越位在先，进球无效
13'广州富力队进球啦！米歇尔，1-0                   12'第12分钟，阿隆在边路连续突破蒿俊闵和汪强防守，然后小角度大力低射，球击中立柱弹出，边路再传入禁区，后点的博基拉停球过大，但是出击的王大雷竟然漏过皮球，被博基拉射入空门，好在裁判示意越位在先，进球无效
13'下雨天，声地滑，广州富力队狂攻进球                   12'第12分钟，阿隆在边路连续突破蒿俊闵和汪强防守，然后小角度大力低射，球击中立柱弹出，边路再传入禁区，后点的博基拉停球过大，但是出击的王大雷竟然漏过皮球，被博基拉射入空门，好在裁判示意越位在先，进球无效
13'王大雷开球脚下打滑，广州富力队断球交给米歇尔，突破一脚远射破门得分                   12'第12分钟，阿隆在边路连续突破蒿俊闵和汪强防守，然后小角度大力低射，球击中立柱弹出，边路再传入禁区，后点的博基拉停球过大，但是出击的王大雷竟然漏过皮球，被博基拉射入空门，好在裁判示意越位在先，进球无效
14'后场广州富力队断球，中路反击，奥拉纳尔被放倒                   12'第12分钟，阿隆在边路连续突破蒿俊闵和汪强防守，然后小角度大力低射，球击中立柱弹出，边路再传入禁区，后点的博基拉停球过大，但是出击的王大雷竟然漏过皮球，被博基拉射入空门，好在裁判示意越位在先，进球无效
14'犯规的是汪强                   12'第12分钟，阿隆在边路连续突破蒿俊闵和汪强防守，然后小角度大力低射，球击中立柱弹出，边路再传入禁区，后点的博基拉停球过大，但是出击的王大雷竟然漏过皮球，被博基拉射入空门，好在裁判示意越位在先，进球无效
15'主裁判哨响，但广州富力队的队员示意裁判有利进攻，不应该吹                   12'第12分钟，阿隆在边路连续突破蒿俊闵和汪强防守，然后小角度大力低射，球击中立柱弹出，边路再传入禁区，后点的博基拉停球过大，但是出击的王大雷竟然漏过皮球，被博基拉射入空门，好在裁判示意越位在先，进球无效
15'中场鲁能泰山队断球，阿洛伊西奥中路突破大了些                   12'第12分钟，阿隆在边路连续突破蒿俊闵和汪强防守，然后小角度大力低射，球击中立柱弹出，边路再传入禁区，后点的博基拉停球过大，但是出击的王大雷竟然漏过皮球，被博基拉射入空门，好在裁判示意越位在先，进球无效
15'广州富力队左路横传门前，尤西雷把球控下来                   12'第12分钟，阿隆在边路连续突破蒿俊闵和汪强防守，然后小角度大力低射，球击中立柱弹出，边路再传入禁区，后点的博基拉停球过大，但是出击的王大雷竟然漏过皮球，被博基拉射入空门，好在裁判示意越位在先，进球无效
20'战术角球发出来，鲁能泰山队右路横传，对方解围出来                   20'第20分钟，山东鲁能扳平比分
20'鲁能泰山队进球啦！！汪强！1-1                   20'第20分钟，山东鲁能扳平比分
20'王永珀右路得球斜传禁区，汪强头球顶门，皮球应声入网！                   20'第20分钟，山东鲁能扳平比分
21'汪强也够倒霉的！想就地庆祝滑一个，没想到地上有坑，没滑出去                   20'第20分钟，山东鲁能扳平比分
22'鲁能泰山队左路传球，对方挡出边线                   20'第20分钟，山东鲁能扳平比分
23'界外球发出来，尤西雷直传球，杨旭回做                   20'第20分钟，山东鲁能扳平比分
23'乌索右路接球，直传给塔尔德利                   20'第20分钟，山东鲁能扳平比分
23'蒿俊闵右路过人，斜传球到禁区内后点，张远把球顶出底线                   20'第20分钟，山东鲁能扳平比分
23'鲁能泰山队得到角球机会                   20'第20分钟，山东鲁能扳平比分
23'王永珀发角球到禁区内前点，刘殿座把球打出来                   20'第20分钟，山东鲁能扳平比分
24'王永珀左路再横传禁区，对方解围出来，长传反击被断                   24'第24分钟，蒿俊闵前场断球突到禁区前送出妙传，乌索头球高出横梁
24'蒿俊闵右路横传禁区，乌索后仰跳起来争顶，没能压住，高出横梁                   24'第24分钟，蒿俊闵前场断球突到禁区前送出妙传，乌索头球高出横梁
25'塔尔德利传禁区，球出底线                   24'第24分钟，蒿俊闵前场断球突到禁区前送出妙传，乌索头球高出横梁
26'姜宁边路得球突破，郑铮铲球犯规！                   24'第24分钟，蒿俊闵前场断球突到禁区前送出妙传，乌索头球高出横梁
26'雨天球滑！要集中精力！                   24'第24分钟，蒿俊闵前场断球突到禁区前送出妙传，乌索头球高出横梁
27'汪嵩发任意球打在人墙上弹起来，王大雷把球摘下来                   24'第24分钟，蒿俊闵前场断球突到禁区前送出妙传，乌索头球高出横梁
27'雨好象停啦！这对比赛有利啊                   24'第24分钟，蒿俊闵前场断球突到禁区前送出妙传，乌索头球高出横梁
38'广州富力队长传找博基拉，姜宁传得大了些，王大雷没收                   38'第38分钟，山东鲁能连续一脚传球，塔尔德利分边撕开防线，边路弧线球传中，阿洛伊西奥头球攻门被阻挡，塔尔德利禁区内得球回做，王永珀跟上一脚低射，球直奔死角，山东鲁能2-1反超
39'郄进球啦！王永珀！2-1                   38'第38分钟，山东鲁能连续一脚传球，塔尔德利分边撕开防线，边路弧线球传中，阿洛伊西奥头球攻门被阻挡，塔尔德利禁区内得球回做，王永珀跟上一脚低射，球直奔死角，山东鲁能2-1反超
39'乌索分球到右路，横传禁区，乌索头球顶门，对方挡出来，塔尔德利回传，王永珀迎球怒射破门！                   38'第38分钟，山东鲁能连续一脚传球，塔尔德利分边撕开防线，边路弧线球传中，阿洛伊西奥头球攻门被阻挡，塔尔德利禁区内得球回做，王永珀跟上一脚低射，球直奔死角，山东鲁能2-1反超
39'王鲁尼终于进球啦                   38'第38分钟，山东鲁能连续一脚传球，塔尔德利分边撕开防线，边路弧线球传中，阿洛伊西奥头球攻门被阻挡，塔尔德利禁区内得球回做，王永珀跟上一脚低射，球直奔死角，山东鲁能2-1反超
40'汪嵩中前场接球，尤西雷抢球犯规                   38'第38分钟，山东鲁能连续一脚传球，塔尔德利分边撕开防线，边路弧线球传中，阿洛伊西奥头球攻门被阻挡，塔尔德利禁区内得球回做，王永珀跟上一脚低射，球直奔死角，山东鲁能2-1反超
40'张远右路下底横传，皮球直接打在边网上                   38'第38分钟，山东鲁能连续一脚传球，塔尔德利分边撕开防线，边路弧线球传中，阿洛伊西奥头球攻门被阻挡，塔尔德利禁区内得球回做，王永珀跟上一脚低射，球直奔死角，山东鲁能2-1反超
42'广州富力队反击又来啦！右路直传球，张远横传门前，皮球滑门而过                   42'第42分钟，广州富力角球进攻，张贤秀头球攻门，王大雷毫无反应，幸亏蒿俊闵门线上头球解围
42'广州富力队得到角球机会                   42'第42分钟，广州富力角球进攻，张贤秀头球攻门，王大雷毫无反应，幸亏蒿俊闵门线上头球解围
42'汪嵩发角球到后点，跟上队员头球顶门，王大雷已经没办法啦！蒿俊闵在球门线上把球顶出来！                   42'第42分钟，广州富力角球进攻，张贤秀头球攻门，王大雷毫无反应，幸亏蒿俊闵门线上头球解围
