11'马林-李奥华斯将球处理出底线,马德里竞技获得角球.                   11'马竞第11分钟取得领先，米兰达角球混战中小禁区边缘内推射破门
11'进球啦！！！马德里竞技球员米兰达球门线跟前左脚射门,球从左下角飞进球门,球进了! 马德里竞技 1-0 奥地利维也纳.                   11'马竞第11分钟取得领先，米兰达角球混战中小禁区边缘内推射破门
21'射门!!!奥地利维也纳球员莫格大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是F-科赫.                   21'奥地利维也纳第21分钟险些扳平，穆尔格10码处的转身射门被库尔图瓦出击挡出
22'马德里竞技球员迭戈-科斯塔大禁区中央右脚射门,被防守球员封堵.给他传球的是科克.                   21'奥地利维也纳第21分钟险些扳平，穆尔格10码处的转身射门被库尔图瓦出击挡出
22'奥地利维也纳球员罗耶大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是西姆科维奇.                   21'奥地利维也纳第21分钟险些扳平，穆尔格10码处的转身射门被库尔图瓦出击挡出
24'奥地利维也纳球员基纳斯特拼抢犯规,对手获得控球权.                   21'奥地利维也纳第21分钟险些扳平，穆尔格10码处的转身射门被库尔图瓦出击挡出
24'胡安弗兰为马德里竞技赢得一个任意球.                   21'奥地利维也纳第21分钟险些扳平，穆尔格10码处的转身射门被库尔图瓦出击挡出
26'射门!!!马德里竞技球员迭戈-科斯塔大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是阿德里安.                   26'第26分钟，阿德里安头球摆渡，迭戈-科斯塔禁区右侧的射门被林德内尔扑出远角
26'亨氏-林德纳将球处理出底线,马德里竞技获得角球.                   26'第26分钟，阿德里安头球摆渡，迭戈-科斯塔禁区右侧的射门被林德内尔扑出远角
27'拉姆泽布纳将球处理出底线,马德里竞技获得角球.                   26'第26分钟，阿德里安头球摆渡，迭戈-科斯塔禁区右侧的射门被林德内尔扑出远角
27'亨氏-林德纳为奥地利维也纳赢得一个任意球.                   26'第26分钟，阿德里安头球摆渡，迭戈-科斯塔禁区右侧的射门被林德内尔扑出远角
27'马德里竞技球员劳尔-加西亚拼抢犯规,对手获得控球权.                   26'第26分钟，阿德里安头球摆渡，迭戈-科斯塔禁区右侧的射门被林德内尔扑出远角
28'奥地利维也纳球员马林-李奥华斯拼抢犯规,对手获得控球权.                   26'第26分钟，阿德里安头球摆渡，迭戈-科斯塔禁区右侧的射门被林德内尔扑出远角
28'迭戈-科斯塔为马德里竞技在右路,赢得一个任意球.                   26'第26分钟，阿德里安头球摆渡，迭戈-科斯塔禁区右侧的射门被林德内尔扑出远角
29'马德里竞技球员蒂亚戈大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是科克.                   26'第26分钟，阿德里安头球摆渡，迭戈-科斯塔禁区右侧的射门被林德内尔扑出远角
45'射门!!!马德里竞技球员阿德里安大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是胡安弗兰.                   45'马竞第45分钟锁定胜局，胡安弗兰禁区右侧边缘传中，阿德里安10码处推射被扑出，费利佩小禁区左侧补射入网，3-0
45'进球啦！！！马德里竞技球员菲利佩-路易斯球门线跟前左脚射门,球从中路飞进球门,球进了! 马德里竞技 3-0 奥地利维也纳.                   45'马竞第45分钟锁定胜局，胡安弗兰禁区右侧边缘传中，阿德里安10码处推射被扑出，费利佩小禁区左侧补射入网，3-0
