1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎，寒冷天气也令比赛减缓节奏
1'首先开球的是切尔西                   1'双方第1分钟均显得小心谨慎，寒冷天气也令比赛减缓节奏
1'切尔西(3-4-3)：13-库尔图瓦；28-阿斯皮利奎塔，27-克里斯滕森，2-吕迪格；15-摩西，7-坎特，14-巴卡约科，3-阿隆索；22-威廉，10-阿扎尔，11-佩德罗                   1'双方第1分钟均显得小心谨慎，寒冷天气也令比赛减缓节奏
3'哈德斯菲尔德：  门将：1号勒斯尔  后卫：2号史密斯、25号赞卡、26号申德勒、15号勒韦  中场：10号穆伊、6号霍格、9号卡春加、19号威廉姆斯、22号因斯  前锋：24号穆尼耶                   1'双方第1分钟均显得小心谨慎，寒冷天气也令比赛减缓节奏
3'切尔西中场拿球横向转移                   1'双方第1分钟均显得小心谨慎，寒冷天气也令比赛减缓节奏
3'右路挑传送禁区                   1'双方第1分钟均显得小心谨慎，寒冷天气也令比赛减缓节奏
4'找阿扎尔                   1'双方第1分钟均显得小心谨慎，寒冷天气也令比赛减缓节奏
4'阿扎尔禁区内反跑没有拿到                   1'双方第1分钟均显得小心谨慎，寒冷天气也令比赛减缓节奏
4'差了那么一点点                   1'双方第1分钟均显得小心谨慎，寒冷天气也令比赛减缓节奏
4'切尔西禁区前沿送直塞                   1'双方第1分钟均显得小心谨慎，寒冷天气也令比赛减缓节奏
4'找佩德罗！！                   1'双方第1分钟均显得小心谨慎，寒冷天气也令比赛减缓节奏
4'禁区内佩德罗前插后推射近角破门                   1'双方第1分钟均显得小心谨慎，寒冷天气也令比赛减缓节奏
23'0-1！！！                   23'切尔西第23分钟取得领先，罗斯尔勉强大脚开球被切尔西在前场拦截，威廉快速反击中斜传，巴卡约科小禁区左侧小角度破门
23'巴卡约科！！！                   23'切尔西第23分钟取得领先，罗斯尔勉强大脚开球被切尔西在前场拦截，威廉快速反击中斜传，巴卡约科小禁区左侧小角度破门
24'勒斯尔后场传球自己先滑倒，切尔西前场断球后反击，威廉禁区弧顶拿球给到左路，巴卡约科禁区内接球后小角度面对门将，轻轻挑射远端破门！！                   23'切尔西第23分钟取得领先，罗斯尔勉强大脚开球被切尔西在前场拦截，威廉快速反击中斜传，巴卡约科小禁区左侧小角度破门
25'哈德斯菲尔德这边有球员回追的时候受伤                   23'切尔西第23分钟取得领先，罗斯尔勉强大脚开球被切尔西在前场拦截，威廉快速反击中斜传，巴卡约科小禁区左侧小角度破门
25'队医也是进场先查看伤情                   23'切尔西第23分钟取得领先，罗斯尔勉强大脚开球被切尔西在前场拦截，威廉快速反击中斜传，巴卡约科小禁区左侧小角度破门
26'哈德斯菲尔德中场拿球                   23'切尔西第23分钟取得领先，罗斯尔勉强大脚开球被切尔西在前场拦截，威廉快速反击中斜传，巴卡约科小禁区左侧小角度破门
26'没机会将球回敲                   23'切尔西第23分钟取得领先，罗斯尔勉强大脚开球被切尔西在前场拦截，威廉快速反击中斜传，巴卡约科小禁区左侧小角度破门
26'右路挑传送底线                   23'切尔西第23分钟取得领先，罗斯尔勉强大脚开球被切尔西在前场拦截，威廉快速反击中斜传，巴卡约科小禁区左侧小角度破门
43'.0-2！！                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
43'威廉!!                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
44'切尔西中场大范围转移，左路阿隆索接球后直接起球送禁区，威廉后点包抄到位后头球攻门顶中路破门！！                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
44'这球哈德斯菲尔德的球员在判断上有些失误                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
45'哈德斯菲尔德这边回传失误了啊                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
45'佩德罗禁区内接球                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
45'面对门将                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
45'发力的打门被挡了出去                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
45'这球如果选择一个巧劲效果可能会更好                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
45'勒韦这边今天有些不在状态                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'上半场补时1分钟！！                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'切尔西中场控球                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'带球被侵犯                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
