30'左路继续起球，第一点还是被顶出                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
30'裁判吹停，又在听var                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
31'慢镜头显示，之前的角球，在桑德罗门线解围之前                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
31'詹争顶时，手臂碰到了球                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
31'裁判要去自己看视频回放了                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
31'还是比较明显的                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
31'埃克达尔的后蹭，詹在身后，手臂张开碰到了球                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
32'有决定了                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
32'点球                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
32'桑普获得了点球                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
32'埃姆雷詹的手球，点球                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
32'夸利亚雷拉，能否连续9轮破门                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
33'站在球前                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
33'稳准狠，打进                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
33'夸利亚雷拉的点球，扳平比分，1-1                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
59'角球到门前，被奥德罗托出去                   59'C罗第59分钟几乎梅开二度，阿莱士-桑德罗左侧掷入边线球，C罗内切距门28米处大力轰门击中右门柱弹回场内
60'左路C罗内切，远射被奥德罗扑了一下                   59'C罗第59分钟几乎梅开二度，阿莱士-桑德罗左侧掷入边线球，C罗内切距门28米处大力轰门击中右门柱弹回场内
60'打中立柱弹出，力量极大                   59'C罗第59分钟几乎梅开二度，阿莱士-桑德罗左侧掷入边线球，C罗内切距门28米处大力轰门击中右门柱弹回场内
60'迪巴拉右路拿球，德西利奥套上下底                   59'C罗第59分钟几乎梅开二度，阿莱士-桑德罗左侧掷入边线球，C罗内切距门28米处大力轰门击中右门柱弹回场内
60'传中被封堵了，没过去                   59'C罗第59分钟几乎梅开二度，阿莱士-桑德罗左侧掷入边线球，C罗内切距门28米处大力轰门击中右门柱弹回场内
60'曼朱基奇肋部接应，被科利上抢破坏                   59'C罗第59分钟几乎梅开二度，阿莱士-桑德罗左侧掷入边线球，C罗内切距门28米处大力轰门击中右门柱弹回场内
61'迪巴拉禁区前横走，被伸脚破坏                   59'C罗第59分钟几乎梅开二度，阿莱士-桑德罗左侧掷入边线球，C罗内切距门28米处大力轰门击中右门柱弹回场内
61'桑德罗左路下底传中，C罗抢点                   59'C罗第59分钟几乎梅开二度，阿莱士-桑德罗左侧掷入边线球，C罗内切距门28米处大力轰门击中右门柱弹回场内
61'科利身体挡了一下，角球                   59'C罗第59分钟几乎梅开二度，阿莱士-桑德罗左侧掷入边线球，C罗内切距门28米处大力轰门击中右门柱弹回场内
