46'下半场比赛开始                   43'第43分钟，蒙蒂略任意球传中，佩莱头球被李帅没收
46'鲁能泰山队长传前场，对方破坏回来                   43'第43分钟，蒙蒂略任意球传中，佩莱头球被李帅没收
46'吉尔后场得球，右路直传，鲁能泰山队攻到中场丢球                   43'第43分钟，蒙蒂略任意球传中，佩莱头球被李帅没收
46'莫雷诺中路突破到大禁区线，被断下来                   43'第43分钟，蒙蒂略任意球传中，佩莱头球被李帅没收
49'尤西雷长传球，险些失误                    49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
49'蒿俊闵右路突破传球，被柏佳骏破坏                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
49'鲁能泰山队得到本场比赛的第一个角球                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
50'蒙蒂略发角球到禁区内，在争顶时进攻队员犯规                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
50'犯规的是李松益                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
51'柏佳骏中场得球，回传一脚，再转移到右路                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
51'上海申花队长传前场，吕征越位                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
51'吕征是鲁能泰山队旧将，他在前场速度还是够快的！                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
52'佩莱中场得球，长传前场！                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
52'齐天羽右路接球，横传禁区，被对方破坏出底线，角球机会                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
52'角球发到禁区内，被破坏出来                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
49'王永珀左路横传球，蒙蒂略分边，蒿俊闵右路斜传禁区！！！                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
49'王永珀插上想来传中，可惜蒿俊闵传球大了一点儿                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
50'王永珀中前场左路抢断，回传一脚                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
50'宋龙回传球给王大雷                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
51'鲁能泰山队右路斜传禁区，吉尔头球出底线                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
52'吉尔本意想头球过渡，没想到顶大了，直接出底线                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
52'蒙蒂略右路突破分边，大了一点，柏佳骏护球出边线                   49'下半场易边再战，第49分钟，蒙蒂略大范围转移，蒿俊闵边路弧线球传中，王永珀后点包抄射门未能踢正部位
54'王永珀左路接球，横传中路，李松益一脚远射！！李帅扑球脱手，还好没有队员跟上补射！                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
54'李松益的这脚远射很有威胁！                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
55'上海申花队左路攻到前场，齐天羽将球破坏出底线                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
56'战术角球发出来，上海申花队挑传禁区，被顶出来                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
56'吕征右路控球，无法起脚传中，回传一下                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
57'吕征再接队友传球，横传禁区，被破坏出来                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
54'蒙蒂略前场得球回带！！蒿俊闵右路突破到禁区横传门前，乱军中球出底线！！                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
54'这次进攻太可惜啦                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
54'主裁判吹了门球                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
55'上海申花队传球到中场，尤西雷顶回来，王永珀越位                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
56'上海申花队直传球到禁区内，王大雷出击没收                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
56'王大雷大脚长传球到前场                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
56'王永珀领球到禁区内，小角度打门！被李帅没收                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
56'王永珀要是传一下可能更好一些                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
57'李松益后场得球，大脚长传右路，被断下来                   54'第54分钟，蒙蒂略横向盘带分球，蒿俊闵拿球突破后将球横扫门前，但王永珀包抄未能碰到皮球
62'上海申花队传球到禁区内，马丁斯侧身打远点！偏出！                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
62'这次上海申花队的进攻很有威胁                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
63'蒙蒂略前场突破，无法转身，把球回传一脚                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
63'蒙蒂略与队友二过一，没能打成                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
63'鲁能泰山队传球到禁区内，没有队友跟上啊                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
64'李松益前场得球，分右路想给王永珀！配合失误                    62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
65'王永珀在向队友示意，这球再传得靠前一点更好                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
62'鲁能泰山队换人：刘彬彬上场，换下王永珀                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
62'李海龙上场，换下齐天羽                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
62'李海龙也属于海归派                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
64'蒙蒂略带球突破一脚打门，被李建滨破坏                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
64'宋龙左路突破传球，张弛分到右路                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
