9'射门!!!国际米兰球员埃德大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是伊卡尔迪.                   9'开场9分钟，伊卡尔迪右路低传，埃德尔前点推射被塞库林腿部挡出
9'英格里斯为切沃赢得一个任意球.                   9'开场9分钟，伊卡尔迪右路低传，埃德尔前点推射被塞库林腿部挡出
9'国际米兰球员Alex Telles拼抢犯规,对手获得控球权.                   9'开场9分钟，伊卡尔迪右路低传，埃德尔前点推射被塞库林腿部挡出
10'切沃球员斯波利一脚直塞球给平齐,但是边裁举旗显示后者已经越位.                   9'开场9分钟，伊卡尔迪右路低传，埃德尔前点推射被塞库林腿部挡出
11'国际米兰球员Alex Telles一脚直塞球给帕拉西奥,但是边裁举旗显示后者已经越位.                   9'开场9分钟，伊卡尔迪右路低传，埃德尔前点推射被塞库林腿部挡出
22'射门!!!国际米兰球员孔多比亚大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是帕拉西奥.                   22'第22分钟，帕拉西奥给孔多比亚做球，后者禁区左侧推射又被塞库林横身扑出，长友佑都左脚补射偏出
22'国际米兰球员长友佑都大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   22'第22分钟，帕拉西奥给孔多比亚做球，后者禁区左侧推射又被塞库林横身扑出，长友佑都左脚补射偏出
25'斯波利将球处理出底线,国际米兰获得角球.                   22'第22分钟，帕拉西奥给孔多比亚做球，后者禁区左侧推射又被塞库林横身扑出，长友佑都左脚补射偏出
48'国际米兰球员穆利洛大禁区中央头球,被防守球员封堵.                   48'下半时开始3分钟，国米角球制造门前乱战，米兰达塞球，帕拉西奥左侧停球距门3米处捅进上角，国米1比0打破僵局
48'进球啦！！！国际米兰球员伊卡尔迪球门线跟前左脚射门,球从左上角飞进球门,球进了!助攻的是米兰达. 国际米兰 1-0 切沃.                   48'下半时开始3分钟，国米角球制造门前乱战，米兰达塞球，帕拉西奥左侧停球距门3米处捅进上角，国米1比0打破僵局
51'B-塞萨尔为切沃赢得一个任意球.                   48'下半时开始3分钟，国米角球制造门前乱战，米兰达塞球，帕拉西奥左侧停球距门3米处捅进上角，国米1比0打破僵局
51'国际米兰球员伊卡尔迪拼抢犯规,对手获得控球权.                   48'下半时开始3分钟，国米角球制造门前乱战，米兰达塞球，帕拉西奥左侧停球距门3米处捅进上角，国米1比0打破僵局
66'斯波利为切沃赢得一个任意球.                   66'第66分钟，长友佑都直传，伊卡尔迪摆脱斯波利，在门前8米处射门被塞库林单手托出
66'国际米兰球员伊卡尔迪拼抢犯规,对手获得控球权.                   66'第66分钟，长友佑都直传，伊卡尔迪摆脱斯波利，在门前8米处射门被塞库林单手托出
66'射门!!!国际米兰球员伊卡尔迪大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是长友佑都.                   66'第66分钟，长友佑都直传，伊卡尔迪摆脱斯波利，在门前8米处射门被塞库林单手托出
66'N-弗雷将球处理出底线,国际米兰获得角球.                   66'第66分钟，长友佑都直传，伊卡尔迪摆脱斯波利，在门前8米处射门被塞库林单手托出
67'切沃球员佩利西耶拼抢犯规,对手获得控球权.                   66'第66分钟，长友佑都直传，伊卡尔迪摆脱斯波利，在门前8米处射门被塞库林单手托出
67'长友佑都为国际米兰在对方半场,赢得一个任意球.                   66'第66分钟，长友佑都直传，伊卡尔迪摆脱斯波利，在门前8米处射门被塞库林单手托出
68'N-弗雷为切沃赢得一个任意球.                   66'第66分钟，长友佑都直传，伊卡尔迪摆脱斯波利，在门前8米处射门被塞库林单手托出
68'国际米兰球员埃德拼抢犯规,对手获得控球权.                   66'第66分钟，长友佑都直传，伊卡尔迪摆脱斯波利，在门前8米处射门被塞库林单手托出
69'国际米兰球员埃德大禁区左侧右脚射门,被防守球员封堵.给他传球的是长友佑都.                   66'第66分钟，长友佑都直传，伊卡尔迪摆脱斯波利，在门前8米处射门被塞库林单手托出
69'英格里斯为切沃赢得一个任意球.                   66'第66分钟，长友佑都直传，伊卡尔迪摆脱斯波利，在门前8米处射门被塞库林单手托出
69'国际米兰球员长友佑都拼抢犯规,对手获得控球权.                   66'第66分钟，长友佑都直传，伊卡尔迪摆脱斯波利，在门前8米处射门被塞库林单手托出
