4'多特蒙德球员亚尔莫连科大禁区右侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是香川真司.                   4'开场4分钟，香川真司直塞禁区右侧，亚尔莫连科射门偏出近门柱
5'拉戈将球处理出底线,多特蒙德获得角球.                   4'开场4分钟，香川真司直塞禁区右侧，亚尔莫连科射门偏出近门柱
5'德卡马戈将球处理出底线,多特蒙德获得角球.                   4'开场4分钟，香川真司直塞禁区右侧，亚尔莫连科射门偏出近门柱
6'多特蒙德球员香川真司一脚直塞球给格策,但是边裁举旗显示后者已经越位.                   4'开场4分钟，香川真司直塞禁区右侧，亚尔莫连科射门偏出近门柱
62'射门!!!希腊人竞技球员埃贝希利奥大禁区右侧右脚射门,被对方守门员横身扑出.                   62'多特第62分钟首先失球
62'进球啦！！！希腊人竞技球员波特小禁区右侧右脚射门,球从中路飞进球门,球进了! 希腊人竞技 1-0 多特蒙德.                   62'多特第62分钟首先失球
64'多特蒙德球员普利西奇大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是施梅尔策.                   62'多特第62分钟首先失球
49'多特蒙德球员巴尔特拉手球犯规,对手获得球权.                   49'仅过4分钟，大黄蜂就追平比分，施梅尔策传球，格策左路挑传禁区，帕帕斯塔索普洛斯顶进左下角，1比1
50'希腊人竞技球员鲁埃达一脚直塞球给波特,但是边裁举旗显示后者已经越位.                   49'仅过4分钟，大黄蜂就追平比分，施梅尔策传球，格策左路挑传禁区，帕帕斯塔索普洛斯顶进左下角，1比1
51'希腊人竞技球员拉戈拼抢犯规,对手获得控球权.                   49'仅过4分钟，大黄蜂就追平比分，施梅尔策传球，格策左路挑传禁区，帕帕斯塔索普洛斯顶进左下角，1比1
51'亚尔莫连科为多特蒙德在右路,赢得一个任意球.                   49'仅过4分钟，大黄蜂就追平比分，施梅尔策传球，格策左路挑传禁区，帕帕斯塔索普洛斯顶进左下角，1比1
52'瓦罗斯将球处理出底线,多特蒙德获得角球.                   49'仅过4分钟，大黄蜂就追平比分，施梅尔策传球，格策左路挑传禁区，帕帕斯塔索普洛斯顶进左下角，1比1
49'多特蒙德球员巴尔特拉手球犯规,对手获得球权.                   48'补时第3分钟，普利希奇突至禁区边缘挑传，奥巴梅扬后点头球击中立柱
50'希腊人竞技球员鲁埃达一脚直塞球给波特,但是边裁举旗显示后者已经越位.                   48'补时第3分钟，普利希奇突至禁区边缘挑传，奥巴梅扬后点头球击中立柱
51'希腊人竞技球员拉戈拼抢犯规,对手获得控球权.                   48'补时第3分钟，普利希奇突至禁区边缘挑传，奥巴梅扬后点头球击中立柱
51'亚尔莫连科为多特蒙德在右路,赢得一个任意球.                   48'补时第3分钟，普利希奇突至禁区边缘挑传，奥巴梅扬后点头球击中立柱
