8'胡斯蒂准备发球                   7'第7分钟石柯拦截犯规吃到黄牌，胡斯蒂的任意球打在人墙上弹出
9'传中打在人墙上                   7'第7分钟石柯拦截犯规吃到黄牌，胡斯蒂的任意球打在人墙上弹出
9'张笑飞将球吊入禁区，卡瓦略头球解围                   7'第7分钟石柯拦截犯规吃到黄牌，胡斯蒂的任意球打在人墙上弹出
9'中场争夺，范晓东推了埃尔克森一把                   7'第7分钟石柯拦截犯规吃到黄牌，胡斯蒂的任意球打在人墙上弹出
9'回复：Kaytun壹枝寒梅 15:34 举报回复 这是上港晋升榜首的机会，不过中超就此悬念加大，看点增加！（二龙戏珠的情况）                   7'第7分钟石柯拦截犯规吃到黄牌，胡斯蒂的任意球打在人墙上弹出
10'孙捷长传上来，谭龙顶给胡斯蒂，埃尔克森抢断                   7'第7分钟石柯拦截犯规吃到黄牌，胡斯蒂的任意球打在人墙上弹出
10'韦世豪护球，回传给张卫                   7'第7分钟石柯拦截犯规吃到黄牌，胡斯蒂的任意球打在人墙上弹出
10'挑传，被蒋哲顶出边线                   7'第7分钟石柯拦截犯规吃到黄牌，胡斯蒂的任意球打在人墙上弹出
10'张卫掷界外球，被张力断下                   7'第7分钟石柯拦截犯规吃到黄牌，胡斯蒂的任意球打在人墙上弹出
10'范晓东接应，转移给了张笑飞                   7'第7分钟石柯拦截犯规吃到黄牌，胡斯蒂的任意球打在人墙上弹出
21'再起动，倒地！主裁判哨响！                   21'但失球还是在第21分钟来到，伊哈洛右路带球杀入禁区，面对石柯伊哈洛连续扣球摆脱，艾哈迈多夫上来把伊哈洛撞倒，点球
21'点球！                   21'但失球还是在第21分钟来到，伊哈洛右路带球杀入禁区，面对石柯伊哈洛连续扣球摆脱，艾哈迈多夫上来把伊哈洛撞倒，点球
21'是艾哈迈多夫背后撞倒了伊哈洛！                   21'但失球还是在第21分钟来到，伊哈洛右路带球杀入禁区，面对石柯伊哈洛连续扣球摆脱，艾哈迈多夫上来把伊哈洛撞倒，点球
