4'接着送出直塞，给到李春郁                   4'第4分钟申鑫今天的左翼锋杨家威20米突然远射稍稍高出
4'李春郁拿球转身，分边左路找张成林，失误啦                   4'第4分钟申鑫今天的左翼锋杨家威20米突然远射稍稍高出
4'申鑫的反击，刘俊楠右路拿球下底传中                   4'第4分钟申鑫今天的左翼锋杨家威20米突然远射稍稍高出
5'力量轻了点，张烈出击在前点直接将球没收                   4'第4分钟申鑫今天的左翼锋杨家威20米突然远射稍稍高出
5'人和的前场进攻，申鑫禁区内的混战                   4'第4分钟申鑫今天的左翼锋杨家威20米突然远射稍稍高出
5'穆斯利的打门被申鑫队员挡出                   4'第4分钟申鑫今天的左翼锋杨家威20米突然远射稍稍高出
6'申鑫的反击，杨家威中路拿球，禁区弧顶闪开角度，直接一脚怒射，打偏                   4'第4分钟申鑫今天的左翼锋杨家威20米突然远射稍稍高出
7'杨家威的这脚打门打的相当突然，张烈击出一身冷汗                   4'第4分钟申鑫今天的左翼锋杨家威20米突然远射稍稍高出
7'陈昌源右边路拿球，45度的斜传球到门前                   4'第4分钟申鑫今天的左翼锋杨家威20米突然远射稍稍高出
7'拉法插上的头球攻门，弹地后被刘殿座在门线上拿到                   4'第4分钟申鑫今天的左翼锋杨家威20米突然远射稍稍高出
9'孙继海后场直接大脚长传过顶到前场                   9'第9分钟张成林左路外围远射打高
9'张成林前场接应，申鑫造越位，边裁举旗，张成林越位在先                   9'第9分钟张成林左路外围远射打高
10'邹仲霆后场拿球，面对张成林的逼抢，横传转移给到赵作俊                   9'第9分钟张成林左路外围远射打高
10'赵作俊后场过顶球到前场右路，可惜还是被人和球员控制                   9'第9分钟张成林左路外围远射打高
11'人和的进攻，张成林左路拿球，横带至禁区外，直接起右脚发炮，放了高射炮                   9'第9分钟张成林左路外围远射打高
11'申鑫的中场过顶球到左前场找杨家威                   9'第9分钟张成林左路外围远射打高
11'陈昌源利用站位，将杨家威挡在身后，护送球出边线                   9'第9分钟张成林左路外围远射打高
12'穆斯利前场背身拿球，转身突破，被申鑫球员将球挡出底线                   9'第9分钟张成林左路外围远射打高
12'人和获得右侧角球机会，这也是本场比赛的第一个角球                   9'第9分钟张成林左路外围远射打高
13'范云龙角球开出到后点，拉法无人防守下的头球摆渡                   13'第13分钟贵州队中路长传找到左路埋伏的范云龙，他顺势过掉宋星逸怒射，皮球擦门楣飞出
13'刘殿座出击直接将球拿到                   13'第13分钟贵州队中路长传找到左路埋伏的范云龙，他顺势过掉宋星逸怒射，皮球擦门楣飞出
13'人和中场再次抢断，过顶球给到禁区内的穆斯利                   13'第13分钟贵州队中路长传找到左路埋伏的范云龙，他顺势过掉宋星逸怒射，皮球擦门楣飞出
13'穆斯利拿球转身，直接起左脚打门，打在后卫身上弹出                   13'第13分钟贵州队中路长传找到左路埋伏的范云龙，他顺势过掉宋星逸怒射，皮球擦门楣飞出
14'杨昊中圈内拿球，过顶长传左路找曲波                   13'第13分钟贵州队中路长传找到左路埋伏的范云龙，他顺势过掉宋星逸怒射，皮球擦门楣飞出
14'曲波拿球回带，过度给到李春郁                   13'第13分钟贵州队中路长传找到左路埋伏的范云龙，他顺势过掉宋星逸怒射，皮球擦门楣飞出
15'李春郁转移球给到右侧的陈昌源                   13'第13分钟贵州队中路长传找到左路埋伏的范云龙，他顺势过掉宋星逸怒射，皮球擦门楣飞出
15'陈昌源过顶球给到禁区左侧，范云龙插上接应，停球直接怒射，打飞                   13'第13分钟贵州队中路长传找到左路埋伏的范云龙，他顺势过掉宋星逸怒射，皮球擦门楣飞出
