1'上半场比赛开始！                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
1'申花率先中圈开球                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
1'由于虹口周末举办了演唱会，所以草皮情况不容乐观                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
1'马佐拉中场拿球被顶防的斯基亚维扛倒                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
2'绿城后场转移球失误了                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
2'申花后场捣脚                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
2'王长庆背身拿球被破坏                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
3'托兰佐中场拿球转移右路的戴琳                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
3'王长庆身前接应在金东进逼抢下把球碰出边线                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
3'绿城后场斜传左路，直接传出了边线                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
4'郑凯木中场被唐家庶绊倒                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
4'宋博轩左路斜传禁区，顾超出击把球没收                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
4'金东进左路传球给出了边线                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
20'李建滨禁区内解围，把球踢出底线，角球                   20'比赛打了20分钟左右，双方也找不到有效突破机会，而不少队员脸上已经露出难受的表情
20'冯刚角球开门前，王林甩头没有顶上                   20'比赛打了20分钟左右，双方也找不到有效突破机会，而不少队员脸上已经露出难受的表情
21'卢卡左路传中被头球解围                   20'比赛打了20分钟左右，双方也找不到有效突破机会，而不少队员脸上已经露出难受的表情
21'外围绿城再把球吊禁区前，申花三人抢到一起，手触球了                   20'比赛打了20分钟左右，双方也找不到有效突破机会，而不少队员脸上已经露出难受的表情
21'绿城禁区弧内的任意球机会                   20'比赛打了20分钟左右，双方也找不到有效突破机会，而不少队员脸上已经露出难受的表情
22'马佐拉任意球打在人墙上弹出！                   20'比赛打了20分钟左右，双方也找不到有效突破机会，而不少队员脸上已经露出难受的表情
23'王林禁区内拼抢撞倒李建滨犯规                   20'比赛打了20分钟左右，双方也找不到有效突破机会，而不少队员脸上已经露出难受的表情
23'郑凯木中场拦截，被马佐拉绊倒                   20'比赛打了20分钟左右，双方也找不到有效突破机会，而不少队员脸上已经露出难受的表情
23'申花左路传中去门前，球被顾超跃起没收                   20'比赛打了20分钟左右，双方也找不到有效突破机会，而不少队员脸上已经露出难受的表情
24'戴琳右路防守铲球铲空了，直接让对手过去                   24'第24分钟戴琳铲球踢空，冯刚带球突破到禁区，不过他的内切力度过大，被申花队员拦下
24'冯刚拿球内切趟大了，球被斯基亚维拦截                   24'第24分钟戴琳铲球踢空，冯刚带球突破到禁区，不过他的内切力度过大，被申花队员拦下
24'宋博轩左路拿球回带，回敲给到李建滨                   24'第24分钟戴琳铲球踢空，冯刚带球突破到禁区，不过他的内切力度过大，被申花队员拦下
25'申花后场捣脚，控制下节奏                   24'第24分钟戴琳铲球踢空，冯刚带球突破到禁区，不过他的内切力度过大，被申花队员拦下
25'柏佳骏中场拦截绊倒了王林犯规                   24'第24分钟戴琳铲球踢空，冯刚带球突破到禁区，不过他的内切力度过大，被申花队员拦下
26'绿城转移左路，球过了冯刚的顶出边线                   24'第24分钟戴琳铲球踢空，冯刚带球突破到禁区，不过他的内切力度过大，被申花队员拦下
26'高迪前场断下郑凯木的脚下球                   24'第24分钟戴琳铲球踢空，冯刚带球突破到禁区，不过他的内切力度过大，被申花队员拦下
26'冯刚左路传中被斯基亚维解围                   24'第24分钟戴琳铲球踢空，冯刚带球突破到禁区，不过他的内切力度过大，被申花队员拦下
26'申花反击，莫雷诺遭遇包夹，球被破坏                   24'第24分钟戴琳铲球踢空，冯刚带球突破到禁区，不过他的内切力度过大，被申花队员拦下
27'戴琳右路顶防放倒了冯刚犯规                   24'第24分钟戴琳铲球踢空，冯刚带球突破到禁区，不过他的内切力度过大，被申花队员拦下
27'冯刚中场斜传禁区，李建滨把球拦截                   24'第24分钟戴琳铲球踢空，冯刚带球突破到禁区，不过他的内切力度过大，被申花队员拦下
27'绿城后场控制球                   24'第24分钟戴琳铲球踢空，冯刚带球突破到禁区，不过他的内切力度过大，被申花队员拦下
46'马佐拉左路内切被戴琳绊倒，任意球                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
46'裁判出示黄牌警告了戴琳！                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
47'冯刚任意球直接旋向球门被邱盛炯托出横梁！                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
47'绿城角球开出被解围                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
47'上半场比赛结束！                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
46'下半场比赛开始！                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
46'绿城中圈开球                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
46'绿城左路长传，球先出了底线                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
46'托兰佐中场转移球，给到对手脚下                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
47'申花站位有些变化，戴琳站到后腰位置，王长庆打边后卫，姜坤打边前卫                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
47'马佐拉拿球突破被身后的斯基亚维拉倒                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
47'裁判黄牌警告了斯基亚维！                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
48'冯刚任意球射门打在了边网上！                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
49'马佐拉背身拿球被顶防的李建滨扛倒                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
49'绿城后场控制球                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
49'石柯长传前场被李建滨头球解围                   46'1分钟后王林右路送球，高迪门前凌空垫射打高
25'申花后场捣脚，控制下节奏                   25'25分钟后绿城攻势大盛
25'柏佳骏中场拦截绊倒了王林犯规                   25'25分钟后绿城攻势大盛
26'绿城转移左路，球过了冯刚的顶出边线                   25'25分钟后绿城攻势大盛
26'高迪前场断下郑凯木的脚下球                   25'25分钟后绿城攻势大盛
26'冯刚左路传中被斯基亚维解围                   25'25分钟后绿城攻势大盛
26'申花反击，莫雷诺遭遇包夹，球被破坏                   25'25分钟后绿城攻势大盛
