1'上半场比赛开始                   1'沙尔克第1分钟显得积极主动，舒波-莫廷禁区边缘的射门偏出
1'首先由蓝衣蓝裤的沙尔克04开球，从画面的右侧向左进攻                   1'沙尔克第1分钟显得积极主动，舒波-莫廷禁区边缘的射门偏出
1'皇马后场抢断，克罗斯拿球推进                   1'沙尔克第1分钟显得积极主动，舒波-莫廷禁区边缘的射门偏出
2'克罗斯过了中线，分给右侧上来的贝尔                   1'沙尔克第1分钟显得积极主动，舒波-莫廷禁区边缘的射门偏出
2'贝尔拿球强突，内切后横传找伊斯科，被断啦                   1'沙尔克第1分钟显得积极主动，舒波-莫廷禁区边缘的射门偏出
3'科恩特朗左路拿球，准备过度给C罗，被断啦                   1'沙尔克第1分钟显得积极主动，舒波-莫廷禁区边缘的射门偏出
3'福克斯拿球反击，45度斜传球到门前，直接被卡西没收                   1'沙尔克第1分钟显得积极主动，舒波-莫廷禁区边缘的射门偏出
4'沙尔克前场传接，巴内塔拿球，分边右侧给到上来的梅耶尔                   1'沙尔克第1分钟显得积极主动，舒波-莫廷禁区边缘的射门偏出
20'伊斯科中圈背身拿球，诺伊施泰特放铲将球破坏                   20'沙尔克第20分钟取得领先，迈尔突破分球，巴内塔右路传中，亨特拉尔机敏漏过，富克斯禁区左侧12码处劲射被卡西利亚斯扑挡入近角
20'舒波莫廷右路拿球反击，强突被回防的科恩特朗放铲解围出边线                   20'沙尔克第20分钟取得领先，迈尔突破分球，巴内塔右路传中，亨特拉尔机敏漏过，富克斯禁区左侧12码处劲射被卡西利亚斯扑挡入近角
20'沙尔克进球啦！！！                   20'沙尔克第20分钟取得领先，迈尔突破分球，巴内塔右路传中，亨特拉尔机敏漏过，富克斯禁区左侧12码处劲射被卡西利亚斯扑挡入近角
21'福克斯禁区左侧抽射打进！！！                   20'沙尔克第20分钟取得领先，迈尔突破分球，巴内塔右路传中，亨特拉尔机敏漏过，富克斯禁区左侧12码处劲射被卡西利亚斯扑挡入近角
22'迈尔前场中路拿球，分边右侧给上来的赫韦德斯，赫韦德斯斜传球到禁区，亨特拉尔前点故意一漏，身后的福克斯停球，左脚劲射打近角，打进！！！                   20'沙尔克第20分钟取得领先，迈尔突破分球，巴内塔右路传中，亨特拉尔机敏漏过，富克斯禁区左侧12码处劲射被卡西利亚斯扑挡入近角
23'这样双方的总比分来到了2-1，皇马仅仅领先一球，晋级形势暂不明朗了                   20'沙尔克第20分钟取得领先，迈尔突破分球，巴内塔右路传中，亨特拉尔机敏漏过，富克斯禁区左侧12码处劲射被卡西利亚斯扑挡入近角
23'沙尔克前场进攻，右路下底传中到禁区                   20'沙尔克第20分钟取得领先，迈尔突破分球，巴内塔右路传中，亨特拉尔机敏漏过，富克斯禁区左侧12码处劲射被卡西利亚斯扑挡入近角
39'皇马后场传球失误，差点被亨特拉尔单刀打空门                   39'皇马第39分钟险些再次落后，瓦拉内回传卡西利亚斯失误，亨特拉尔抢先铲断令皮球滚向空门，幸亏皮球稍稍偏出方向，阿韦罗亚及时解围
39'亨特拉尔禁区线上凌空起脚打门，打在立柱上弹出                   39'皇马第39分钟险些再次落后，瓦拉内回传卡西利亚斯失误，亨特拉尔抢先铲断令皮球滚向空门，幸亏皮球稍稍偏出方向，阿韦罗亚及时解围
