2'苏亚雷斯拿球，再转移到皮克脚下，分球到中路                   2'开场仅2分钟，帕科传球，苏亚雷斯小禁区左侧斜射滑门而出
2'伊涅斯塔横向转移球找乌姆蒂蒂的脚下，再向前盘带                   2'开场仅2分钟，帕科传球，苏亚雷斯小禁区左侧斜射滑门而出
2'球转移给库蒂尼奥，分球给苏亚雷斯，后者的传球被挡出来                   2'开场仅2分钟，帕科传球，苏亚雷斯小禁区左侧斜射滑门而出
3'伊涅斯塔断球，转移球给库蒂尼奥，后者的直传球出了边线                   2'开场仅2分钟，帕科传球，苏亚雷斯小禁区左侧斜射滑门而出
4'西班牙人界外球掷到场内，纳尔多的长传球到前场                    2'开场仅2分钟，帕科传球，苏亚雷斯小禁区左侧斜射滑门而出
4'杰拉德边路起球传中，直接给了门将特尔施特根                   2'开场仅2分钟，帕科传球，苏亚雷斯小禁区左侧斜射滑门而出
5'巴塞罗那队控球走中路推进，转移到左侧，球给到迪涅的脚下，再回敲球给伊涅斯塔                   2'开场仅2分钟，帕科传球，苏亚雷斯小禁区左侧斜射滑门而出
5'伊涅斯塔盘带一下，转移到帕科的脚下，再分球给迪涅                    2'开场仅2分钟，帕科传球，苏亚雷斯小禁区左侧斜射滑门而出
5'迪涅传球失误，西班牙人控球反击                   2'开场仅2分钟，帕科传球，苏亚雷斯小禁区左侧斜射滑门而出
5'巴塞罗那队中场抢断，球转移到右侧                   2'开场仅2分钟，帕科传球，苏亚雷斯小禁区左侧斜射滑门而出
22'伊涅斯塔断球，长传球被对方拦截了                   22'第22分钟，迪涅传球，库蒂尼奥禁区边缘外劲射憾中横梁
22'胡拉多控球被侵犯了                   22'第22分钟，迪涅传球，库蒂尼奥禁区边缘外劲射憾中横梁
23'西班牙人队获得任意球机会                   22'第22分钟，迪涅传球，库蒂尼奥禁区边缘外劲射憾中横梁
23'任意球开到禁区内，第一点被防守队员抢到顶出来                   22'第22分钟，迪涅传球，库蒂尼奥禁区边缘外劲射憾中横梁
23'同时裁判哨响，进攻队员手球违例了～                   22'第22分钟，迪涅传球，库蒂尼奥禁区边缘外劲射憾中横梁
66'莫雷诺倒勾打门被挡出来                   66'西班牙人第66分钟打破僵局，特尔施特根大脚开球被断下，刚刚替补出场的塞尔吉奥-加西亚右路传中，莫雷诺10码处抢在皮克之前冲顶入网
66'西班牙人进球！！                   66'西班牙人第66分钟打破僵局，特尔施特根大脚开球被断下，刚刚替补出场的塞尔吉奥-加西亚右路传中，莫雷诺10码处抢在皮克之前冲顶入网
66'莫雷诺！！                   66'西班牙人第66分钟打破僵局，特尔施特根大脚开球被断下，刚刚替补出场的塞尔吉奥-加西亚右路传中，莫雷诺10码处抢在皮克之前冲顶入网
67'杰拉德-莫雷诺！                   66'西班牙人第66分钟打破僵局，特尔施特根大脚开球被断下，刚刚替补出场的塞尔吉奥-加西亚右路传中，莫雷诺10码处抢在皮克之前冲顶入网
68'西班牙人断球，巴普蒂斯塔奥斜长传球到禁区内，杰拉德-莫雷诺插上头球攻门，特尔施特根碰了一下球还是进入网内！                   66'西班牙人第66分钟打破僵局，特尔施特根大脚开球被断下，刚刚替补出场的塞尔吉奥-加西亚右路传中，莫雷诺10码处抢在皮克之前冲顶入网
68'莫雷诺非常的开心呀！                   66'西班牙人第66分钟打破僵局，特尔施特根大脚开球被断下，刚刚替补出场的塞尔吉奥-加西亚右路传中，莫雷诺10码处抢在皮克之前冲顶入网
68'保利尼奥控球，转移到伊涅斯塔的脚下，再直传球找到苏亚雷斯                   66'西班牙人第66分钟打破僵局，特尔施特根大脚开球被断下，刚刚替补出场的塞尔吉奥-加西亚右路传中，莫雷诺10码处抢在皮克之前冲顶入网
69'苏亚雷斯后回球，交给库蒂尼奥，再转移到右侧                   66'西班牙人第66分钟打破僵局，特尔施特根大脚开球被断下，刚刚替补出场的塞尔吉奥-加西亚右路传中，莫雷诺10码处抢在皮克之前冲顶入网
69'梅西快速插上，球还是出了底线                   66'西班牙人第66分钟打破僵局，特尔施特根大脚开球被断下，刚刚替补出场的塞尔吉奥-加西亚右路传中，莫雷诺10码处抢在皮克之前冲顶入网
82'乌姆蒂蒂又一次被放倒                   82'巴萨第82分钟扳平，梅西开出角球，皮克小禁区前头球破门，1-1
82'巴塞罗那队进攻赢得一个任意球机会                   82'巴萨第82分钟扳平，梅西开出角球，皮克小禁区前头球破门，1-1
82'巴塞罗那进球！！皮克！！！                   82'巴萨第82分钟扳平，梅西开出角球，皮克小禁区前头球破门，1-1
83'任意球开到禁区内，皮克抢点头球攻门进入网内！                   82'巴萨第82分钟扳平，梅西开出角球，皮克小禁区前头球破门，1-1
83'双方回到同一起跑线上！                   82'巴萨第82分钟扳平，梅西开出角球，皮克小禁区前头球破门，1-1
84'皮克被侵犯！                   82'巴萨第82分钟扳平，梅西开出角球，皮克小禁区前头球破门，1-1
84'双方出现争执！！                   82'巴萨第82分钟扳平，梅西开出角球，皮克小禁区前头球破门，1-1
84'杰拉德-莫雷诺被主裁判黄牌警告！                   82'巴萨第82分钟扳平，梅西开出角球，皮克小禁区前头球破门，1-1
85'皮克与莫雷诺又出现争执！                   82'巴萨第82分钟扳平，梅西开出角球，皮克小禁区前头球破门，1-1
