5'皇马换人：14号埃尔南德斯上，换下受伤的11号贝尔                   5'贝尔开场不久左小腿受伤，他在第5分钟被埃尔南德斯换下
5'博卡左路的直塞球找达德尔，达德尔在阿韦洛亚的干扰下，停球出边线                   5'贝尔开场不久左小腿受伤，他在第5分钟被埃尔南德斯换下
6'历史上皇马主场还从未输给过马拉加，本赛季客场2-1获胜                   5'贝尔开场不久左小腿受伤，他在第5分钟被埃尔南德斯换下
7'马拉加本赛季面对皇马的劲敌巴萨，1胜1平，保持不败，间接帮助了皇马                   5'贝尔开场不久左小腿受伤，他在第5分钟被埃尔南德斯换下
7'皇马前场进攻，马塞洛的攻门，顶偏                   5'贝尔开场不久左小腿受伤，他在第5分钟被埃尔南德斯换下
8'克罗斯前场中路拿球，分边右侧给到J罗                   5'贝尔开场不久左小腿受伤，他在第5分钟被埃尔南德斯换下
8'J罗拿球横切，再给莫德里奇                   5'贝尔开场不久左小腿受伤，他在第5分钟被埃尔南德斯换下
8'莫德里奇拿球强突，再分给右侧的阿韦洛亚                   5'贝尔开场不久左小腿受伤，他在第5分钟被埃尔南德斯换下
8'阿韦洛亚停球，斜塞禁区给J罗                   5'贝尔开场不久左小腿受伤，他在第5分钟被埃尔南德斯换下
8'J罗背身拿球，对方后卫上抢，J罗倒在禁区                   5'贝尔开场不久左小腿受伤，他在第5分钟被埃尔南德斯换下
24'C罗前场左路拿球，强突内切被罗萨莱斯踢翻在地                   24'皇马第24分钟取得领先，C-罗纳尔多左路任意球传射，无人防守的拉莫斯近距离挡入大门
24'皇马获得前场左侧的任意球机会，位置在大禁区左侧端线外一点点                   24'皇马第24分钟取得领先，C-罗纳尔多左路任意球传射，无人防守的拉莫斯近距离挡入大门
24'拉莫斯后点推射打进！！！！                   24'皇马第24分钟取得领先，C-罗纳尔多左路任意球传射，无人防守的拉莫斯近距离挡入大门
25'C罗任意球斜传后点，拉莫斯跟进，无人防守下的左脚垫射，打进！！！                   24'皇马第24分钟取得领先，C-罗纳尔多左路任意球传射，无人防守的拉莫斯近距离挡入大门
26'这个进球拉莫斯有越位嫌疑，慢镜头看的不清楚，不过主裁判认为进球有效                   24'皇马第24分钟取得领先，C-罗纳尔多左路任意球传射，无人防守的拉莫斯近距离挡入大门
26'皇马进球后，马塞洛第一时间跑到场边接受简单治疗                   24'皇马第24分钟取得领先，C-罗纳尔多左路任意球传射，无人防守的拉莫斯近距离挡入大门
27'博卡前场左路拿球，挑球过J罗，后者手球违例                   24'皇马第24分钟取得领先，C-罗纳尔多左路任意球传射，无人防守的拉莫斯近距离挡入大门
27'马拉加获得前场左侧的任意球机会                   24'皇马第24分钟取得领先，C-罗纳尔多左路任意球传射，无人防守的拉莫斯近距离挡入大门
36'皇马前场再攻，阿韦洛亚的进球，再次被吹越位在心                   36'马拉加第36分钟浪费机会，马塞洛挡出胡安米传中，达尔德尔10码处射门偏出
36'在先                   36'马拉加第36分钟浪费机会，马塞洛挡出胡安米传中，达尔德尔10码处射门偏出
