2'先被破坏出边线                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
2'拜仁中场重新拿球                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
2'后场长传给到前场                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
2'罗本右路突破                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
2'内切后还是打到了边路                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
2'起球送禁区                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
2'卡斯蒂尔斯这边将球破坏                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
2'拜仁的角球机会                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
3'角球送前点                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
3'后卫这边将球碰出底线                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
3'拜仁换到另一侧主罚角球                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
3'角球给到中路                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
3'头球攻门被后卫挡了下来                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
3'比达尔的头球                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
3'中路拜仁这边还有机会                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
3'弹射被后卫再次挡出底线                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
3'拜仁继续角球                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
4'角球送中路                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
4'卡斯蒂尔斯将球击出                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
4'沃尔夫斯堡禁区前沿做撞墙                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
4'最后被后卫留了下来                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
33'拜仁右路起球送禁区，莱万多夫斯基停球后轻挑过去，后卫这边手上有动作，莱万多夫斯基也是顺势倒地                   33'拜仁第33分钟取得领先，莱万禁区内背身接应右路斜传挑球转身倒地，主裁判吹蒂斯朗绊人犯规，点球
33'裁判果断吹罚点球                   33'拜仁第33分钟取得领先，莱万禁区内背身接应右路斜传挑球转身倒地，主裁判吹蒂斯朗绊人犯规，点球
33'莱万多夫斯基自己来罚                   33'拜仁第33分钟取得领先，莱万禁区内背身接应右路斜传挑球转身倒地，主裁判吹蒂斯朗绊人犯规，点球
33'莱万多夫斯基助跑后低平球直接推射中路，门将判断错了方向！！                   33'拜仁第33分钟取得领先，莱万禁区内背身接应右路斜传挑球转身倒地，主裁判吹蒂斯朗绊人犯规，点球
34'1-0！！！                   33'拜仁第33分钟取得领先，莱万禁区内背身接应右路斜传挑球转身倒地，主裁判吹蒂斯朗绊人犯规，点球
34'拜仁取得领先！！                   33'拜仁第33分钟取得领先，莱万禁区内背身接应右路斜传挑球转身倒地，主裁判吹蒂斯朗绊人犯规，点球
35'拜仁中场断球下来                   33'拜仁第33分钟取得领先，莱万禁区内背身接应右路斜传挑球转身倒地，主裁判吹蒂斯朗绊人犯规，点球
35'罗本带球推进                   33'拜仁第33分钟取得领先，莱万禁区内背身接应右路斜传挑球转身倒地，主裁判吹蒂斯朗绊人犯规，点球
35'挑传给到禁区后点                   33'拜仁第33分钟取得领先，莱万禁区内背身接应右路斜传挑球转身倒地，主裁判吹蒂斯朗绊人犯规，点球
35'莱万头球点下来                   33'拜仁第33分钟取得领先，莱万禁区内背身接应右路斜传挑球转身倒地，主裁判吹蒂斯朗绊人犯规，点球
36'这球太靠近门将了                   33'拜仁第33分钟取得领先，莱万禁区内背身接应右路斜传挑球转身倒地，主裁判吹蒂斯朗绊人犯规，点球
54'拜仁前场左路获得任意球                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
54'鲁迪来主罚                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
54'任意球给到禁区                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
54'还是往后点吊                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
54'莱万多夫斯基抢点先越位了                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
55'沃尔夫斯堡中场拿球给到中间                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
55'奥里吉接球被阻挡                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
55'裁判给了沃尔夫斯堡前场的任意球                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
56'距离稍微有些远                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
56'2-1！！！！！                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
