1'上半场比赛开始！                   1'第1分钟，夸利亚雷拉和萨帕塔接连两脚远射
1'那不勒斯率先中圈开球                   1'第1分钟，夸利亚雷拉和萨帕塔接连两脚远射
1'库利巴利大脚到前场                   1'第1分钟，夸利亚雷拉和萨帕塔接连两脚远射
1'贝西诺上抢犯规                   1'第1分钟，夸利亚雷拉和萨帕塔接连两脚远射
2'因西涅左路推传禁区，斯克里尼亚尔拦截                   1'第1分钟，夸利亚雷拉和萨帕塔接连两脚远射
2'那不勒斯右路进攻，回敲                   1'第1分钟，夸利亚雷拉和萨帕塔接连两脚远射
3'国米对位防守，那不勒斯回到后场                   1'第1分钟，夸利亚雷拉和萨帕塔接连两脚远射
3'古拉姆内切，哈姆西克后上拿球                   1'第1分钟，夸利亚雷拉和萨帕塔接连两脚远射
3'可惜趟大了，出底线                   1'第1分钟，夸利亚雷拉和萨帕塔接连两脚远射
4'贝西诺丢球了，加利亚迪尼反抢                   1'第1分钟，夸利亚雷拉和萨帕塔接连两脚远射
4'坎德雷瓦右路推进被古拉姆绊倒                   1'第1分钟，夸利亚雷拉和萨帕塔接连两脚远射
4'米兰达长传左路，阿尔比奥尔补防解围                   1'第1分钟，夸利亚雷拉和萨帕塔接连两脚远射
15'阿兰中场推进倒地，裁判没有表示                   15'国米第15分钟更接近破门，佩里希奇右路面对两人防守仍然传出，丹布罗西奥前点距门10米处推射偏出近门柱
16'米兰达长传找佩里西奇                   15'国米第15分钟更接近破门，佩里希奇右路面对两人防守仍然传出，丹布罗西奥前点距门10米处推射偏出近门柱
16'希萨伊头球破坏                   15'国米第15分钟更接近破门，佩里希奇右路面对两人防守仍然传出，丹布罗西奥前点距门10米处推射偏出近门柱
16'哈姆西克禁区前分左路，因西涅兜射远角打偏                   15'国米第15分钟更接近破门，佩里希奇右路面对两人防守仍然传出，丹布罗西奥前点距门10米处推射偏出近门柱
17'巴莱罗回撤拿球，扣过逼抢                   15'国米第15分钟更接近破门，佩里希奇右路面对两人防守仍然传出，丹布罗西奥前点距门10米处推射偏出近门柱
18'默滕斯禁区右侧插上，被米兰达卡位                   15'国米第15分钟更接近破门，佩里希奇右路面对两人防守仍然传出，丹布罗西奥前点距门10米处推射偏出近门柱
18'汉达诺维奇把球破坏，角球                   15'国米第15分钟更接近破门，佩里希奇右路面对两人防守仍然传出，丹布罗西奥前点距门10米处推射偏出近门柱
18'战术角球开出，后点阿尔比奥尔争顶犯规                   15'国米第15分钟更接近破门，佩里希奇右路面对两人防守仍然传出，丹布罗西奥前点距门10米处推射偏出近门柱
29'若日尼奥半高球给禁区，被破坏出来                   29'国米第29分钟险些破门，长友佑都后场左路长距离直传，普焦尼冲出禁区抢在伊卡尔迪前面解围，佩里希奇左侧距门45米处直接吊射击中右门柱弹回，落入普焦尼怀中
29'因西涅突破，被丹布罗西奥破坏，角球                   29'国米第29分钟险些破门，长友佑都后场左路长距离直传，普焦尼冲出禁区抢在伊卡尔迪前面解围，佩里希奇左侧距门45米处直接吊射击中右门柱弹回，落入普焦尼怀中
30'角球前点被顶出，外围若日尼奥打高                   29'国米第29分钟险些破门，长友佑都后场左路长距离直传，普焦尼冲出禁区抢在伊卡尔迪前面解围，佩里希奇左侧距门45米处直接吊射击中右门柱弹回，落入普焦尼怀中
30'伊卡尔迪中场拿球，越位位置回接了                   29'国米第29分钟险些破门，长友佑都后场左路长距离直传，普焦尼冲出禁区抢在伊卡尔迪前面解围，佩里希奇左侧距门45米处直接吊射击中右门柱弹回，落入普焦尼怀中
31'因西涅左路拿球，出边线                   29'国米第29分钟险些破门，长友佑都后场左路长距离直传，普焦尼冲出禁区抢在伊卡尔迪前面解围，佩里希奇左侧距门45米处直接吊射击中右门柱弹回，落入普焦尼怀中
32'长友佑都左路解围转移球                   29'国米第29分钟险些破门，长友佑都后场左路长距离直传，普焦尼冲出禁区抢在伊卡尔迪前面解围，佩里希奇左侧距门45米处直接吊射击中右门柱弹回，落入普焦尼怀中
32'佩里西奇头球回点给门将                   29'国米第29分钟险些破门，长友佑都后场左路长距离直传，普焦尼冲出禁区抢在伊卡尔迪前面解围，佩里希奇左侧距门45米处直接吊射击中右门柱弹回，落入普焦尼怀中
32'伊卡尔迪给右路身后，古拉姆先拿到                   29'国米第29分钟险些破门，长友佑都后场左路长距离直传，普焦尼冲出禁区抢在伊卡尔迪前面解围，佩里希奇左侧距门45米处直接吊射击中右门柱弹回，落入普焦尼怀中
32'长友佑都左路解围转移球                   32'国米第32分钟扩大比分，伊卡尔迪左路大范围转移，坎德雷瓦右路卸球回敲，贝西诺斜吊禁区，对方后卫头球解围不远，伊卡尔迪左侧距门12米处斜射窜入远角，2比0
32'佩里西奇头球回点给门将                   32'国米第32分钟扩大比分，伊卡尔迪左路大范围转移，坎德雷瓦右路卸球回敲，贝西诺斜吊禁区，对方后卫头球解围不远，伊卡尔迪左侧距门12米处斜射窜入远角，2比0
32'伊卡尔迪给右路身后，古拉姆先拿到                   32'国米第32分钟扩大比分，伊卡尔迪左路大范围转移，坎德雷瓦右路卸球回敲，贝西诺斜吊禁区，对方后卫头球解围不远，伊卡尔迪左侧距门12米处斜射窜入远角，2比0
33'哈姆西克左路传中被顶出                   32'国米第32分钟扩大比分，伊卡尔迪左路大范围转移，坎德雷瓦右路卸球回敲，贝西诺斜吊禁区，对方后卫头球解围不远，伊卡尔迪左侧距门12米处斜射窜入远角，2比0
