2'钟晋宝为河南建业在左路,赢得一个任意球.                   2'第2分钟，迪亚涅拿球到对方禁区右侧，皮球被对方球员破坏出底线
2'天津泰达球员白岳峰拼抢犯规,对手获得控球权.                   2'第2分钟，迪亚涅拿球到对方禁区右侧，皮球被对方球员破坏出底线
2'顾操将球处理出底线,天津泰达获得角球.                   2'第2分钟，迪亚涅拿球到对方禁区右侧，皮球被对方球员破坏出底线
3'路尧将球处理出底线,天津泰达获得角球.                   2'第2分钟，迪亚涅拿球到对方禁区右侧，皮球被对方球员破坏出底线
46'河南建业球员顾操拼抢犯规,对手获得控球权.                   46'1分钟之后，天津亿利传球到对方禁区内，吴龑出击把球拿到
46'蒂亚戈内 为天津泰达在对方半场,赢得一个任意球.                   46'1分钟之后，天津亿利传球到对方禁区内，吴龑出击把球拿到
48'钟晋宝为河南建业在左路,赢得一个任意球.                   46'1分钟之后，天津亿利传球到对方禁区内，吴龑出击把球拿到
48'天津泰达球员白岳峰拼抢犯规,对手获得控球权.                   46'1分钟之后，天津亿利传球到对方禁区内，吴龑出击把球拿到
14'天津泰达球员蒂亚戈内 大禁区中央右脚射门,被防守球员封堵.给他传球的是杨立瑜.                   14'第14分钟，迪亚涅在对方禁区内中央接到队友传球后射门，皮球击中门柱弹出底线
14'龙成将球处理出底线,天津泰达获得角球.                   14'第14分钟，迪亚涅在对方禁区内中央接到队友传球后射门，皮球击中门柱弹出底线
15'河南建业球员顾操拼抢犯规,对手获得控球权.                   14'第14分钟，迪亚涅在对方禁区内中央接到队友传球后射门，皮球击中门柱弹出底线
15'蒂亚戈内 为天津泰达在对方半场,赢得一个任意球.                   14'第14分钟，迪亚涅在对方禁区内中央接到队友传球后射门，皮球击中门柱弹出底线
16'射门!!!天津泰达球员买提江大禁区外左脚射门,被对方守门员横身扑出.                   14'第14分钟，迪亚涅在对方禁区内中央接到队友传球后射门，皮球击中门柱弹出底线
16'吴龑将球处理出底线,天津泰达获得角球.                   14'第14分钟，迪亚涅在对方禁区内中央接到队友传球后射门，皮球击中门柱弹出底线
17'吴龑为河南建业赢得一个任意球.                   14'第14分钟，迪亚涅在对方禁区内中央接到队友传球后射门，皮球击中门柱弹出底线
