3'中场鲁能泰山队得球，转移到右路进攻                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
4'对方犯规，鲁能泰山队得到前场右翼任意球机会                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
5'郑铮发任意球直接打门，稍高了一些！！                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
5'鲁能首发名单：;门将：25-王大雷;后卫：19-张弛、5-汪强、4-麦克格文、16-郑铮;后腰：15-乌索、33-金敬道;前卫：21-刘彬彬、30-蒙蒂略、24-吕征;　前锋：10-洛维                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
5'替补阵容：1-杨程、8-王永珀、9-韩鹏、11-王彤、13-张文钊、17-吴兴涵、28-蒿俊闵、31-阿洛伊西奥                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
5'江苏舜天首发：门将：1-邓小飞;后卫：30-尹信荣、3-埃雷尔森、2-李昂、23-任航;前卫：13-陶源、6-安塔尔、37-杨昊、8-刘建业、16-邓卓翔;前锋：11-艾利亚斯                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
5'替补：7-张新林、12-张晓彬、5-周云、20-孙可、24-吉翔、26-关震、40-托罗扎                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
5'鲁能泰山队大脚长传，越位啦                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
5'江苏舜天队攻到前场，对方把球抢断下来                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
6'江苏舜天队在前场抢球犯规                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
6'中场鲁能泰山队断球，乌索接球直传，对方把球破坏                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
6'鲁能泰山队这种进攻很有威胁，但同时后卫也有些空虚啊！                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
12'任意球发到禁区内，前点队友头球过渡，球到了另一侧                   12'第12分钟，江苏舜天获得角球，邓卓翔弧线球传入禁区，埃雷尔森头球射门被王大雷没收
12'李昂左路斜传禁区，对方把球碰出底线，角球机会                   12'第12分钟，江苏舜天获得角球，邓卓翔弧线球传入禁区，埃雷尔森头球射门被王大雷没收
12'刚才汪强的动作还是比较大，吃到了黄牌                   12'第12分钟，江苏舜天获得角球，邓卓翔弧线球传入禁区，埃雷尔森头球射门被王大雷没收
12'角球发到禁区内前点，埃雷尔森头球顶了一下，王大雷把球没收！                   12'第12分钟，江苏舜天获得角球，邓卓翔弧线球传入禁区，埃雷尔森头球射门被王大雷没收
13'鲁能泰山队右路攻到前场，横传中路，洛维的打门有气无力                   12'第12分钟，江苏舜天获得角球，邓卓翔弧线球传入禁区，埃雷尔森头球射门被王大雷没收
13'江苏舜天队中路长传，汪强争顶手上有动作，伊了埃利亚斯                   12'第12分钟，江苏舜天获得角球，邓卓翔弧线球传入禁区，埃雷尔森头球射门被王大雷没收
13'汪强要注意啊，有黄牌在身了啦                   12'第12分钟，江苏舜天获得角球，邓卓翔弧线球传入禁区，埃雷尔森头球射门被王大雷没收
14'任意球发出来，安塔尔远射，被王大雷扑住                   12'第12分钟，江苏舜天获得角球，邓卓翔弧线球传入禁区，埃雷尔森头球射门被王大雷没收
15'蒙蒂略直传球，吕征突破横传，尹信荣铲了一下球起得好高，邓小飞把球摘下来！                   12'第12分钟，江苏舜天获得角球，邓卓翔弧线球传入禁区，埃雷尔森头球射门被王大雷没收
15'鲁能泰山队的这次配合真是不错                   12'第12分钟，江苏舜天获得角球，邓卓翔弧线球传入禁区，埃雷尔森头球射门被王大雷没收
15'Wo啥也不想说：赵明剑怎么了，替补也进不去了。[回复]哟，好久没见到他了                   12'第12分钟，江苏舜天获得角球，邓卓翔弧线球传入禁区，埃雷尔森头球射门被王大雷没收
18'蒙蒂略在外围接刘彬彬的回传球，一脚劲射直奔死角，邓小飞把球扑出                   18'第18分钟，山东鲁能打出默契配合，张弛、刘彬彬连续做球，蒙蒂略禁区外弧线球打门，球被邓小飞飞身将球扑出
18'金敬道拿球，直传给了张驰                   18'第18分钟，山东鲁能打出默契配合，张弛、刘彬彬连续做球，蒙蒂略禁区外弧线球打门，球被邓小飞飞身将球扑出
18'吕征接球回传给蒙蒂略                   18'第18分钟，山东鲁能打出默契配合，张弛、刘彬彬连续做球，蒙蒂略禁区外弧线球打门，球被邓小飞飞身将球扑出
18'刘彬彬禁区内接球，横传门前，可惜没有队员能到位                   18'第18分钟，山东鲁能打出默契配合，张弛、刘彬彬连续做球，蒙蒂略禁区外弧线球打门，球被邓小飞飞身将球扑出
19'吕征在禁区内没能及时赶到，错失了这次机会                   18'第18分钟，山东鲁能打出默契配合，张弛、刘彬彬连续做球，蒙蒂略禁区外弧线球打门，球被邓小飞飞身将球扑出
19'大家为两队加油！积极发表评论，我给大家上墙！                   18'第18分钟，山东鲁能打出默契配合，张弛、刘彬彬连续做球，蒙蒂略禁区外弧线球打门，球被邓小飞飞身将球扑出
20'鲁能泰山队后场断球，金敬道直传给右路的吕征                   18'第18分钟，山东鲁能打出默契配合，张弛、刘彬彬连续做球，蒙蒂略禁区外弧线球打门，球被邓小飞飞身将球扑出
20'吕征三带两带丢啦，有点托大！                   18'第18分钟，山东鲁能打出默契配合，张弛、刘彬彬连续做球，蒙蒂略禁区外弧线球打门，球被邓小飞飞身将球扑出
20'陶源带球突破，麦克格文上抢，陶源把球碰出边线                   18'第18分钟，山东鲁能打出默契配合，张弛、刘彬彬连续做球，蒙蒂略禁区外弧线球打门，球被邓小飞飞身将球扑出
20'陶源左路带球到前场，被对方抢断下来                   18'第18分钟，山东鲁能打出默契配合，张弛、刘彬彬连续做球，蒙蒂略禁区外弧线球打门，球被邓小飞飞身将球扑出
21'埃雷尔森后场拿球，长距离传球到前场左路                   18'第18分钟，山东鲁能打出默契配合，张弛、刘彬彬连续做球，蒙蒂略禁区外弧线球打门，球被邓小飞飞身将球扑出
21'任航左中睡带球突破，被麦克格文铲出边线                   18'第18分钟，山东鲁能打出默契配合，张弛、刘彬彬连续做球，蒙蒂略禁区外弧线球打门，球被邓小飞飞身将球扑出
21'界外球发出来，鲁能泰山队断球                   18'第18分钟，山东鲁能打出默契配合，张弛、刘彬彬连续做球，蒙蒂略禁区外弧线球打门，球被邓小飞飞身将球扑出
23'鲁能泰山队进球啦！！吕征，1-0                   23'第23分钟，山东鲁能打破僵局，禁区前送出直塞，吕征插上小角度劲射，皮球打在防守队员身上后吊入球门，山东鲁能1-0领先
24'金敬道右路直传禁区，吕征快马杀到，抢点劲射打在对方身上弹起来越过门将进入球门！！！                   23'第23分钟，山东鲁能打破僵局，禁区前送出直塞，吕征插上小角度劲射，皮球打在防守队员身上后吊入球门，山东鲁能1-0领先
24'今天鲁能泰山队的气势真是让人害怕！                   23'第23分钟，山东鲁能打破僵局，禁区前送出直塞，吕征插上小角度劲射，皮球打在防守队员身上后吊入球门，山东鲁能1-0领先
24'用户3649266553：鲁能加油！！！！！一统，你说的上墙呢？嗨嗨，泰山队！[回复]看看吧，你一说加油就进球啦！！！                   23'第23分钟，山东鲁能打破僵局，禁区前送出直塞，吕征插上小角度劲射，皮球打在防守队员身上后吊入球门，山东鲁能1-0领先
24'吕征进球啦！贺电有木有？                   23'第23分钟，山东鲁能打破僵局，禁区前送出直塞，吕征插上小角度劲射，皮球打在防守队员身上后吊入球门，山东鲁能1-0领先
