24'界外球发出来，王彤右路横传禁区！佩莱抢点头球顶门，皮球应声入网！！！                   24'第24分钟，王彤弧线球传中，王彤头球破门
26'张驰右路突破传球，被破坏出来                   24'第24分钟，王彤弧线球传中，王彤头球破门
26'格德斯中场得球，回传一脚                   24'第24分钟，王彤弧线球传中，王彤头球破门
26'王彤上来啦！直传球！                   24'第24分钟，王彤弧线球传中，王彤头球破门
26'刘军帅横传交给格德斯！                   24'第24分钟，王彤弧线球传中，王彤头球破门
26'中场鲁能泰山队横传球到左路！                   24'第24分钟，王彤弧线球传中，王彤头球破门
26'吴兴涵接球！对方抢球出边线                   24'第24分钟，王彤弧线球传中，王彤头球破门
27'界外球发出来！鲁能泰山队左路进攻！                   24'第24分钟，王彤弧线球传中，王彤头球破门
27'吴兴涵在前场抢球犯规！                   24'第24分钟，王彤弧线球传中，王彤头球破门
27'任意球发出来，天津泰达队右路长传进攻！                   24'第24分钟，王彤弧线球传中，王彤头球破门
27'对方犯规啦！！天津泰达队任意球                   24'第24分钟，王彤弧线球传中，王彤头球破门
48'中场天津泰达队得球，回传一脚交给米克尔！                   48'第3分钟，山东鲁能旧将买提江禁区外觅得机会，弧线球射门直奔死角，韩镕泽飞身用指尖将球球稍稍托出横梁
48'米克尔右路长传球到前场，队友回传，再前传大了些！                   48'第3分钟，山东鲁能旧将买提江禁区外觅得机会，弧线球射门直奔死角，韩镕泽飞身用指尖将球球稍稍托出横梁
49'崔鹏上场后传球成功率更高了一些！                   48'第3分钟，山东鲁能旧将买提江禁区外觅得机会，弧线球射门直奔死角，韩镕泽飞身用指尖将球球稍稍托出横梁
49'王彤右路带球突破！被放倒在地                   48'第3分钟，山东鲁能旧将买提江禁区外觅得机会，弧线球射门直奔死角，韩镕泽飞身用指尖将球球稍稍托出横梁
50'鲁能泰山队传球到禁区内！！！佩莱在门线上抢点打门，没有踢到球，杨启鹏没收！                   48'第3分钟，山东鲁能旧将买提江禁区外觅得机会，弧线球射门直奔死角，韩镕泽飞身用指尖将球球稍稍托出横梁
50'太可惜啦！                   48'第3分钟，山东鲁能旧将买提江禁区外觅得机会，弧线球射门直奔死角，韩镕泽飞身用指尖将球球稍稍托出横梁
50'天津泰达队右路攻到前场，直传球！                   48'第3分钟，山东鲁能旧将买提江禁区外觅得机会，弧线球射门直奔死角，韩镕泽飞身用指尖将球球稍稍托出横梁
50'米克尔右路下底横传，吉尔将球破坏出底线！                   48'第3分钟，山东鲁能旧将买提江禁区外觅得机会，弧线球射门直奔死角，韩镕泽飞身用指尖将球球稍稍托出横梁
51'天津泰达队发角球到禁区内！双方争顶出底线                   48'第3分钟，山东鲁能旧将买提江禁区外觅得机会，弧线球射门直奔死角，韩镕泽飞身用指尖将球球稍稍托出横梁
51'继续角球                   48'第3分钟，山东鲁能旧将买提江禁区外觅得机会，弧线球射门直奔死角，韩镕泽飞身用指尖将球球稍稍托出横梁
51'角球给到后点彭睿一脚大力远射！！高出                   48'第3分钟，山东鲁能旧将买提江禁区外觅得机会，弧线球射门直奔死角，韩镕泽飞身用指尖将球球稍稍托出横梁
60'鲁能泰山队长传球到前场，巴斯蒂安斯将球破坏出边线                   60'第15分钟，赵宏略受伤无法坚持，被谭望嵩换下
60'鲁能泰山队前场界外球                   60'第15分钟，赵宏略受伤无法坚持，被谭望嵩换下
60'金敬道发界外球交给格德斯！                   60'第15分钟，赵宏略受伤无法坚持，被谭望嵩换下
60'格德斯回传球！金敬道横传球被拦！                   60'第15分钟，赵宏略受伤无法坚持，被谭望嵩换下
61'米克尔前场得球，横传交给巴斯蒂安斯                   60'第15分钟，赵宏略受伤无法坚持，被谭望嵩换下
61'巴斯蒂安斯分左路！                   60'第15分钟，赵宏略受伤无法坚持，被谭望嵩换下
61'外围巴斯蒂安斯一脚远射！！打高啦                   60'第15分钟，赵宏略受伤无法坚持，被谭望嵩换下
63'张驰右路下底横传禁区！被巴斯蒂安斯破坏                   60'第15分钟，赵宏略受伤无法坚持，被谭望嵩换下
63'蒿俊闵横向带球！突破一脚远射，被挡出来                   60'第15分钟，赵宏略受伤无法坚持，被谭望嵩换下
63'张驰右路下底横传禁区！被巴斯蒂安斯破坏                   63'第18分钟，格德斯禁区内拿球回做，刘军帅远射偏出
63'蒿俊闵横向带球！突破一脚远射，被挡出来                   63'第18分钟，格德斯禁区内拿球回做，刘军帅远射偏出
64'崔鹏右路接球，斜传禁区！天津泰达队把球顶出来打反击                   63'第18分钟，格德斯禁区内拿球回做，刘军帅远射偏出
64'米克尔左路突破，被包夹，挑传球被挡，韩镕泽没收                   63'第18分钟，格德斯禁区内拿球回做，刘军帅远射偏出
64'鲁能泰山队右路攻到前场，对方破坏                   63'第18分钟，格德斯禁区内拿球回做，刘军帅远射偏出
64'王彤发出界外球！格德斯控球！回传王彤                   63'第18分钟，格德斯禁区内拿球回做，刘军帅远射偏出
64'王彤再回传！横传交给崔鹏！                   63'第18分钟，格德斯禁区内拿球回做，刘军帅远射偏出
