24'进球啦！！！塞维利亚球员巴卡球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是克雷霍维亚克. 塞维利亚 1-0 格拉纳达.                   24'第24分钟，巴卡角球混战中近距离破门
24'格拉纳达球员皮蒂被主裁判出示了一张黄牌.                   24'第24分钟，巴卡角球混战中近距离破门
24'格拉纳达球员罗伯托被主裁判出示了一张黄牌.                   24'第24分钟，巴卡角球混战中近距离破门
25'阿尔-阿拉比为格拉纳达在对方半场,赢得一个任意球.                   24'第24分钟，巴卡角球混战中近距离破门
25'塞维利亚球员克雷霍维亚克拼抢犯规,对手获得控球权.                   24'第24分钟，巴卡角球混战中近距离破门
26'格拉纳达球员皮蒂大禁区外尝试左脚射门,可惜皮球高出右上角球门.                   24'第24分钟，巴卡角球混战中近距离破门
65'塞维利亚球员巴内加小禁区右侧右脚射门,命中门柱横梁.给他传球的是雷耶斯.                   65'第65分钟，雷耶斯禁区左侧传中，巴内加小禁区边缘凌空钩射打中横梁弹回，阿根廷人混战中10码处劲射破门
65'进球啦！！！塞维利亚球员巴内加大禁区中央右脚射门,球从左下角飞进球门,球进了! 塞维利亚 2-1 格拉纳达.                   65'第65分钟，雷耶斯禁区左侧传中，巴内加小禁区边缘凌空钩射打中横梁弹回，阿根廷人混战中10码处劲射破门
66'格拉纳达球员Abdoul Sissoko拼抢犯规,对手获得控球权.                   65'第65分钟，雷耶斯禁区左侧传中，巴内加小禁区边缘凌空钩射打中横梁弹回，阿根廷人混战中10码处劲射破门
66'比达尔为塞维利亚在右路,赢得一个任意球.                   65'第65分钟，雷耶斯禁区左侧传中，巴内加小禁区边缘凌空钩射打中横梁弹回，阿根廷人混战中10码处劲射破门
67'格拉纳达球员Abdoul Sissoko拼抢犯规,对手获得控球权.                   65'第65分钟，雷耶斯禁区左侧传中，巴内加小禁区边缘凌空钩射打中横梁弹回，阿根廷人混战中10码处劲射破门
67'比达尔为塞维利亚在右路,赢得一个任意球.                   65'第65分钟，雷耶斯禁区左侧传中，巴内加小禁区边缘凌空钩射打中横梁弹回，阿根廷人混战中10码处劲射破门
68'格拉纳达换人,Jhon Córdoba换下Abdoul Sissoko                   65'第65分钟，雷耶斯禁区左侧传中，巴内加小禁区边缘凌空钩射打中横梁弹回，阿根廷人混战中10码处劲射破门
89'进球啦！！！塞维利亚球员姆比亚大禁区中央头球,球从左下角飞进球门,球进了!助攻的是加梅罗. 塞维利亚 4-1 格拉纳达.                   89'第89分钟，加梅罗左路传中，无人防守的姆比亚小禁区前头球破门
90'+2'进球啦！！！塞维利亚球员加梅罗球门线跟前头球,球从右下角飞进球门,球进了!助攻的是维托洛. 塞维利亚 5-1 格拉纳达.                   89'第89分钟，加梅罗左路传中，无人防守的姆比亚小禁区前头球破门
90'+3'下半场结束,塞维利亚 5-1 格拉纳达                   89'第89分钟，加梅罗左路传中，无人防守的姆比亚小禁区前头球破门
