3'内马尔左侧交给身后小白！                   3'开场仅3分钟，伊涅斯塔直传，苏亚雷斯禁区左侧传中内马尔被加亚抢先解围
3'低平球给小禁区左侧苏亚雷斯！曼加拉补防过来！大脚解围出去！                   3'开场仅3分钟，伊涅斯塔直传，苏亚雷斯禁区左侧传中内马尔被加亚抢先解围
3'巴萨左侧角球机会！                   3'开场仅3分钟，伊涅斯塔直传，苏亚雷斯禁区左侧传中内马尔被加亚抢先解围
4'禁区中路！加雷解围出去！                   3'开场仅3分钟，伊涅斯塔直传，苏亚雷斯禁区左侧传中内马尔被加亚抢先解围
4'边线马斯切拉若碰出边线！                   3'开场仅3分钟，伊涅斯塔直传，苏亚雷斯禁区左侧传中内马尔被加亚抢先解围
4'中圈巴萨反抢成功！                   3'开场仅3分钟，伊涅斯塔直传，苏亚雷斯禁区左侧传中内马尔被加亚抢先解围
5'低平球向前送直线！曼加拉过来解围！                   3'开场仅3分钟，伊涅斯塔直传，苏亚雷斯禁区左侧传中内马尔被加亚抢先解围
5'左路乌姆蒂蒂低平给身前伊涅斯塔！下底！                   3'开场仅3分钟，伊涅斯塔直传，苏亚雷斯禁区左侧传中内马尔被加亚抢先解围
5'倒三角横敲！加雷赶上大脚解围！                   3'开场仅3分钟，伊涅斯塔直传，苏亚雷斯禁区左侧传中内马尔被加亚抢先解围
6'瓦伦西亚反击！马斯切拉若回追踢出边线！                   3'开场仅3分钟，伊涅斯塔直传，苏亚雷斯禁区左侧传中内马尔被加亚抢先解围
6'不不不！这个 是角球！                   3'开场仅3分钟，伊涅斯塔直传，苏亚雷斯禁区左侧传中内马尔被加亚抢先解围
6'右路卡洛斯！起球传中！                   3'开场仅3分钟，伊涅斯塔直传，苏亚雷斯禁区左侧传中内马尔被加亚抢先解围
16'坎塞洛倒在地上，好像是有点受伤！                   15'巴萨第15分钟险些破门，乌姆蒂蒂直传，苏亚雷斯禁区左侧扣过加雷后横传，梅西小禁区边缘扫射偏转后被加亚在门线前解围
16'没啥问题！比赛继续！                   15'巴萨第15分钟险些破门，乌姆蒂蒂直传，苏亚雷斯禁区左侧扣过加雷后横传，梅西小禁区边缘扫射偏转后被加亚在门线前解围
16'梅西右路盘带往里突！大禁区前沿右侧！                   15'巴萨第15分钟险些破门，乌姆蒂蒂直传，苏亚雷斯禁区左侧扣过加雷后横传，梅西小禁区边缘扫射偏转后被加亚在门线前解围
17'左脚兜一脚弧线！高出横梁啊！                   15'巴萨第15分钟险些破门，乌姆蒂蒂直传，苏亚雷斯禁区左侧扣过加雷后横传，梅西小禁区边缘扫射偏转后被加亚在门线前解围
17'瓦伦西亚门球！                   15'巴萨第15分钟险些破门，乌姆蒂蒂直传，苏亚雷斯禁区左侧扣过加雷后横传，梅西小禁区边缘扫射偏转后被加亚在门线前解围
17'中圈佩雷斯拿球！被梅西反抢！                   15'巴萨第15分钟险些破门，乌姆蒂蒂直传，苏亚雷斯禁区左侧扣过加雷后横传，梅西小禁区边缘扫射偏转后被加亚在门线前解围
18'直接给左路苏亚雷斯！禁区里回给身后伊内斯塔！                   15'巴萨第15分钟险些破门，乌姆蒂蒂直传，苏亚雷斯禁区左侧扣过加雷后横传，梅西小禁区边缘扫射偏转后被加亚在门线前解围
18'没机会了啊！加雷大脚踢出去！                   15'巴萨第15分钟险些破门，乌姆蒂蒂直传，苏亚雷斯禁区左侧扣过加雷后横传，梅西小禁区边缘扫射偏转后被加亚在门线前解围
18'后场乌姆蒂蒂直接被卡洛斯断了！                   15'巴萨第15分钟险些破门，乌姆蒂蒂直传，苏亚雷斯禁区左侧扣过加雷后横传，梅西小禁区边缘扫射偏转后被加亚在门线前解围
18'横敲中路帕霍霍！                   15'巴萨第15分钟险些破门，乌姆蒂蒂直传，苏亚雷斯禁区左侧扣过加雷后横传，梅西小禁区边缘扫射偏转后被加亚在门线前解围
25'梅西开出来！吊进禁区！直接被门将出来拿到！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
25'大脚开出来！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
25'后场皮克分右边马斯切拉诺！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
26'长传左路内马尔！带到大禁区左侧被放倒了！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
26'裁判没给表示！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
26'马斯切拉若横敲左边皮克！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
27'再分身前乌姆蒂蒂！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
27'往前直塞内马尔！没停住！出界了！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
27'佩雷斯左路内切！拉基蒂奇身后给断了！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
27'直塞中路梅西！曼加拉出来铲出底线！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
28'巴萨右侧角球！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
28'前场右路内马尔往里突！给梅西！进禁区！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
28'加雷解围一脚！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
28'中圈附近皮克拿到！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
28'给前场右路梅西！                   25'第25分钟，梅西直传，内马尔禁区左侧在坎塞洛防守下摔倒，裁判拒绝判罚点球
29'过顶球找到小禁区左侧小白！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
29'加雷头球顶一下！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
29'直接被门将拿到！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
29'大脚开出来！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
30'穆尼尔前场往前突！特尔施特根出界打出底线！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
30'右侧角球！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
30'皮球吊向禁区！中路曼加拉头球！！！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
30'进了进了进了进了！！！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
31'瓦伦西亚暂时１－０领先！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
31'比赛继续！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
31'中圈皮克分右路梅西！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
31'转身摆脱横敲前场伊内斯塔！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
31'挑传禁区左侧内马尔！回给　中路布斯克茨！挑传禁区！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
31'直接被头球解围出去！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
32'内马尔外围传中禁区！曼加拉跃起头球解围！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
32'右路马斯切拉若分左侧拉菲尼亚！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
32'再回给中路皮克！                   29'瓦伦西亚第29分钟取得领先，帕雷霍开出角球，曼加拉前点8码处力压布斯克茨头球破门
45'裁判响哨！吹了曼加拉身后拉人犯规！再给一张黄牌！                   45'巴萨第45分钟反超比分，曼加拉禁区内拉倒苏亚雷斯被红牌罚下，梅西主罚点球命中，2-1
45'同时还是点球！                   45'巴萨第45分钟反超比分，曼加拉禁区内拉倒苏亚雷斯被红牌罚下，梅西主罚点球命中，2-1
45'曼加拉两黄变一红罚下！                   45'巴萨第45分钟反超比分，曼加拉禁区内拉倒苏亚雷斯被红牌罚下，梅西主罚点球命中，2-1
45'梅西主罚点球！                   45'巴萨第45分钟反超比分，曼加拉禁区内拉倒苏亚雷斯被红牌罚下，梅西主罚点球命中，2-1
45'稳稳罚进！２－１！！                   45'巴萨第45分钟反超比分，曼加拉禁区内拉倒苏亚雷斯被红牌罚下，梅西主罚点球命中，2-1
45'上半场最后一分钟反超比分！                   45'巴萨第45分钟反超比分，曼加拉禁区内拉倒苏亚雷斯被红牌罚下，梅西主罚点球命中，2-1
46'奥雷压力那横敲禁区中路穆尼尔！                   45'巴萨第45分钟反超比分，曼加拉禁区内拉倒苏亚雷斯被红牌罚下，梅西主罚点球命中，2-1
47'穆尼尔一脚推射！！                   45'巴萨第45分钟反超比分，曼加拉禁区内拉倒苏亚雷斯被红牌罚下，梅西主罚点球命中，2-1
47'进了进了进了进了！！！                   45'巴萨第45分钟反超比分，曼加拉禁区内拉倒苏亚雷斯被红牌罚下，梅西主罚点球命中，2-1
47'直接扳平比分！强势啊！                   45'巴萨第45分钟反超比分，曼加拉禁区内拉倒苏亚雷斯被红牌罚下，梅西主罚点球命中，2-1
48'穆尼尔面对特尔施特根左脚推射破门！２－２平！                   45'巴萨第45分钟反超比分，曼加拉禁区内拉倒苏亚雷斯被红牌罚下，梅西主罚点球命中，2-1
48'裁判也吹了上半场比赛结束的哨音！                   45'巴萨第45分钟反超比分，曼加拉禁区内拉倒苏亚雷斯被红牌罚下，梅西主罚点球命中，2-1
48'让我们稍事歇息！一会来看下半场比赛！                   45'巴萨第45分钟反超比分，曼加拉禁区内拉倒苏亚雷斯被红牌罚下，梅西主罚点球命中，2-1
72'瓦伦西亚要换人！                   72'第72分钟，梅西禁区左侧劲射被扑出，苏亚雷斯小禁区前挡射空门偏出
72'扎扎上场换下穆尼尔！                   72'第72分钟，梅西禁区左侧劲射被扑出，苏亚雷斯小禁区前挡射空门偏出
76'大禁区前沿！右脚起脚抽射！内马尔打飞机啊！                   76'第76分钟，内马尔左路25码处任意球直接射门打中近角立柱外侧弹出
77'抱歉啊！今天这个网络。。。给跪！                   76'第76分钟，内马尔左路25码处任意球直接射门打中近角立柱外侧弹出
77'比赛继续！                   76'第76分钟，内马尔左路25码处任意球直接射门打中近角立柱外侧弹出
77'瓦伦西亚左路边线球！                   76'第76分钟，内马尔左路25码处任意球直接射门打中近角立柱外侧弹出
77'戈麦斯前场反抢得手！回传身后中路伊涅斯塔！                   76'第76分钟，内马尔左路25码处任意球直接射门打中近角立柱外侧弹出
77'横敲左路乌姆蒂蒂！                   76'第76分钟，内马尔左路25码处任意球直接射门打中近角立柱外侧弹出
78'往前给！大禁区前沿左侧伊涅斯塔拿到！被放倒了！                   76'第76分钟，内马尔左路25码处任意球直接射门打中近角立柱外侧弹出
78'巴萨获得大禁区前沿左侧的定位球机会！                   76'第76分钟，内马尔左路25码处任意球直接射门打中近角立柱外侧弹出
78'内马尔和梅西看看谁来！                   76'第76分钟，内马尔左路25码处任意球直接射门打中近角立柱外侧弹出
79'内马尔右脚兜出一条弧线！左上角！！啊！横梁弹出啊！                   76'第76分钟，内马尔左路25码处任意球直接射门打中近角立柱外侧弹出
89'中场布斯克茨分右路戈麦斯！                   89'巴萨第89分钟锁定胜局，内马尔突入禁区左侧传中，前瓦伦西亚中场戈麦斯捅射攻破旧主大门，4-2
89'再回敲身后因涅斯塔！分左边内马尔！                   89'巴萨第89分钟锁定胜局，内马尔突入禁区左侧传中，前瓦伦西亚中场戈麦斯捅射攻破旧主大门，4-2
89'直接被蒙托亚反抢！                   89'巴萨第89分钟锁定胜局，内马尔突入禁区左侧传中，前瓦伦西亚中场戈麦斯捅射攻破旧主大门，4-2
90'加雷后场大脚直接提出边线了！                   89'巴萨第89分钟锁定胜局，内马尔突入禁区左侧传中，前瓦伦西亚中场戈麦斯捅射攻破旧主大门，4-2
90'中路梅西横敲左边苏亚雷斯！被放倒了！裁判没表示！                   89'巴萨第89分钟锁定胜局，内马尔突入禁区左侧传中，前瓦伦西亚中场戈麦斯捅射攻破旧主大门，4-2
91'中圈帕霍霍斜传右路巴卡利！传中！                   89'巴萨第89分钟锁定胜局，内马尔突入禁区左侧传中，前瓦伦西亚中场戈麦斯捅射攻破旧主大门，4-2
91'禁区内皮克头球解围！                   89'巴萨第89分钟锁定胜局，内马尔突入禁区左侧传中，前瓦伦西亚中场戈麦斯捅射攻破旧主大门，4-2
91'反击！内马尔往前趟！突入禁区！                   89'巴萨第89分钟锁定胜局，内马尔突入禁区左侧传中，前瓦伦西亚中场戈麦斯捅射攻破旧主大门，4-2
91'禁区左侧低平球横敲！                   89'巴萨第89分钟锁定胜局，内马尔突入禁区左侧传中，前瓦伦西亚中场戈麦斯捅射攻破旧主大门，4-2
92'戈麦斯跟上垫射！破门！４－２！                   89'巴萨第89分钟锁定胜局，内马尔突入禁区左侧传中，前瓦伦西亚中场戈麦斯捅射攻破旧主大门，4-2
