1'上半场比赛开始！！                   1'第1分钟，阿尔维斯禁区右侧传中，伊瓜因在门前7米处凌空勾射高出
1'首先开球的是萨格勒布                   1'第1分钟，阿尔维斯禁区右侧传中，伊瓜因在门前7米处凌空勾射高出
1'尤文后场拿球往左路转移                   1'第1分钟，阿尔维斯禁区右侧传中，伊瓜因在门前7米处凌空勾射高出
2'底线的推进没有形成威胁                   1'第1分钟，阿尔维斯禁区右侧传中，伊瓜因在门前7米处凌空勾射高出
3'希图姆右路突破后急停                   1'第1分钟，阿尔维斯禁区右侧传中，伊瓜因在门前7米处凌空勾射高出
3'这也让埃弗拉有些难以招架                   1'第1分钟，阿尔维斯禁区右侧传中，伊瓜因在门前7米处凌空勾射高出
24'迪巴拉这边没有起脚的机会                   24'尤文第24分钟取得领先
24'0-1！！                   24'尤文第24分钟取得领先
24'皮亚尼奇！！                   24'尤文第24分钟取得领先
25'博努奇中场长传打到前场，萨格勒布迪纳摩的解围失误了，结果球到了禁区里，皮亚尼奇跟进抢在门将之前捅射破门！！                   24'尤文第24分钟取得领先
25'萨格勒布迪纳摩自己的失误啊                   24'尤文第24分钟取得领先
25'尤文的阵线压得很靠前                   24'尤文第24分钟取得领先
26'若纳斯出球的时候被碰了一下                   24'尤文第24分钟取得领先
26'苏达尼左路带球被侵犯                   24'尤文第24分钟取得领先
26'萨格勒布迪纳摩前场左路的任意球                   24'尤文第24分钟取得领先
26'任意球送禁区中路                   24'尤文第24分钟取得领先
27'横梁！！                   24'尤文第24分钟取得领先
27'萨格勒布迪纳摩的头球击中了横梁！！                   24'尤文第24分钟取得领先
27'尤文这边马上组织快速反击                   24'尤文第24分钟取得领先
27'左路的传球被挡                   24'尤文第24分钟取得领先
48'赫迪拉左路拿球没有传好                   47'仅过2分钟，迪纳摩首次射门就险些扳平
48'夸德拉多的位置还是在皮亚尼奇的位置上                   47'仅过2分钟，迪纳摩首次射门就险些扳平
48'萨格勒布迪纳摩这边也换人                   47'仅过2分钟，迪纳摩首次射门就险些扳平
49'若纳斯下，菲奥利奇上！                   47'仅过2分钟，迪纳摩首次射门就险些扳平
49'尤文前场拿球回敲                   47'仅过2分钟，迪纳摩首次射门就险些扳平
50'巴尔扎利拿球给到右路                   47'仅过2分钟，迪纳摩首次射门就险些扳平
50'博努奇拿球送直塞没有过去                   47'仅过2分钟，迪纳摩首次射门就险些扳平
31'0-2！！！                   31'尤文第31分钟扩大比分，皮亚尼奇中场送出过顶球，伊瓜因反越位胸部停球，距门8米处左脚推进左下角，2比0
31'伊瓜因！！                   31'尤文第31分钟扩大比分，皮亚尼奇中场送出过顶球，伊瓜因反越位胸部停球，距门8米处左脚推进左下角，2比0
31'尤文前场挑传送几年前，伊瓜因胸部停球后推射破门！！                   31'尤文第31分钟扩大比分，皮亚尼奇中场送出过顶球，伊瓜因反越位胸部停球，距门8米处左脚推进左下角，2比0
31'这球伊瓜因这点漏了                   31'尤文第31分钟扩大比分，皮亚尼奇中场送出过顶球，伊瓜因反越位胸部停球，距门8米处左脚推进左下角，2比0
33'萨格勒布迪纳摩中场传球出来被挡                   31'尤文第31分钟扩大比分，皮亚尼奇中场送出过顶球，伊瓜因反越位胸部停球，距门8米处左脚推进左下角，2比0
34'尤文这边中场拦截犯规                   31'尤文第31分钟扩大比分，皮亚尼奇中场送出过顶球，伊瓜因反越位胸部停球，距门8米处左脚推进左下角，2比0
57'0-3！！！                   57'尤文第57分钟再下一城，阿尔维斯右路低传，迪巴拉在门前28米处左脚大力抽射入近角，3比0
57'迪巴拉！！                   57'尤文第57分钟再下一城，阿尔维斯右路低传，迪巴拉在门前28米处左脚大力抽射入近角，3比0
57'迪巴拉中前场接球后带了几步后直接远射，一脚世界波直窜球门近角，门将也是扑救不及！！                   57'尤文第57分钟再下一城，阿尔维斯右路低传，迪巴拉在门前28米处左脚大力抽射入近角，3比0
58'萨格勒布迪纳摩这边再做换人调整                   57'尤文第57分钟再下一城，阿尔维斯右路低传，迪巴拉在门前28米处左脚大力抽射入近角，3比0
59'儒尼奥尔-费尔南德斯下，霍季奇上！                   57'尤文第57分钟再下一城，阿尔维斯右路低传，迪巴拉在门前28米处左脚大力抽射入近角，3比0
59'这也是一次对位的换人                   57'尤文第57分钟再下一城，阿尔维斯右路低传，迪巴拉在门前28米处左脚大力抽射入近角，3比0
59'比赛的胜负悬念已经不大                   57'尤文第57分钟再下一城，阿尔维斯右路低传，迪巴拉在门前28米处左脚大力抽射入近角，3比0
85'阿尔维斯这边想尝试一下                   85'第85分钟，阿尔维斯在门前26米处主罚任意球打在席尔登菲尔德头上变线，门将申佩尔回身单手一托还是入网，4比0
85'距离球门26米                   85'第85分钟，阿尔维斯在门前26米处主罚任意球打在席尔登菲尔德头上变线，门将申佩尔回身单手一托还是入网，4比0
85'0-4！！！                   85'第85分钟，阿尔维斯在门前26米处主罚任意球打在席尔登菲尔德头上变线，门将申佩尔回身单手一托还是入网，4比0
85'阿尔维斯！！                   85'第85分钟，阿尔维斯在门前26米处主罚任意球打在席尔登菲尔德头上变线，门将申佩尔回身单手一托还是入网，4比0
86'阿尔维斯任意球直接打门，球打在人墙上后有一个变线，门将这边很快做出反应后托了一下，但还是进了球门！！                   85'第85分钟，阿尔维斯在门前26米处主罚任意球打在席尔登菲尔德头上变线，门将申佩尔回身单手一托还是入网，4比0
86'这球是打在席尔登菲尔德肩膀上                   85'第85分钟，阿尔维斯在门前26米处主罚任意球打在席尔登菲尔德头上变线，门将申佩尔回身单手一托还是入网，4比0
87'萨格勒布迪纳摩右路进攻上来                   85'第85分钟，阿尔维斯在门前26米处主罚任意球打在席尔登菲尔德头上变线，门将申佩尔回身单手一托还是入网，4比0
88'霍季奇低射将球打偏                   85'第85分钟，阿尔维斯在门前26米处主罚任意球打在席尔登菲尔德头上变线，门将申佩尔回身单手一托还是入网，4比0
88'尤文前场横敲没有过去                   85'第85分钟，阿尔维斯在门前26米处主罚任意球打在席尔登菲尔德头上变线，门将申佩尔回身单手一托还是入网，4比0
88'前场又是险些将球反抢                   85'第85分钟，阿尔维斯在门前26米处主罚任意球打在席尔登菲尔德头上变线，门将申佩尔回身单手一托还是入网，4比0
