1'巴塞罗那球员马蒂厄拼抢犯规,对手获得控球权.                   1'巴萨第1分钟就控制比赛向主队施压，马拉加收缩防线应对
1'卷皮为马拉加在对方半场,赢得一个任意球.                   1'巴萨第1分钟就控制比赛向主队施压，马拉加收缩防线应对
3'弗纳尔斯为马拉加赢得一个任意球.                   1'巴萨第1分钟就控制比赛向主队施压，马拉加收缩防线应对
3'巴塞罗那球员布斯克茨拼抢犯规,对手获得控球权.                   1'巴萨第1分钟就控制比赛向主队施压，马拉加收缩防线应对
32'进球啦！！！马拉加球员拉米雷斯大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是Juankar. 马拉加 1-0 巴塞罗那.                   30'巴萨第30分钟错过机会，梅西直传，戈麦斯错过单刀机会，罗萨莱斯小禁区前及时卡位化解险情
33'巴塞罗那球员乌木提提被主裁判出示了一张黄牌.                   30'巴萨第30分钟错过机会，梅西直传，戈麦斯错过单刀机会，罗萨莱斯小禁区前及时卡位化解险情
57'射门!!!马拉加球员卷皮大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是拉米雷斯.                   57'马拉加第57分钟险些扩大比分，伊涅斯塔中场丢球，桑德罗反击中突破斜传，胡安皮12码处推射正入特尔施特根下怀
57'巴塞罗那球员梅西一脚直塞球给苏亚雷斯,但是边裁举旗显示后者已经越位.                   57'马拉加第57分钟险些扩大比分，伊涅斯塔中场丢球，桑德罗反击中突破斜传，胡安皮12码处推射正入特尔施特根下怀
59'I-卡马乔为马拉加赢得一个任意球.                   57'马拉加第57分钟险些扩大比分，伊涅斯塔中场丢球，桑德罗反击中突破斜传，胡安皮12码处推射正入特尔施特根下怀
59'巴塞罗那球员布斯克茨拼抢犯规,对手获得控球权.                   57'马拉加第57分钟险些扩大比分，伊涅斯塔中场丢球，桑德罗反击中突破斜传，胡安皮12码处推射正入特尔施特根下怀
60'马拉加球员I-卡马乔拼抢犯规,对手获得控球权.                   57'马拉加第57分钟险些扩大比分，伊涅斯塔中场丢球，桑德罗反击中突破斜传，胡安皮12码处推射正入特尔施特根下怀
60'塞尔吉-罗伯托为巴塞罗那在右路,赢得一个任意球.                   57'马拉加第57分钟险些扩大比分，伊涅斯塔中场丢球，桑德罗反击中突破斜传，胡安皮12码处推射正入特尔施特根下怀
64'巴塞罗那球员内马尔大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是苏亚雷斯.                   64'巴萨第64分钟再次错过机会，苏亚雷斯禁区右侧引出卡梅尼后传中，内马尔12码处头球攻门高出
