3'皮克后场拿球，面对科雷亚的逼抢                   3'3分钟后，阿尔巴传球，伊涅斯塔禁区左侧的射门正入奥布拉克下怀
3'皮克不敢怠慢，回传门将特尔施特根                   3'3分钟后，阿尔巴传球，伊涅斯塔禁区左侧的射门正入奥布拉克下怀
5'巴萨前场进攻，伊涅斯塔左路拿球                   3'3分钟后，阿尔巴传球，伊涅斯塔禁区左侧的射门正入奥布拉克下怀
5'内切到中间，禁区弧左侧起脚远射，打偏！1                   3'3分钟后，阿尔巴传球，伊涅斯塔禁区左侧的射门正入奥布拉克下怀
6'费利佩左路直塞找队友，球被巴萨球员破坏出边线                   3'3分钟后，阿尔巴传球，伊涅斯塔禁区左侧的射门正入奥布拉克下怀
6'科雷亚接到费利佩界外球                   3'3分钟后，阿尔巴传球，伊涅斯塔禁区左侧的射门正入奥布拉克下怀
46'伊涅斯塔左侧强突往禁区冲，失误了                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
46'马竞的反击，格里兹曼拿球                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
46'横切摆脱，被拉基蒂奇绊倒在地                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
46'下半场比赛开始！！                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
46'马竞开球，从画面的左侧向右进攻！！                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
46'格里兹曼前场拿球，强突被放倒在地                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
46'马竞获得前场左路的任意球机会！！                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
46'卡拉斯科任意球斜传禁区，乌姆蒂蒂头球解围出底线                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
47'马竞获得左侧角球机会！1                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
47'战术角球开出，卡拉斯科拿球内切                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
47'进了禁区，直接起脚打门，被特尔施特根收入怀中                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
48'伊涅斯塔前场中路拿球，分球左侧给阿尔巴                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
48'阿尔巴的传中球，打在胡安弗兰身上弹出了边线                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
49'梅西中场拿球，分球给拉基蒂奇                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
49'拉基蒂奇带了两步，再给右路上来的塞梅多                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
49'塞梅多横传梅西，梅西强突，摔倒在地                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
49'裁判没理会，球被破坏                   46'1分钟后，加比头球摆渡，格列兹曼穿裆突破皮克后12码处低射被特尔施特根再次救出
40'拉基蒂奇后场拿球，加比上抢，犯规！1                   40'第40分钟，伊涅斯塔传球，苏亚雷斯小禁区左上角外的转身射门被萨维奇做出关键封堵
40'加比有黄牌在身，需要小心哦                   40'第40分钟，伊涅斯塔传球，苏亚雷斯小禁区左上角外的转身射门被萨维奇做出关键封堵
41'伊涅斯塔前场中路拿球，直塞球到禁区，打身后                   40'第40分钟，伊涅斯塔传球，苏亚雷斯小禁区左上角外的转身射门被萨维奇做出关键封堵
41'戈麦斯反越位前插接应                   40'第40分钟，伊涅斯塔传球，苏亚雷斯小禁区左上角外的转身射门被萨维奇做出关键封堵
41'奥布拉克出击，抢在戈麦斯之前，将球稳稳拿到                   40'第40分钟，伊涅斯塔传球，苏亚雷斯小禁区左上角外的转身射门被萨维奇做出关键封堵
42'拉基蒂奇大禁区右上角拿球                   40'第40分钟，伊涅斯塔传球，苏亚雷斯小禁区左上角外的转身射门被萨维奇做出关键封堵
