3'长传球被人拦截                   3'开场仅3分钟，布雷迪右路任意球传中，本-米远点头球攻门被库尔图瓦没收
4'伯恩利的传球到了禁区，球被库尔图瓦抱住                   3'开场仅3分钟，布雷迪右路任意球传中，本-米远点头球攻门被库尔图瓦没收
5'威廉的传球又被断了                   3'开场仅3分钟，布雷迪右路任意球传中，本-米远点头球攻门被库尔图瓦没收
5'不过卡希尔将球反断回来                   3'开场仅3分钟，布雷迪右路任意球传中，本-米远点头球攻门被库尔图瓦没收
6'路易斯大脚向前传球，被伯恩利拦截了                   3'开场仅3分钟，布雷迪右路任意球传中，本-米远点头球攻门被库尔图瓦没收
6'不过伯恩利这边的传球也出了边线                   3'开场仅3分钟，布雷迪右路任意球传中，本-米远点头球攻门被库尔图瓦没收
14'中场伯恩利将球断下来了                   14'切尔西第14分钟遭遇打击，卡希尔盘带丢球后飞铲德弗尔被红牌直接罚下
14'伯恩利这边反击，卡希尔直接铲倒了对手                   14'切尔西第14分钟遭遇打击，卡希尔盘带丢球后飞铲德弗尔被红牌直接罚下
14'裁判直接出示了红牌！！！！！！！！！！！！！                   14'切尔西第14分钟遭遇打击，卡希尔盘带丢球后飞铲德弗尔被红牌直接罚下
14'卡希尔被罚下了呀                   14'切尔西第14分钟遭遇打击，卡希尔盘带丢球后飞铲德弗尔被红牌直接罚下
16'这样切尔西场上将少打一人呀                   14'切尔西第14分钟遭遇打击，卡希尔盘带丢球后飞铲德弗尔被红牌直接罚下
16'OK，我们继续看比赛把                   14'切尔西第14分钟遭遇打击，卡希尔盘带丢球后飞铲德弗尔被红牌直接罚下
16'伯恩利任意球直接开到禁区，球被解围出来                   14'切尔西第14分钟遭遇打击，卡希尔盘带丢球后飞铲德弗尔被红牌直接罚下
17'中圈附近争抢球，裁判哨响                   14'切尔西第14分钟遭遇打击，卡希尔盘带丢球后飞铲德弗尔被红牌直接罚下
17'吹了法布雷加斯的犯规                   14'切尔西第14分钟遭遇打击，卡希尔盘带丢球后飞铲德弗尔被红牌直接罚下
17'小法还吃到了黄牌呀。。。。。。                   14'切尔西第14分钟遭遇打击，卡希尔盘带丢球后飞铲德弗尔被红牌直接罚下
19'切尔西做出了换人调整，克里斯滕森换下了博加                   19'第19分钟，沃克斯头球破门，但头球摆渡的塔尔科夫斯基犯规在先，进球无效
19'伯恩利获得了角球机会                   19'第19分钟，沃克斯头球破门，但头球摆渡的塔尔科夫斯基犯规在先，进球无效
19'角球开出来，前点，球被解围出来                   19'第19分钟，沃克斯头球破门，但头球摆渡的塔尔科夫斯基犯规在先，进球无效
20'外围争抢球                   19'第19分钟，沃克斯头球破门，但头球摆渡的塔尔科夫斯基犯规在先，进球无效
20'伯恩利将球控制下来                   19'第19分钟，沃克斯头球破门，但头球摆渡的塔尔科夫斯基犯规在先，进球无效
22'布拉迪送出直塞球，直接被库尔图瓦将球没收                   19'第19分钟，沃克斯头球破门，但头球摆渡的塔尔科夫斯基犯规在先，进球无效
47'小法中场控制球                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
47'往前传球                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
47'禁区前沿，巴舒亚伊被犯规了                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
47'切尔西获得前场任意球机会                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
48'路易斯打门打高了呀                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
48'门将大脚将球开出来                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
49'中场争抢                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
49'裁判哨响，吹了上半场比赛结束的哨音                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
49'伯恩利上半场竟然3比0领先卫冕冠军切尔西，让人有点难以置信呀                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
47'巴舒亚伊传球威廉，球被挡出来                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
48'阿兹皮利奎塔边路拿球，遭遇逼抢，传球外围小法                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
48'禁区前沿吕迪格拿球，直接来一脚，打偏了                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
49'沃德前场的传球被拦截了                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
50'小法快速带球过来，给插上的阿隆索，直接选择了打门                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
50'球被门将扑出了底线                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
50'切尔西角球机会                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
50'角球开出来，前点，球被解围出来了                   47'伯恩利连入2球扩大比分，第39分钟，杰克-科克直传，沃德胸部停球摆脱坎特防守后禁区左侧小角度抽射入网，2-0
59'莫拉塔上场了！！！！！！！！！！                   59'第59分钟，莫拉塔替换巴舒亚伊出场
59'换下了巴舒亚伊                   59'第59分钟，莫拉塔替换巴舒亚伊出场
59'OK，继续看比赛把                   59'第59分钟，莫拉塔替换巴舒亚伊出场
60'阿隆索中场拿球，传球给到莫拉塔，转身直接打门了                   59'第59分钟，莫拉塔替换巴舒亚伊出场
60'打高了                   59'第59分钟，莫拉塔替换巴舒亚伊出场
61'中圈附近，威廉将球控制下来了                   59'第59分钟，莫拉塔替换巴舒亚伊出场
61'准备带球反击，被犯规了                   59'第59分钟，莫拉塔替换巴舒亚伊出场
61'布拉迪的犯规，还吃到了黄牌                   59'第59分钟，莫拉塔替换巴舒亚伊出场
61'切尔西定位球机会                   59'第59分钟，莫拉塔替换巴舒亚伊出场
62'阿隆索直接传球禁区，球被门将扑出了底线                   59'第59分钟，莫拉塔替换巴舒亚伊出场
62'切尔西获得了角球机会                   59'第59分钟，莫拉塔替换巴舒亚伊出场
62'角球开出来，球被解围出来了                   59'第59分钟，莫拉塔替换巴舒亚伊出场
69'角球开出来，前点，坎特插上来一脚打门                   69'切尔西第69分钟扳回一城，威廉右路传中，无人防守的莫拉塔小禁区边缘俯身冲顶入网，1-3
69'球被挡出来了                   69'切尔西第69分钟扳回一城，威廉右路传中，无人防守的莫拉塔小禁区边缘俯身冲顶入网，1-3
69'切尔西进球了，莫拉塔，切尔西的首球！！！！！！！！！                   69'切尔西第69分钟扳回一城，威廉右路传中，无人防守的莫拉塔小禁区边缘俯身冲顶入网，1-3
69'外围坎特拿球，给边路的威廉，传球禁区，莫拉塔插上头球攻门，将球打进                   69'切尔西第69分钟扳回一城，威廉右路传中，无人防守的莫拉塔小禁区边缘俯身冲顶入网，1-3
70'切尔西扳回一球                   69'切尔西第69分钟扳回一城，威廉右路传中，无人防守的莫拉塔小禁区边缘俯身冲顶入网，1-3
70'莫拉塔可以的，替补上来扳回一球                   69'切尔西第69分钟扳回一城，威廉右路传中，无人防守的莫拉塔小禁区边缘俯身冲顶入网，1-3
71'OK，继续看比赛把                   69'切尔西第69分钟扳回一城，威廉右路传中，无人防守的莫拉塔小禁区边缘俯身冲顶入网，1-3
71'伯恩利进攻                   69'切尔西第69分钟扳回一城，威廉右路传中，无人防守的莫拉塔小禁区边缘俯身冲顶入网，1-3
72'长传球被拦截了                   69'切尔西第69分钟扳回一城，威廉右路传中，无人防守的莫拉塔小禁区边缘俯身冲顶入网，1-3
72'威廉前场拿球，给到插上的威廉，传中，球被门将没收了                   69'切尔西第69分钟扳回一城，威廉右路传中，无人防守的莫拉塔小禁区边缘俯身冲顶入网，1-3
81'网络卡了一下不好意思                   81'第81分钟，小法飞铲杰克-科克累计两张黄牌也被罚下
82'切尔西这边有人吃到红牌了！！！！！！！！！！！！！                   81'第81分钟，小法飞铲杰克-科克累计两张黄牌也被罚下
82'9打11呀                   81'第81分钟，小法飞铲杰克-科克累计两张黄牌也被罚下
82'是小法                   81'第81分钟，小法飞铲杰克-科克累计两张黄牌也被罚下
82'吃到了黄牌，上半场小法已经身背一张黄牌了                   81'第81分钟，小法飞铲杰克-科克累计两张黄牌也被罚下
82'两黄变一红下场了                   81'第81分钟，小法飞铲杰克-科克累计两张黄牌也被罚下
82'9打11，比分还是落后，对于切尔西来说很难呀                   81'第81分钟，小法飞铲杰克-科克累计两张黄牌也被罚下
