5'亚泰横传门前，杜震宇抢点，被张思鹏先得到                   5'开场第5分钟，亚泰队边路横传门前，杜震宇抢点稍大，张思鹏果断出击将球得到
6'舜天后场拿球倒脚                   5'开场第5分钟，亚泰队边路横传门前，杜震宇抢点稍大，张思鹏果断出击将球得到
7'舜天左路突破，强行传中没传起来                   5'开场第5分钟，亚泰队边路横传门前，杜震宇抢点稍大，张思鹏果断出击将球得到
7'亚泰右路进攻，传后点，没传进去                   5'开场第5分钟，亚泰队边路横传门前，杜震宇抢点稍大，张思鹏果断出击将球得到
8'舜天中场传球被亚泰断下                   5'开场第5分钟，亚泰队边路横传门前，杜震宇抢点稍大，张思鹏果断出击将球得到
13'舜天前场拿球被断下了                   13'两队相继利用角球机会制造威胁，第13分钟，舜天队的右路角球，直接旋向球门，准备出击的宋振瑜迅速回退将球打出横梁
13'萨米尔反抢成功，给到中路，队友的射门被挡出底线                   13'两队相继利用角球机会制造威胁，第13分钟，舜天队的右路角球，直接旋向球门，准备出击的宋振瑜迅速回退将球打出横梁
14'舜天角球机会，角球到门前，宋振瑜将球脱出横梁                   13'两队相继利用角球机会制造威胁，第13分钟，舜天队的右路角球，直接旋向球门，准备出击的宋振瑜迅速回退将球打出横梁
14'继续角球                   13'两队相继利用角球机会制造威胁，第13分钟，舜天队的右路角球，直接旋向球门，准备出击的宋振瑜迅速回退将球打出横梁
14'这回是左路角球，靠近球门，被亚泰大脚踢出                   13'两队相继利用角球机会制造威胁，第13分钟，舜天队的右路角球，直接旋向球门，准备出击的宋振瑜迅速回退将球打出横梁
15'亚泰反击，伊斯梅洛夫反击被破坏了                   13'两队相继利用角球机会制造威胁，第13分钟，舜天队的右路角球，直接旋向球门，准备出击的宋振瑜迅速回退将球打出横梁
16'亚泰右路进攻，被破坏出边线                   13'两队相继利用角球机会制造威胁，第13分钟，舜天队的右路角球，直接旋向球门，准备出击的宋振瑜迅速回退将球打出横梁
16'亚泰右路角球机会                   13'两队相继利用角球机会制造威胁，第13分钟，舜天队的右路角球，直接旋向球门，准备出击的宋振瑜迅速回退将球打出横梁
26'萨米尔现在很威武，亚泰两个后腰控制不住他                   26'萨米尔的表现依旧抢眼，第26分钟，萨米尔在前场用身体倚住胡斯蒂，迅速转身摆脱，随后在大禁区外大力施射，宋振瑜站位不错将球扑住
28'孙可拿球失误，亚泰中场长传，马祖左脚射门稍稍偏出                   26'萨米尔的表现依旧抢眼，第26分钟，萨米尔在前场用身体倚住胡斯蒂，迅速转身摆脱，随后在大禁区外大力施射，宋振瑜站位不错将球扑住
29'孙可拿球被破坏出边线                   26'萨米尔的表现依旧抢眼，第26分钟，萨米尔在前场用身体倚住胡斯蒂，迅速转身摆脱，随后在大禁区外大力施射，宋振瑜站位不错将球扑住
32'亚泰禁区内小范围配合，马祖的头球造成张思鹏脱手，但很快重新拿到                   32'第32分钟，亚泰禁区内小范围配合，马祖的头球攻门造成张思鹏脱手，但很快迅速拿下第二点
32'这段阶段，江苏的防守有点被动                   32'第32分钟，亚泰禁区内小范围配合，马祖的头球攻门造成张思鹏脱手，但很快迅速拿下第二点
32'进攻很难组织起来                   32'第32分钟，亚泰禁区内小范围配合，马祖的头球攻门造成张思鹏脱手，但很快迅速拿下第二点
33'宋振瑜扑球失误，萨米尔一趟，宋振瑜及时扑住                   32'第32分钟，亚泰禁区内小范围配合，马祖的头球攻门造成张思鹏脱手，但很快迅速拿下第二点
34'亚泰左路进攻，奥特森回退解围                   32'第32分钟，亚泰禁区内小范围配合，马祖的头球攻门造成张思鹏脱手，但很快迅速拿下第二点
34'亚泰左路一脚大范围转移，越位了                   32'第32分钟，亚泰禁区内小范围配合，马祖的头球攻门造成张思鹏脱手，但很快迅速拿下第二点
35'今天孙可也不兴奋阿                   32'第32分钟，亚泰禁区内小范围配合，马祖的头球攻门造成张思鹏脱手，但很快迅速拿下第二点
40'舜天右路起球，防守球员手球了，舜天右路获得任意球机会                   40'上半场尾声阶段掀起波澜――第40分钟亚泰队员禁区前沿手球犯规，李昂操刀主罚任意球，左脚弧线球绕过人墙，直挂球门死角，1-0
40'李昂和萨米尔站在了球前                   40'上半场尾声阶段掀起波澜――第40分钟亚泰队员禁区前沿手球犯规，李昂操刀主罚任意球，左脚弧线球绕过人墙，直挂球门死角，1-0
40'亚泰人墙185以上啊                   40'上半场尾声阶段掀起波澜――第40分钟亚泰队员禁区前沿手球犯规，李昂操刀主罚任意球，左脚弧线球绕过人墙，直挂球门死角，1-0
41'李昂的直接任意球射门直入网窝                   40'上半场尾声阶段掀起波澜――第40分钟亚泰队员禁区前沿手球犯规，李昂操刀主罚任意球，左脚弧线球绕过人墙，直挂球门死角，1-0
42'这个球角度太刁了，宋振瑜无计可施                   40'上半场尾声阶段掀起波澜――第40分钟亚泰队员禁区前沿手球犯规，李昂操刀主罚任意球，左脚弧线球绕过人墙，直挂球门死角，1-0
42'李昂曾经在渤海大学打过大学生联赛的                   40'上半场尾声阶段掀起波澜――第40分钟亚泰队员禁区前沿手球犯规，李昂操刀主罚任意球，左脚弧线球绕过人墙，直挂球门死角，1-0
43'杜震宇传球，马祖头球稍稍高出，被张思鹏扑了一下                   40'上半场尾声阶段掀起波澜――第40分钟亚泰队员禁区前沿手球犯规，李昂操刀主罚任意球，左脚弧线球绕过人墙，直挂球门死角，1-0
43'亚泰扳平了                   40'上半场尾声阶段掀起波澜――第40分钟亚泰队员禁区前沿手球犯规，李昂操刀主罚任意球，左脚弧线球绕过人墙，直挂球门死角，1-0
