12'十分钟多一点，哥德斯拿球不多！                   12'第12分钟，范云龙任意球传中，郑凯木头球破门
12'任意球发出来！依力哈木江突破！对方两人关门，宋龙犯规                   12'第12分钟，范云龙任意球传中，郑凯木头球破门
12'这的位置非常危险                   12'第12分钟，范云龙任意球传中，郑凯木头球破门
13'贵州恒队进球啦！郑凯木！1-0                   12'第12分钟，范云龙任意球传中，郑凯木头球破门
14'范云龙发任意球到禁区内！郑凯木抢点头球顶门！皮球应声入网！！！                   12'第12分钟，范云龙任意球传中，郑凯木头球破门
14'鲁能泰山队左路组织进攻！                   12'第12分钟，范云龙任意球传中，郑凯木头球破门
14'交给哥德斯！回传佩莱！                   12'第12分钟，范云龙任意球传中，郑凯木头球破门
15'后场贵州恒队断球，右路传球，耶拉维奇回传                   12'第12分钟，范云龙任意球传中，郑凯木头球破门
15'鲁能泰山队加强了进攻！                   12'第12分钟，范云龙任意球传中，郑凯木头球破门
15'佩莱右路接球！一脚远射，打偏啦！                   12'第12分钟，范云龙任意球传中，郑凯木头球破门
49'上半场比赛结束，贵州恒队2-0领先鲁能泰山队！                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
49'界外球发出来，对方争顶，出边线                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
49'吴兴涵右路带球进攻！赵和靖上抢犯规！放倒了吴兴涵！                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
49'任意球机会                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
49'球发出来，挑传禁区！王大雷出击没收！                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
50'贵州恒队进球啦！！斯蒂夫，3-0                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
50'贵州恒队长传禁区！斯蒂夫停球，转身小角度打门，皮球应声入网！                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
51'没有人抗议！！进球有效啦！                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
51'其实耶拉维奇手球啦！                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
51'蒿俊闵得球，直传球！转移到右路进攻！                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
52'鲁能泰山队右路直传球，打在对方身上出边线                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
52'鲁能泰山队换人：崔鹏上场，换下吴兴涵！                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
52'鲁能泰山队右路进攻，逼得任意球                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
52'任意球发到禁区内，耶拉维奇顶出来！                   49'第49分钟，耶拉维奇弧线球传中，斯蒂夫得球晃开空当射门得分
52'鲁能泰山队右路直传球，打在对方身上出边线                   52'第7分钟，贵州恒丰前场组织进攻，范云龙长传进攻，依力哈木江凌空垫传球，后点包抄的耶拉维奇射门击中边网
52'鲁能泰山队换人：崔鹏上场，换下吴兴涵！                   52'第7分钟，贵州恒丰前场组织进攻，范云龙长传进攻，依力哈木江凌空垫传球，后点包抄的耶拉维奇射门击中边网
52'鲁能泰山队右路进攻，逼得任意球                   52'第7分钟，贵州恒丰前场组织进攻，范云龙长传进攻，依力哈木江凌空垫传球，后点包抄的耶拉维奇射门击中边网
52'任意球发到禁区内，耶拉维奇顶出来！                   52'第7分钟，贵州恒丰前场组织进攻，范云龙长传进攻，依力哈木江凌空垫传球，后点包抄的耶拉维奇射门击中边网
