41'射门!!!Atletico Madrid球员托雷斯,被对方守门员横身扑出.                   41'第41分钟，科凯右路传中，托雷斯远点小禁区边缘铲射被门将封出
41'将球处理出底线,获得角球.                   41'第41分钟，科凯右路传中，托雷斯远点小禁区边缘铲射被门将封出
41'Atletico Madrid球员托雷斯被主裁判出示了一张黄牌.                   41'第41分钟，科凯右路传中，托雷斯远点小禁区边缘铲射被门将封出
42'                   41'第41分钟，科凯右路传中，托雷斯远点小禁区边缘铲射被门将封出
70'将球处理出底线,获得角球.                   70'第70分钟，图兰传中，蒂亚戈捅射破门又因越位在先被判无效，回放显示这次好球被误判
70'                   70'第70分钟，图兰传中，蒂亚戈捅射破门又因越位在先被判无效，回放显示这次好球被误判
71'格里兹曼为Atletico Madrid赢得一个任意球.                   70'第70分钟，图兰传中，蒂亚戈捅射破门又因越位在先被判无效，回放显示这次好球被误判
71'毕尔巴鄂竞技球员拼抢犯规,对手获得控球权.                   70'第70分钟，图兰传中，蒂亚戈捅射破门又因越位在先被判无效，回放显示这次好球被误判
71'毕尔巴鄂竞技球员圣何塞被主裁判出示了一张黄牌.                   70'第70分钟，图兰传中，蒂亚戈捅射破门又因越位在先被判无效，回放显示这次好球被误判
73'射门!!!Atletico Madrid球员格里兹曼,被对方守门员横身扑出.                   70'第70分钟，图兰传中，蒂亚戈捅射破门又因越位在先被判无效，回放显示这次好球被误判
73'将球处理出底线,获得角球.                   70'第70分钟，图兰传中，蒂亚戈捅射破门又因越位在先被判无效，回放显示这次好球被误判
