3'埃辛前场直传给到伊瓜因，伊瓜因不停球横拨给到迪马利亚                   3'第3分钟，科伦加直传禁区内，阿丹及时出击抢在加维兰之前没收
3'迪马利亚拿球，可惜趟的一步力量过大，被赫塔菲球员抢断                   3'第3分钟，科伦加直传禁区内，阿丹及时出击抢在加维兰之前没收
3'赫塔菲右路的进攻，直传球被科恩特朗挡出边线                   3'第3分钟，科伦加直传禁区内，阿丹及时出击抢在加维兰之前没收
4'赫塔菲界外球进场，卡斯特罗拿球转身传中，直接被科恩特朗伸腿拦截                   3'第3分钟，科伦加直传禁区内，阿丹及时出击抢在加维兰之前没收
4'科恩特朗后场长传球到前场被赫塔菲球员抢断                   3'第3分钟，科伦加直传禁区内，阿丹及时出击抢在加维兰之前没收
4'赫塔菲的反击，科伦加禁区外斜传找插上的博尔加                   3'第3分钟，科伦加直传禁区内，阿丹及时出击抢在加维兰之前没收
4'阿丹及时出击，在博尔加之前倒地将球没收                   3'第3分钟，科伦加直传禁区内，阿丹及时出击抢在加维兰之前没收
5'莫德里奇的中场直塞球找C罗，可惜后者被吹越位在先                   3'第3分钟，科伦加直传禁区内，阿丹及时出击抢在加维兰之前没收
5'托雷斯左路的进攻，埃辛上抢，迫使对手将球传出边线                   3'第3分钟，科伦加直传禁区内，阿丹及时出击抢在加维兰之前没收
6'开场这段时间来看，皇马完全占据了主动                   3'第3分钟，科伦加直传禁区内，阿丹及时出击抢在加维兰之前没收
6'厄齐尔中圈内拿球，萨拉比亚上抢，直接踢倒了厄齐尔，犯规                   3'第3分钟，科伦加直传禁区内，阿丹及时出击抢在加维兰之前没收
13'皇马球员拿到第二落点，厄齐尔右路传中                   13'第13分钟，厄齐尔传球，迪马利亚25码处劲射打中阿莱克西斯偏转，皮球擦左侧立柱偏出
13'伊瓜因包抄倒地铲射，球被赫塔菲后卫挡出                   13'第13分钟，厄齐尔传球，迪马利亚25码处劲射打中阿莱克西斯偏转，皮球擦左侧立柱偏出
13'皇马继续进攻，迪马利亚的远射打在后卫身上，擦着立柱出底线                   13'第13分钟，厄齐尔传球，迪马利亚25码处劲射打中阿莱克西斯偏转，皮球擦左侧立柱偏出
14'皇马获得左侧角球机会，开到禁区，被莫亚直接没收                   13'第13分钟，厄齐尔传球，迪马利亚25码处劲射打中阿莱克西斯偏转，皮球擦左侧立柱偏出
