2'射门!!!西布罗姆维奇球员卢卡库大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是J-莫里森.
2'理查兹为曼城赢得一个任意球.
2'西布罗姆维奇球员罗森贝里拼抢犯规,对手获得控球权.
3'科拉罗夫将球处理出底线,西布罗姆维奇获得角球.
4'西布罗姆维奇球员卢卡库大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是雅各布.
5'曼城球员哈维-加西亚拼抢犯规,对手获得控球权.
5'卢卡库为西布罗姆维奇在对方半场,赢得一个任意球.
6'射门!!!西布罗姆维奇球员卢卡库大禁区中央头球,被对方守门员横身扑出.给他传球的是塔马斯.
9'曼城球员特维斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是纳斯里.
10'里奇维尔为西布罗姆维奇在左路,赢得一个任意球.
10'曼城球员米尔纳拼抢犯规,对手获得控球权.
11'西布罗姆维奇球员罗森贝里大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是卢卡库.
12'西布罗姆维奇球员卢卡库拼抢犯规,对手获得控球权.
12'科拉罗夫为曼城在对方半场,赢得一个任意球.
12'西布罗姆维奇球员里奇维尔手球犯规,对手获得球权.
14'里奇维尔为西布罗姆维奇赢得一个任意球.
14'曼城球员米尔纳拼抢犯规,对手获得控球权.
19'曼城球员特维斯大禁区外左脚射门,被防守球员封堵.给他传球的是理查兹.
19'雅各布将球处理出底线,曼城获得角球.
20'西布罗姆维奇球员里奇维尔拼抢犯规,对手获得控球权.
20'米尔纳为曼城在右路,赢得一个任意球.
21'曼城球员罗德维尔球门线跟前尝试右脚射门,可惜皮球高出球门.
22'J-莫里森为西布罗姆维奇在对方半场,赢得一个任意球.
22'曼城球员哈维-加西亚拼抢犯规,对手获得控球权.
23'塔马斯为西布罗姆维奇在对方半场,赢得一个任意球.
23'曼城球员科拉罗夫拼抢犯规,对手获得控球权.
23'西布罗姆维奇塔马斯受伤倒地,比赛暂停
25'暂停结束,球员们重新开始比赛.
