3'稳了一下回给阿利森                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
3'门球开出，大脚到前场                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
3'马希纳回给福斯特                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
3'要开大脚，米尔纳冲了上来                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
4'碰到了皮球，球高高弹起                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
4'福斯特赶紧双手抱住                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
4'再次大脚开出，范迪克顶给马蒂普                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
5'直塞米尔纳，分给维纳尔杜姆                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
5'没有机会回传                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
5'马蒂普给到阿诺德，长传身后                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
5'守门员出击抱住皮球                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
5'大脚开出皮球                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
6'范迪克分给罗伯逊，带球转移被抢断                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
6'威尔修斯组织进攻，分给迪尼                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
6'下底传中被范迪克头球破坏出边线                   3'开场仅3分钟，福斯特解围被米尔纳飞铲封堵，皮球偏转后弹起被没收
20'利物浦争下，给到萨拉赫                   20'利物浦第20分钟扩大比分，萨拉赫强突禁区右侧受阻，维纳尔杜姆回敲，阿诺德传中，反越位成功的马内停球欠佳，他回身后12码处脚后跟磕射破门，2-0
20'带球拼速度了                   20'利物浦第20分钟扩大比分，萨拉赫强突禁区右侧受阻，维纳尔杜姆回敲，阿诺德传中，反越位成功的马内停球欠佳，他回身后12码处脚后跟磕射破门，2-0
20'萨拉赫到禁区外围停住皮球                   20'利物浦第20分钟扩大比分，萨拉赫强突禁区右侧受阻，维纳尔杜姆回敲，阿诺德传中，反越位成功的马内停球欠佳，他回身后12码处脚后跟磕射破门，2-0
21'一脚传中被破坏出来，维纳尔杜姆点给阿诺德                   20'利物浦第20分钟扩大比分，萨拉赫强突禁区右侧受阻，维纳尔杜姆回敲，阿诺德传中，反越位成功的马内停球欠佳，他回身后12码处脚后跟磕射破门，2-0
21'再次传中，马内门前反越位成功                   20'利物浦第20分钟扩大比分，萨拉赫强突禁区右侧受阻，维纳尔杜姆回敲，阿诺德传中，反越位成功的马内停球欠佳，他回身后12码处脚后跟磕射破门，2-0
21'没人防守了，一个脚后跟                   20'利物浦第20分钟扩大比分，萨拉赫强突禁区右侧受阻，维纳尔杜姆回敲，阿诺德传中，反越位成功的马内停球欠佳，他回身后12码处脚后跟磕射破门，2-0
21'球又进了                   20'利物浦第20分钟扩大比分，萨拉赫强突禁区右侧受阻，维纳尔杜姆回敲，阿诺德传中，反越位成功的马内停球欠佳，他回身后12码处脚后跟磕射破门，2-0
22'这球，马内太聪明了                   20'利物浦第20分钟扩大比分，萨拉赫强突禁区右侧受阻，维纳尔杜姆回敲，阿诺德传中，反越位成功的马内停球欠佳，他回身后12码处脚后跟磕射破门，2-0
22'回看一下                   20'利物浦第20分钟扩大比分，萨拉赫强突禁区右侧受阻，维纳尔杜姆回敲，阿诺德传中，反越位成功的马内停球欠佳，他回身后12码处脚后跟磕射破门，2-0
50'奥里吉外围接球，到了边路，低平球传中                   50'5分钟后，萨拉赫外围射门被没收
50'插上的罗伯逊一脚打门，偏出门框                   50'5分钟后，萨拉赫外围射门被没收
50'门将开出皮球                   50'5分钟后，萨拉赫外围射门被没收
50'利物浦得球，给到奥里吉                   50'5分钟后，萨拉赫外围射门被没收
50'长传再次找到萨拉赫                   50'5分钟后，萨拉赫外围射门被没收
51'带球杀入禁区，一脚打门，被守门员挡出底线                   50'5分钟后，萨拉赫外围射门被没收
51'角球                   50'5分钟后，萨拉赫外围射门被没收
51'米尔纳角球开到前点，被解围出边线                   50'5分钟后，萨拉赫外围射门被没收
51'手抛球给到法比尼奥，直接打门，被福斯特抱住                   50'5分钟后，萨拉赫外围射门被没收
52'分给扬马特，出给杜库雷                   50'5分钟后，萨拉赫外围射门被没收
52'再给马里亚帕，转移到另一侧                   50'5分钟后，萨拉赫外围射门被没收
52'被断了，萨拉赫抢下皮球                   50'5分钟后，萨拉赫外围射门被没收
52'给到马内，再传被断了                   50'5分钟后，萨拉赫外围射门被没收
52'沃特福德反击                   50'5分钟后，萨拉赫外围射门被没收
53'德乌洛费乌一路狂带，自己拼速度，杀入禁区                   50'5分钟后，萨拉赫外围射门被没收
66'再传被卡斯卡特破坏出边线                   66'利物浦第66分钟锁定胜局，罗伯逊传球，奥里吉迂回禁区左侧15码处劲射近角入网，3-0
66'马内接球，给到米尔纳，。再给奥里吉                   66'利物浦第66分钟锁定胜局，罗伯逊传球，奥里吉迂回禁区左侧15码处劲射近角入网，3-0
66'带球到禁区，连续晃动                   66'利物浦第66分钟锁定胜局，罗伯逊传球，奥里吉迂回禁区左侧15码处劲射近角入网，3-0
66'一脚打门                   66'利物浦第66分钟锁定胜局，罗伯逊传球，奥里吉迂回禁区左侧15码处劲射近角入网，3-0
66'球进了                   66'利物浦第66分钟锁定胜局，罗伯逊传球，奥里吉迂回禁区左侧15码处劲射近角入网，3-0
68'这球奥里吉接球后，在左侧内切，慢慢到了禁区，闪出空间后直接破门得分，帮助利物浦主场取得3球领先！                   66'利物浦第66分钟锁定胜局，罗伯逊传球，奥里吉迂回禁区左侧15码处劲射近角入网，3-0
68'回到比赛                   66'利物浦第66分钟锁定胜局，罗伯逊传球，奥里吉迂回禁区左侧15码处劲射近角入网，3-0
69'这时是沃特福德在前场禁区右侧的定位球                   66'利物浦第66分钟锁定胜局，罗伯逊传球，奥里吉迂回禁区左侧15码处劲射近角入网，3-0
69'马希纳开到禁区，门前被解围出来                   66'利物浦第66分钟锁定胜局，罗伯逊传球，奥里吉迂回禁区左侧15码处劲射近角入网，3-0
69'马里亚帕二点争到，分给迪尼                   66'利物浦第66分钟锁定胜局，罗伯逊传球，奥里吉迂回禁区左侧15码处劲射近角入网，3-0
79'比赛继续                   79'第79分钟，阿诺德右路任意球传中，范戴克小禁区边缘力压2人头球破门，4-0
79'拉拉纳带球造成卡斯卡特犯规                   79'第79分钟，阿诺德右路任意球传中，范戴克小禁区边缘力压2人头球破门，4-0
79'裁判掏出黄牌警告                   79'第79分钟，阿诺德右路任意球传中，范戴克小禁区边缘力压2人头球破门，4-0
79'景区右侧的定位球                   79'第79分钟，阿诺德右路任意球传中，范戴克小禁区边缘力压2人头球破门，4-0
79'阿诺德传到中路                   79'第79分钟，阿诺德右路任意球传中，范戴克小禁区边缘力压2人头球破门，4-0
80'范迪克高高跃起，头球攻门                   79'第79分钟，阿诺德右路任意球传中，范戴克小禁区边缘力压2人头球破门，4-0
80'球又进了。。。。。。。。                   79'第79分钟，阿诺德右路任意球传中，范戴克小禁区边缘力压2人头球破门，4-0
81'这球是拉拉纳突破造成犯规，阿诺德主罚定位球，开到门前，范迪克头球破网，帮助利物浦一锤定音                   79'第79分钟，阿诺德右路任意球传中，范戴克小禁区边缘力压2人头球破门，4-0
81'利物浦四球领先了                   79'第79分钟，阿诺德右路任意球传中，范戴克小禁区边缘力压2人头球破门，4-0
82'阿诺德助攻帽子戏法了                   79'第79分钟，阿诺德右路任意球传中，范戴克小禁区边缘力压2人头球破门，4-0
82'回到比赛                   79'第79分钟，阿诺德右路任意球传中，范戴克小禁区边缘力压2人头球破门，4-0
82'刚刚萨拉赫右侧突破再次造成马希纳犯规，裁判掏出黄牌警告                   79'第79分钟，阿诺德右路任意球传中，范戴克小禁区边缘力压2人头球破门，4-0
82'定位球阿诺德来主罚                   79'第79分钟，阿诺德右路任意球传中，范戴克小禁区边缘力压2人头球破门，4-0
