1'上半场比赛开始了，柏林赫塔率先开球                   1'拜仁身着黑色球衣，第1分钟完全控制了局面
1'拜仁从左向右攻                   1'拜仁身着黑色球衣，第1分钟完全控制了局面
1'拜仁后场拿球，中场被断                   1'拜仁身着黑色球衣，第1分钟完全控制了局面
2'拜仁右路配合，又回传后场，不急于进攻                   1'拜仁身着黑色球衣，第1分钟完全控制了局面
3'穆勒横传门前，莱万右脚垫射，稍稍高出                   1'拜仁身着黑色球衣，第1分钟完全控制了局面
3'刚开场2分钟，拜仁就制造了威胁                   1'拜仁身着黑色球衣，第1分钟完全控制了局面
4'柏林赫塔左路组织进攻，被博阿滕破坏出边线                   1'拜仁身着黑色球衣，第1分钟完全控制了局面
4'莱万左路拿球，出了边线                   1'拜仁身着黑色球衣，第1分钟完全控制了局面
19'拜仁右路小范围配合                   19'第19分钟，贝尔纳特左路传中，穆勒在门前6米处转身扫射被克拉夫特得到
19'穆勒禁区内停球，转身打门直接被克拉夫特抱住                   19'第19分钟，贝尔纳特左路传中，穆勒在门前6米处转身扫射被克拉夫特得到
19'拜仁后场断球后左路再来                   19'第19分钟，贝尔纳特左路传中，穆勒在门前6米处转身扫射被克拉夫特得到
20'但柏林赫塔禁区内防守很紧，拜仁还是没机会                   19'第19分钟，贝尔纳特左路传中，穆勒在门前6米处转身扫射被克拉夫特得到
20'拜仁这段时间攻的比较猛                   19'第19分钟，贝尔纳特左路传中，穆勒在门前6米处转身扫射被克拉夫特得到
20'柏林赫塔守的也非常坚决                   19'第19分钟，贝尔纳特左路传中，穆勒在门前6米处转身扫射被克拉夫特得到
21'，穆勒的射门稍稍偏出                   19'第19分钟，贝尔纳特左路传中，穆勒在门前6米处转身扫射被克拉夫特得到
22'柏林赫塔反击，被吹越位了                   19'第19分钟，贝尔纳特左路传中，穆勒在门前6米处转身扫射被克拉夫特得到
77'柏林赫塔这段时间连续进攻                   77'罗本本赛季代表拜仁正式比赛平均每77分钟参与1球(8球，4次助攻)，拜仁在他进球的近28场德甲取得全胜
77'刚上场的原口元气的射门打高了                   77'罗本本赛季代表拜仁正式比赛平均每77分钟参与1球(8球，4次助攻)，拜仁在他进球的近28场德甲取得全胜
78'丹特回传给诺伊尔，诺伊尔禁区外开大脚                   77'罗本本赛季代表拜仁正式比赛平均每77分钟参与1球(8球，4次助攻)，拜仁在他进球的近28场德甲取得全胜
79'柏林赫塔左路给身后，卡卢给的很漂亮，可惜接应队友没有拿好                   77'罗本本赛季代表拜仁正式比赛平均每77分钟参与1球(8球，4次助攻)，拜仁在他进球的近28场德甲取得全胜
79'细贝萌又放倒了里贝里吃到黄牌                   77'罗本本赛季代表拜仁正式比赛平均每77分钟参与1球(8球，4次助攻)，拜仁在他进球的近28场德甲取得全胜
80'施魏因施泰格上场换下穆勒                   77'罗本本赛季代表拜仁正式比赛平均每77分钟参与1球(8球，4次助攻)，拜仁在他进球的近28场德甲取得全胜
80'这是小猪连续第二场比赛上场，换下表现平平的穆勒                   77'罗本本赛季代表拜仁正式比赛平均每77分钟参与1球(8球，4次助攻)，拜仁在他进球的近28场德甲取得全胜
61'柏林赫塔打身后，施特克尔左路突破，射门被拜仁破坏出底线                   61'下半时开始16分钟，柏林赫塔获得反击良机，施托克突入禁区左侧传中被阿隆索挡出底线
62'柏林赫塔角球开出，刚刚上场的卡卢头球一定，细贝萌的进球越位了                   61'下半时开始16分钟，柏林赫塔获得反击良机，施托克突入禁区左侧传中被阿隆索挡出底线
63'细贝萌踢到了里贝里，双方发生了小冲突                   61'下半时开始16分钟，柏林赫塔获得反击良机，施托克突入禁区左侧传中被阿隆索挡出底线
63'卡卢右路横传，诺伊尔抢在罗尼之前没收                   61'下半时开始16分钟，柏林赫塔获得反击良机，施托克突入禁区左侧传中被阿隆索挡出底线
63'卡卢和罗尼都是刚刚上场的球员                   61'下半时开始16分钟，柏林赫塔获得反击良机，施托克突入禁区左侧传中被阿隆索挡出底线
64'柏林赫塔现在进攻速度完全加快                   61'下半时开始16分钟，柏林赫塔获得反击良机，施托克突入禁区左侧传中被阿隆索挡出底线
82'下半场柏林赫塔一直压着拜仁打                   82'第82分钟，罗本右侧低传，莱万停球闪开扑上来的后卫，在门前8米处推射被克拉夫特扑出
82'罗德拿球给罗本罗本转身直塞给莱万，无人盯防的莱万射门被克拉夫特挡出                   82'第82分钟，罗本右侧低传，莱万停球闪开扑上来的后卫，在门前8米处推射被克拉夫特扑出
83'这是拜仁下半场最好的机会，整个配合天衣无缝，克拉夫特表现太出色了                   82'第82分钟，罗本右侧低传，莱万停球闪开扑上来的后卫，在门前8米处推射被克拉夫特扑出
84'给柏林赫塔的时间不多了                   82'第82分钟，罗本右侧低传，莱万停球闪开扑上来的后卫，在门前8米处推射被克拉夫特扑出
85'虽然很困难，但柏林赫塔还是有机会的                   82'第82分钟，罗本右侧低传，莱万停球闪开扑上来的后卫，在门前8米处推射被克拉夫特扑出
85'施魏因施泰格中场拿球组织，这是他连续第二场比赛上场                   82'第82分钟，罗本右侧低传，莱万停球闪开扑上来的后卫，在门前8米处推射被克拉夫特扑出
89'施魏因施泰格直塞身后，莱万的射门再次被克拉夫特扑出                   89'第89分钟，小猪直塞禁区右侧，莱万挑射又被克拉夫特神勇化解
89'克拉夫特今天如有神助啊                   89'第89分钟，小猪直塞禁区右侧，莱万挑射又被克拉夫特神勇化解
90'伤停补时2分钟                   89'第89分钟，小猪直塞禁区右侧，莱万挑射又被克拉夫特神勇化解
91'诺伊尔到禁区外传球                   89'第89分钟，小猪直塞禁区右侧，莱万挑射又被克拉夫特神勇化解
91'柏林赫塔仍在进攻                   89'第89分钟，小猪直塞禁区右侧，莱万挑射又被克拉夫特神勇化解
92'柏林赫塔长传到左路，传到了拜仁脚下                   89'第89分钟，小猪直塞禁区右侧，莱万挑射又被克拉夫特神勇化解
