36'科曼左路传中前点！                   34'拜仁第34分钟取得领先
36'莱万多夫斯基头球！！                   34'拜仁第34分钟取得领先
36'奥利弗-鲍曼飞扑挡下！                   34'拜仁第34分钟取得领先
36'格雷茨卡插上补射破门！！                   34'拜仁第34分钟取得领先
36'GOOOOAL！！！0-1！！！                   34'拜仁第34分钟取得领先
36'格雷茨卡的破门帮助拜仁慕尼黑取得领先！                   34'拜仁第34分钟取得领先
37'诺伊尔开球给后场左侧阿拉巴！                   34'拜仁第34分钟取得领先
37'挑传球给中场左路蒂亚戈-席尔瓦！                   34'拜仁第34分钟取得领先
37'皮球被卡德扎贝克踢出边线！                   34'拜仁第34分钟取得领先
46'GOOOOOOOOOOOOAL！！！0-2！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
46'裁判一声哨响！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
46'上半场比赛结束了！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
46'拜仁慕尼黑中圈开球！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
46'下半场比赛开始！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
46'开球回给后场基米希！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
46'长传球给前场左侧！出了边线！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
47'边线发球给中场！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
47'双方争抢！科曼把球踢出编辑诶！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
47'科曼把球踢出边界！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
48'格雷茨卡给前场中路蒂亚戈-席尔瓦！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
48'分球给禁区右侧！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
48'斯特凡-波斯奇把球解围！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
49'舒尔茨分球给中路比当古！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
49'比当古远射被门将扑住！                   46'拜仁上半时补时第1分钟扩大比分，霍村角球被顶出，克拉马里奇禁区前沿凌空射门，穆勒将球封堵后发起反击，科曼左路突进传球，阿拉巴斜传禁区，戈雷茨卡在门前10米处飞身铲射入左下角，2比0
53'皮球被诺伊尔没收下来！                   53'拜仁第53分钟逃过一劫，比当古前场抢断蒂亚戈铲传，克拉马里奇再分球，若埃林通禁区左侧距门8米处左脚小角度推射被诺伊尔左脚勾出，德米尔巴伊在门前9米处凌空补射打飞
56'诺伊尔给身前胡梅尔斯！                   53'拜仁第53分钟逃过一劫，比当古前场抢断蒂亚戈铲传，克拉马里奇再分球，若埃林通禁区左侧距门8米处左脚小角度推射被诺伊尔左脚勾出，德米尔巴伊在门前9米处凌空补射打飞
56'分球给右路基米希！                   53'拜仁第53分钟逃过一劫，比当古前场抢断蒂亚戈铲传，克拉马里奇再分球，若埃林通禁区左侧距门8米处左脚小角度推射被诺伊尔左脚勾出，德米尔巴伊在门前9米处凌空补射打飞
56'再给身边的科曼！                   53'拜仁第53分钟逃过一劫，比当古前场抢断蒂亚戈铲传，克拉马里奇再分球，若埃林通禁区左侧距门8米处左脚小角度推射被诺伊尔左脚勾出，德米尔巴伊在门前9米处凌空补射打飞
62'拜仁慕尼黑的右侧角球机会                   59'第59分钟，阿拉巴在门前28米处左脚任意球被鲍曼封出右门柱，基米希右侧角球被许布纳顶出，波施策动反击，比当古中圈送出过顶球，舒尔茨禁区前沿左脚抽射钻进左下角，1比2
62'角球开到禁区中路被破坏！                   59'第59分钟，阿拉巴在门前28米处左脚任意球被鲍曼封出右门柱，基米希右侧角球被许布纳顶出，波施策动反击，比当古中圈送出过顶球，舒尔茨禁区前沿左脚抽射钻进左下角，1比2
62'霍芬海姆的反击！                   59'第59分钟，阿拉巴在门前28米处左脚任意球被鲍曼封出右门柱，基米希右侧角球被许布纳顶出，波施策动反击，比当古中圈送出过顶球，舒尔茨禁区前沿左脚抽射钻进左下角，1比2
62'比当吉送出长传！                   59'第59分钟，阿拉巴在门前28米处左脚任意球被鲍曼封出右门柱，基米希右侧角球被许布纳顶出，波施策动反击，比当古中圈送出过顶球，舒尔茨禁区前沿左脚抽射钻进左下角，1比2
62'前场禁区前沿！                   59'第59分钟，阿拉巴在门前28米处左脚任意球被鲍曼封出右门柱，基米希右侧角球被许布纳顶出，波施策动反击，比当古中圈送出过顶球，舒尔茨禁区前沿左脚抽射钻进左下角，1比2
62'舒尔茨停球加射门一气呵成！                   59'第59分钟，阿拉巴在门前28米处左脚任意球被鲍曼封出右门柱，基米希右侧角球被许布纳顶出，波施策动反击，比当古中圈送出过顶球，舒尔茨禁区前沿左脚抽射钻进左下角，1比2
