6'金东进后场拿球，短传给到汪嵩                   6'第6分钟原申花队员王林右路传中，黄凤涛后点跃起艰难头球顶偏
6'汪嵩拿球，面对逼抢，没机会强突，回敲金东进                   6'第6分钟原申花队员王林右路传中，黄凤涛后点跃起艰难头球顶偏
7'金东进但范围转移球到右路，王宏有拿球                   6'第6分钟原申花队员王林右路传中，黄凤涛后点跃起艰难头球顶偏
7'王宏有拿球过了中线，直塞找马佐拉，被熊飞破坏出边线                   6'第6分钟原申花队员王林右路传中，黄凤涛后点跃起艰难头球顶偏
9'申花中场控球，徐亮拿球面对逼抢分左路                   6'第6分钟原申花队员王林右路传中，黄凤涛后点跃起艰难头球顶偏
9'申花左路的进攻，熊飞拿球下底传中，姜波出击将球化解                   6'第6分钟原申花队员王林右路传中，黄凤涛后点跃起艰难头球顶偏
10'绿城的进攻赢得角球机会                   10'第10分钟哈蒂布右路拿球后回传，宋博轩左脚弧线球射门被姜波接住
10'战术角球开出，并没有形成威胁                   10'第10分钟哈蒂布右路拿球后回传，宋博轩左脚弧线球射门被姜波接住
11'申花中场的传接，马佐拉逼抢，迫使对手将球传出边线                   10'第10分钟哈蒂布右路拿球后回传，宋博轩左脚弧线球射门被姜波接住
11'申花中场抢断，哈蒂布前场右路拿球                   10'第10分钟哈蒂布右路拿球后回传，宋博轩左脚弧线球射门被姜波接住
12'哈蒂布禁区端线上的回敲到中路                   10'第10分钟哈蒂布右路拿球后回传，宋博轩左脚弧线球射门被姜波接住
12'宋博轩插上接应，停球，左脚打门，被姜波直接没收                   10'第10分钟哈蒂布右路拿球后回传，宋博轩左脚弧线球射门被姜波接住
13'姜波在扑救哈蒂布的打门时有点受伤了                   10'第10分钟哈蒂布右路拿球后回传，宋博轩左脚弧线球射门被姜波接住
17'王大雷的大脚开到前场，哈蒂布头球一点                   17'第17分钟王宏有左路传球，中路无人看守的阿甘头球顶疵，右路的马佐拉猝不及防没有控住来球
17'被曹轩上来在哈蒂布之前将球控制                   17'第17分钟王宏有左路传球，中路无人看守的阿甘头球顶疵，右路的马佐拉猝不及防没有控住来球
18'王寿挺和黄凤涛的争抢中被后者踩到了脚面，倒地                   17'第17分钟王宏有左路传球，中路无人看守的阿甘头球顶疵，右路的马佐拉猝不及防没有控住来球
18'不过裁判吹罚了王寿挺的犯规，认为他有个阻挡犯规                   17'第17分钟王宏有左路传球，中路无人看守的阿甘头球顶疵，右路的马佐拉猝不及防没有控住来球
19'黄凤涛左边路拿球，斜传禁区，阿甘的头球攻门                   17'第17分钟王宏有左路传球，中路无人看守的阿甘头球顶疵，右路的马佐拉猝不及防没有控住来球
19'这更像解围，偏的离谱哦                   17'第17分钟王宏有左路传球，中路无人看守的阿甘头球顶疵，右路的马佐拉猝不及防没有控住来球
20'王宏有后场插上的进攻，宋博轩直接一个滑铲，带倒了王宏有                   17'第17分钟王宏有左路传球，中路无人看守的阿甘头球顶疵，右路的马佐拉猝不及防没有控住来球
20'宋博轩被主裁判出示了黄牌警告                   17'第17分钟王宏有左路传球，中路无人看守的阿甘头球顶疵，右路的马佐拉猝不及防没有控住来球
20'这也是本场比赛的第一张黄牌                   17'第17分钟王宏有左路传球，中路无人看守的阿甘头球顶疵，右路的马佐拉猝不及防没有控住来球
24'申花后场抢断，徐亮拿球右路进攻                   24'第24分钟马佐拉中场抢球时抬腿过高踢到柏佳骏，马佐拉也吃到黄牌
24'面对黄凤涛，一趟，准备绕过防守球员，可惜球被断了                   24'第24分钟马佐拉中场抢球时抬腿过高踢到柏佳骏，马佐拉也吃到黄牌
25'绿城的前场进攻，黄凤涛拿球，虚晃两步，强突禁区                   24'第24分钟马佐拉中场抢球时抬腿过高踢到柏佳骏，马佐拉也吃到黄牌
25'李建滨上来，直接一个大脚将球解围                   24'第24分钟马佐拉中场抢球时抬腿过高踢到柏佳骏，马佐拉也吃到黄牌
25'马佐拉中场争抢中放倒了柏佳俊                   24'第24分钟马佐拉中场抢球时抬腿过高踢到柏佳骏，马佐拉也吃到黄牌
26'马佐拉被主裁判出示了黄牌警告                   24'第24分钟马佐拉中场抢球时抬腿过高踢到柏佳骏，马佐拉也吃到黄牌
26'申花前场的进攻，徐亮挑传禁区，王宏有将球解围出边线                   24'第24分钟马佐拉中场抢球时抬腿过高踢到柏佳骏，马佐拉也吃到黄牌
27'宋博轩右边路拿球，转身的传中，姜波出击将球没收                   24'第24分钟马佐拉中场抢球时抬腿过高踢到柏佳骏，马佐拉也吃到黄牌
30'绿城左路进攻，再次赢得角球机会                   30'第30分钟申花右路快攻，哈蒂布低平球传中被挡出禁区外，戴琳35米外远射打偏
30'马佐拉的角球开到禁区，金东进头球攻门                   30'第30分钟申花右路快攻，哈蒂布低平球传中被挡出禁区外，戴琳35米外远射打偏
30'王大雷出击将球没收，快发，申花反击                   30'第30分钟申花右路快攻，哈蒂布低平球传中被挡出禁区外，戴琳35米外远射打偏
31'徐亮中路拿球，直塞打绿城后卫身后，直接被曹轩解围                   30'第30分钟申花右路快攻，哈蒂布低平球传中被挡出禁区外，戴琳35米外远射打偏
31'王林右路拿球，单骑闯关，强行下底                   30'第30分钟申花右路快攻，哈蒂布低平球传中被挡出禁区外，戴琳35米外远射打偏
32'王林边路传中找阿甘，戴琳头球解围出底线                   30'第30分钟申花右路快攻，哈蒂布低平球传中被挡出禁区外，戴琳35米外远射打偏
32'绿城再次获得角球机会，阿甘自己罚                   30'第30分钟申花右路快攻，哈蒂布低平球传中被挡出禁区外，戴琳35米外远射打偏
32'角球开到禁区，直接送入了王大雷的手中                   30'第30分钟申花右路快攻，哈蒂布低平球传中被挡出禁区外，戴琳35米外远射打偏
33'上半场32分钟，双方真正威胁的进攻并不多                   30'第30分钟申花右路快攻，哈蒂布低平球传中被挡出禁区外，戴琳35米外远射打偏
33'哈蒂布啊，单刀。。。                   30'第30分钟申花右路快攻，哈蒂布低平球传中被挡出禁区外，戴琳35米外远射打偏
33'申花中路直塞给到哈蒂布，哈蒂布拿球进入禁区，面对出击的姜波，趟过，可惜趟大啦，再追，没机会啦                   30'第30分钟申花右路快攻，哈蒂布低平球传中被挡出禁区外，戴琳35米外远射打偏
32'王林边路传中找阿甘，戴琳头球解围出底线                   32'第32分钟曹S定打出身后好球，哈蒂布反越位成功，他带球过掉出击的姜波，但由于过人幅度太大，拿住球时已经逼近底线没有射门角度，他被迫把球传出，申花左路跟进似传似射没有构成威胁
32'绿城再次获得角球机会，阿甘自己罚                   32'第32分钟曹S定打出身后好球，哈蒂布反越位成功，他带球过掉出击的姜波，但由于过人幅度太大，拿住球时已经逼近底线没有射门角度，他被迫把球传出，申花左路跟进似传似射没有构成威胁
32'角球开到禁区，直接送入了王大雷的手中                   32'第32分钟曹S定打出身后好球，哈蒂布反越位成功，他带球过掉出击的姜波，但由于过人幅度太大，拿住球时已经逼近底线没有射门角度，他被迫把球传出，申花左路跟进似传似射没有构成威胁
33'上半场32分钟，双方真正威胁的进攻并不多                   32'第32分钟曹S定打出身后好球，哈蒂布反越位成功，他带球过掉出击的姜波，但由于过人幅度太大，拿住球时已经逼近底线没有射门角度，他被迫把球传出，申花左路跟进似传似射没有构成威胁
33'哈蒂布啊，单刀。。。                   32'第32分钟曹S定打出身后好球，哈蒂布反越位成功，他带球过掉出击的姜波，但由于过人幅度太大，拿住球时已经逼近底线没有射门角度，他被迫把球传出，申花左路跟进似传似射没有构成威胁
33'申花中路直塞给到哈蒂布，哈蒂布拿球进入禁区，面对出击的姜波，趟过，可惜趟大啦，再追，没机会啦                   32'第32分钟曹S定打出身后好球，哈蒂布反越位成功，他带球过掉出击的姜波，但由于过人幅度太大，拿住球时已经逼近底线没有射门角度，他被迫把球传出，申花左路跟进似传似射没有构成威胁
34'双方上半场最好的一次得分良机                   32'第32分钟曹S定打出身后好球，哈蒂布反越位成功，他带球过掉出击的姜波，但由于过人幅度太大，拿住球时已经逼近底线没有射门角度，他被迫把球传出，申花左路跟进似传似射没有构成威胁
34'绿城的反击中，赢得前场左侧的任意球机会，在角旗附近                   32'第32分钟曹S定打出身后好球，哈蒂布反越位成功，他带球过掉出击的姜波，但由于过人幅度太大，拿住球时已经逼近底线没有射门角度，他被迫把球传出，申花左路跟进似传似射没有构成威胁
34'汪嵩的任意球开到禁区，第一点被申花球员解围                   32'第32分钟曹S定打出身后好球，哈蒂布反越位成功，他带球过掉出击的姜波，但由于过人幅度太大，拿住球时已经逼近底线没有射门角度，他被迫把球传出，申花左路跟进似传似射没有构成威胁
35'马佐拉中场拿球，面对逼抢回敲后场再来                   32'第32分钟曹S定打出身后好球，哈蒂布反越位成功，他带球过掉出击的姜波，但由于过人幅度太大，拿住球时已经逼近底线没有射门角度，他被迫把球传出，申花左路跟进似传似射没有构成威胁
38'高迪背对球门，准备倒勾，直接踢在了扑上来的王寿挺身上                   38'第38分钟绿城沿左路快速反击，黄凤涛带球直线冲击，熊飞阻挡犯规也吃到黄牌
38'王寿挺也是痛苦的倒在地上                   38'第38分钟绿城沿左路快速反击，黄凤涛带球直线冲击，熊飞阻挡犯规也吃到黄牌
38'高迪的这次犯规，也是被裁判出示了黄牌警告                   38'第38分钟绿城沿左路快速反击，黄凤涛带球直线冲击，熊飞阻挡犯规也吃到黄牌
38'王寿挺在队医的陪伴下出场接受治疗                   38'第38分钟绿城沿左路快速反击，黄凤涛带球直线冲击，熊飞阻挡犯规也吃到黄牌
39'黄凤涛中路拿球突破，被熊飞从身后直接上来撞翻在地                   38'第38分钟绿城沿左路快速反击，黄凤涛带球直线冲击，熊飞阻挡犯规也吃到黄牌
39'熊飞被主裁判出示黄牌警告                   38'第38分钟绿城沿左路快速反击，黄凤涛带球直线冲击，熊飞阻挡犯规也吃到黄牌
40'绿城获得前场中线位置的任意球机会                   38'第38分钟绿城沿左路快速反击，黄凤涛带球直线冲击，熊飞阻挡犯规也吃到黄牌
40'汪嵩的任意球斜传禁区，金东进狮子甩头，顶高啦                   38'第38分钟绿城沿左路快速反击，黄凤涛带球直线冲击，熊飞阻挡犯规也吃到黄牌
