4'维冈前场的传接，埃文斯身后上抢，踢倒了马洛尼                   4'第4分钟，范佩西中场挑传，埃尔南德斯禁区右侧小角度射门被哈布西轻松得到
4'维冈获得了前场任意球机会                   4'第4分钟，范佩西中场挑传，埃尔南德斯禁区右侧小角度射门被哈布西轻松得到
4'迪桑托拿球，面对阿什利-扬的上抢，突破失误                   4'第4分钟，范佩西中场挑传，埃尔南德斯禁区右侧小角度射门被哈布西轻松得到
4'曼联抢断，发动反击，埃尔南德斯前场拿球                   4'第4分钟，范佩西中场挑传，埃尔南德斯禁区右侧小角度射门被哈布西轻松得到
5'埃尔南德斯拿球进入禁区，小禁区右侧的小角度打门，被艾哈比斯没收                   4'第4分钟，范佩西中场挑传，埃尔南德斯禁区右侧小角度射门被哈布西轻松得到
6'维冈前场的进攻，麦克阿瑟直传球打后卫身后                   4'第4分钟，范佩西中场挑传，埃尔南德斯禁区右侧小角度射门被哈布西轻松得到
6'小科内前场接应，边裁举旗，越位在先                   4'第4分钟，范佩西中场挑传，埃尔南德斯禁区右侧小角度射门被哈布西轻松得到
6'范佩西回撤拿球，中场的过顶斜传找小豌豆                   4'第4分钟，范佩西中场挑传，埃尔南德斯禁区右侧小角度射门被哈布西轻松得到
7'拉米斯在小豌豆之前将球解围                   4'第4分钟，范佩西中场挑传，埃尔南德斯禁区右侧小角度射门被哈布西轻松得到
7'维冈的中场长传找小科内，可惜后者争顶被吹犯规                   4'第4分钟，范佩西中场挑传，埃尔南德斯禁区右侧小角度射门被哈布西轻松得到
20'麦克阿瑟中场拿球，面对卡里克的上抢，回敲给到考德威尔                   20'曼联控制节奏，但维冈逐渐进入比赛，博塞茹尔第20分钟在禁区前的射门偏出
20'考德威尔后场长传球给到博伊斯                   20'曼联控制节奏，但维冈逐渐进入比赛，博塞茹尔第20分钟在禁区前的射门偏出
20'博伊斯横传交给迪桑托，迪桑托过顶找小科内                   20'曼联控制节奏，但维冈逐渐进入比赛，博塞茹尔第20分钟在禁区前的射门偏出
21'费迪南德头球解围，博塞豪尔插上打门，放了高射炮                   20'曼联控制节奏，但维冈逐渐进入比赛，博塞茹尔第20分钟在禁区前的射门偏出
