6'进球啦！！！桑普多利亚球员埃德尔大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是索里亚诺. 桑普多利亚 1-0 巴勒莫.                   6'第6分钟，索里亚诺直传，埃德斜射入远角
55'巴勒莫球员莫加内拉大禁区外右脚射门,命中门柱横梁.给他传球的是康斯坦特.                   55'第55分钟，莫尔加内拉右侧距门22米处斜射击中横梁，明显弹过门线(见上图)，但门线裁判没有看到，主裁判认定球没进，巴勒莫队员愤怒抗议
55'巴勒莫球员莫加内拉一脚直塞球给巴斯克斯,但是边裁举旗显示后者已经越位.                   55'第55分钟，莫尔加内拉右侧距门22米处斜射击中横梁，明显弹过门线(见上图)，但门线裁判没有看到，主裁判认定球没进，巴勒莫队员愤怒抗议
56'桑普多利亚球员博格西奥拼抢犯规,对手获得控球权.                   55'第55分钟，莫尔加内拉右侧距门22米处斜射击中横梁，明显弹过门线(见上图)，但门线裁判没有看到，主裁判认定球没进，巴勒莫队员愤怒抗议
56'康斯坦特为巴勒莫赢得一个任意球.                   55'第55分钟，莫尔加内拉右侧距门22米处斜射击中横梁，明显弹过门线(见上图)，但门线裁判没有看到，主裁判认定球没进，巴勒莫队员愤怒抗议
57'桑普多利亚球员索里亚诺拼抢犯规,对手获得控球权.                   55'第55分钟，莫尔加内拉右侧距门22米处斜射击中横梁，明显弹过门线(见上图)，但门线裁判没有看到，主裁判认定球没进，巴勒莫队员愤怒抗议
57'Sinisa Andjelkovic为巴勒莫在左路,赢得一个任意球.                   55'第55分钟，莫尔加内拉右侧距门22米处斜射击中横梁，明显弹过门线(见上图)，但门线裁判没有看到，主裁判认定球没进，巴勒莫队员愤怒抗议
57'巴勒莫球员迪巴拉一脚直塞球给E-巴雷托,但是边裁举旗显示后者已经越位.                   55'第55分钟，莫尔加内拉右侧距门22米处斜射击中横梁，明显弹过门线(见上图)，但门线裁判没有看到，主裁判认定球没进，巴勒莫队员愤怒抗议
58'射门!!!巴勒莫球员巴斯克斯大禁区外左脚射门,被对方守门员横身扑出.给他传球的是康斯坦特.                   55'第55分钟，莫尔加内拉右侧距门22米处斜射击中横梁，明显弹过门线(见上图)，但门线裁判没有看到，主裁判认定球没进，巴勒莫队员愤怒抗议
58'维维亚诺将球处理出底线,巴勒莫获得角球.                   55'第55分钟，莫尔加内拉右侧距门22米处斜射击中横梁，明显弹过门线(见上图)，但门线裁判没有看到，主裁判认定球没进，巴勒莫队员愤怒抗议
58'裁判将巴勒莫的弗里格纳蒂直接红牌罚下.                   55'第55分钟，莫尔加内拉右侧距门22米处斜射击中横梁，明显弹过门线(见上图)，但门线裁判没有看到，主裁判认定球没进，巴勒莫队员愤怒抗议
